Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1800,0.1800,0.1750,0.1750,0.1750,1598300,
4 Aug 2026,,,,,,,0.0040 Dividend
31 Jul 2026,0.1780,0.1830,0.1780,0.1790,0.1750,3215500,
24 Jul 2026,0.1790,0.1840,0.1780,0.1780,0.1740,1327000,
17 Jul 2026,0.1780,0.1850,0.1760,0.1790,0.1750,5046600,
10 Jul 2026,0.1810,0.1820,0.1770,0.1780,0.1740,5006900,
3 Jul 2026,0.1850,0.1850,0.1780,0.1810,0.1769,1358700,
26 Jun 2026,0.1790,0.1860,0.1780,0.1850,0.1808,5148900,
19 Jun 2026,0.1810,0.1870,0.1770,0.1800,0.1759,2732700,
12 Jun 2026,0.1800,0.1860,0.1770,0.1810,0.1769,3639900,
5 Jun 2026,0.1840,0.1860,0.1770,0.1820,0.1779,3887300,
29 May 2026,0.1810,0.1950,0.1810,0.1860,0.1818,8330200,
22 May 2026,0.1850,0.1900,0.1810,0.1830,0.1789,4547900,
15 May 2026,0.1970,0.2050,0.1820,0.1900,0.1857,5471000,
8 May 2026,0.2000,0.2050,0.1940,0.1970,0.1925,6266300,
1 May 2026,0.1960,0.2050,0.1930,0.2000,0.1955,5009200,
24 Apr 2026,0.1880,0.1990,0.1760,0.1980,0.1935,7159300,
17 Apr 2026,0.1900,0.1940,0.1820,0.1890,0.1847,27524400,
10 Apr 2026,0.1800,0.1920,0.1790,0.1900,0.1857,4246600,
3 Apr 2026,0.1640,0.1850,0.1640,0.1800,0.1759,8629200,
27 Mar 2026,0.1870,0.1870,0.1720,0.1740,0.1701,11564800,
20 Mar 2026,0.1930,0.1940,0.1810,0.1880,0.1838,40312900,
13 Mar 2026,0.1970,0.2000,0.1860,0.1940,0.1896,4144100,
6 Mar 2026,0.2100,0.2150,0.2000,0.2000,0.1955,4775100,
27 Feb 2026,0.2150,0.2200,0.2050,0.2150,0.2101,7164300,
20 Feb 2026,0.2200,0.2250,0.2100,0.2150,0.2101,3723400,
13 Feb 2026,0.2300,0.2350,0.2200,0.2200,0.2150,9450900,
10 Feb 2026,,,,,,,0.0025 Dividend
6 Feb 2026,0.2350,0.2600,0.2200,0.2350,0.2265,20104200,
30 Jan 2026,0.2250,0.2450,0.2200,0.2450,0.2361,18948600,
23 Jan 2026,0.2300,0.2300,0.2200,0.2250,0.2169,6766500,
16 Jan 2026,0.2350,0.2400,0.2300,0.2300,0.2217,1783800,
9 Jan 2026,0.2350,0.2400,0.2300,0.2300,0.2217,3409900,
2 Jan 2026,0.2350,0.2350,0.2300,0.2350,0.2265,1214100,
26 Dec 2025,0.2350,0.2400,0.2300,0.2350,0.2265,800400,
19 Dec 2025,0.2400,0.2400,0.2300,0.2350,0.2265,5056000,
12 Dec 2025,0.2400,0.2450,0.2350,0.2400,0.2313,1230300,
5 Dec 2025,0.2400,0.2450,0.2350,0.2450,0.2361,1970200,
28 Nov 2025,0.2350,0.2450,0.2350,0.2400,0.2313,1607500,
21 Nov 2025,0.2450,0.2450,0.2350,0.2350,0.2265,2529400,
14 Nov 2025,0.2250,0.2450,0.2250,0.2400,0.2313,7009200,
7 Nov 2025,0.2350,0.2400,0.2250,0.2300,0.2217,4140600,
31 Oct 2025,0.2300,0.2550,0.2300,0.2300,0.2217,5995100,
