Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.3150,0.3150,0.3150,0.3150,0.3150,63300,
31 Jul 2026,0.3100,0.3250,0.3100,0.3150,0.3150,979300,
24 Jul 2026,0.3200,0.3200,0.3100,0.3100,0.3100,308700,
17 Jul 2026,0.3200,0.3250,0.3100,0.3200,0.3200,1128500,
10 Jul 2026,0.3200,0.3250,0.3100,0.3200,0.3200,316300,
3 Jul 2026,0.3150,0.3250,0.3100,0.3200,0.3200,206100,
26 Jun 2026,0.3250,0.3300,0.3100,0.3150,0.3150,228200,
19 Jun 2026,0.3200,0.3300,0.3200,0.3250,0.3250,418400,
12 Jun 2026,0.3350,0.3350,0.3200,0.3200,0.3200,1530800,
5 Jun 2026,0.3450,0.3600,0.3350,0.3350,0.3350,1432400,
29 May 2026,0.3650,0.3700,0.3450,0.3500,0.3500,3744900,
22 May 2026,0.3650,0.3750,0.3600,0.3600,0.3600,2587900,
15 May 2026,0.3550,0.3850,0.3550,0.3650,0.3650,7772900,
8 May 2026,0.3500,0.3600,0.3500,0.3550,0.3550,1545800,
1 May 2026,0.3550,0.3550,0.3450,0.3500,0.3500,832500,
24 Apr 2026,0.3450,0.3550,0.3450,0.3550,0.3550,352000,
17 Apr 2026,0.3400,0.3500,0.3350,0.3450,0.3450,771100,
10 Apr 2026,0.3450,0.3500,0.3300,0.3400,0.3400,445300,
3 Apr 2026,0.3500,0.3500,0.3350,0.3450,0.3450,256100,
27 Mar 2026,0.3400,0.3500,0.3300,0.3500,0.3500,343900,
20 Mar 2026,0.3400,0.3500,0.3400,0.3400,0.3400,333000,
13 Mar 2026,0.3400,0.3550,0.3350,0.3450,0.3450,587100,
6 Mar 2026,0.3700,0.3700,0.3400,0.3550,0.3550,2638600,
27 Feb 2026,0.3700,0.3950,0.3650,0.3800,0.3800,6159800,
20 Feb 2026,0.3500,0.3750,0.3450,0.3650,0.3650,6646300,
13 Feb 2026,0.3500,0.3550,0.3450,0.3450,0.3450,573500,
6 Feb 2026,0.3500,0.3550,0.3450,0.3500,0.3500,536900,
30 Jan 2026,0.3600,0.3650,0.3450,0.3450,0.3450,937000,
23 Jan 2026,0.3450,0.3650,0.3400,0.3600,0.3600,1323600,
16 Jan 2026,0.3550,0.3650,0.3400,0.3450,0.3450,2367300,
9 Jan 2026,0.3600,0.3600,0.3500,0.3600,0.3600,657600,
2 Jan 2026,0.3600,0.3700,0.3600,0.3650,0.3650,577800,
26 Dec 2025,0.3400,0.3700,0.3400,0.3600,0.3600,1314500,
19 Dec 2025,0.3500,0.3600,0.3350,0.3400,0.3400,228000,
12 Dec 2025,0.3600,0.3600,0.3400,0.3500,0.3500,307700,
5 Dec 2025,0.3600,0.3650,0.3550,0.3600,0.3600,291800,
1 Dec 2025,,,,,,,0.0050 Dividend
28 Nov 2025,0.3650,0.3750,0.3550,0.3650,0.3600,1902700,
21 Nov 2025,0.3750,0.3800,0.3600,0.3700,0.3649,2525800,
14 Nov 2025,0.4050,0.4150,0.3700,0.3800,0.3748,5551800,
7 Nov 2025,0.4050,0.4250,0.3900,0.4050,0.3995,8188000,
31 Oct 2025,0.4100,0.4200,0.4050,0.4050,0.3995,7811600,
24 Oct 2025,0.3800,0.4150,0.3800,0.4100,0.4044,7548800,
17 Oct 2025,0.3700,0.4150,0.3650,0.3800,0.3748,15090500,
10 Oct 2025,0.3800,0.3900,0.3650,0.3850,0.3797,6534400,
3 Oct 2025,0.3650,0.3850,0.3650,0.3800,0.3748,5998000,
26 Sep 2025,0.3850,0.3850,0.3550,0.3650,0.3600,3587600,
19 Sep 2025,0.4150,0.4200,0.3700,0.3850,0.3797,8024800,
12 Sep 2025,0.4100,0.4250,0.4000,0.4150,0.4093,12862600,
5 Sep 2025,0.3800,0.4100,0.3700,0.4050,0.3995,24684800,
29 Aug 2025,0.3800,0.3800,0.3500,0.3750,0.3699,15594300,
25 Aug 2025,,,,,,,0.0075 Dividend
22 Aug 2025,0.3050,0.3800,0.3050,0.3700,0.3575,49946100,
15 Aug 2025,0.2800,0.3100,0.2750,0.3100,0.2996,4150100,
8 Aug 2025,0.2800,0.2900,0.2800,0.2800,0.2706,1262000,
1 Aug 2025,0.3100,0.3100,0.2750,0.2750,0.2657,4062500,
25 Jul 2025,0.2800,0.3050,0.2750,0.3000,0.2899,4086800,
18 Jul 2025,0.2750,0.2900,0.2700,0.2800,0.2706,2543600,
11 Jul 2025,0.2700,0.2900,0.2650,0.2750,0.2657,3591900,
4 Jul 2025,0.2550,0.2800,0.2550,0.2700,0.2609,2713200,
27 Jun 2025,0.2400,0.2550,0.2400,0.2500,0.2416,763000,
20 Jun 2025,0.2450,0.2500,0.2450,0.2450,0.2367,692100,
13 Jun 2025,0.2500,0.2550,0.2450,0.2450,0.2367,1661900,
6 Jun 2025,0.2350,0.2600,0.2350,0.2450,0.2367,3172200,
30 May 2025,0.2100,0.2350,0.2100,0.2350,0.2271,1529000,
23 May 2025,0.2150,0.2150,0.2050,0.2150,0.2078,85300,
16 May 2025,0.2100,0.2200,0.2000,0.2150,0.2078,399800,
9 May 2025,0.2100,0.2100,0.2000,0.2050,0.1981,914400,
2 May 2025,0.2100,0.2100,0.2050,0.2100,0.2029,61800,
25 Apr 2025,0.1990,0.2150,0.1990,0.2100,0.2029,78500,
18 Apr 2025,0.2000,0.2000,0.1990,0.1990,0.1923,572200,
11 Apr 2025,0.2100,0.2100,0.1870,0.1880,0.1817,579800,
4 Apr 2025,0.2150,0.2200,0.2000,0.2150,0.2078,147500,
28 Mar 2025,0.2250,0.2250,0.2150,0.2150,0.2078,779300,
21 Mar 2025,0.2250,0.2250,0.2200,0.2250,0.2174,215000,
14 Mar 2025,0.2300,0.2300,0.2200,0.2250,0.2174,410300,
7 Mar 2025,0.2300,0.2300,0.2250,0.2300,0.2223,641700,
28 Feb 2025,0.2250,0.2300,0.2250,0.2300,0.2223,964100,
21 Feb 2025,0.2350,0.2350,0.2250,0.2250,0.2174,263800,
14 Feb 2025,0.2350,0.2350,0.2300,0.2350,0.2271,61900,
7 Feb 2025,0.2300,0.2400,0.2250,0.2350,0.2271,253600,
31 Jan 2025,0.2350,0.2400,0.2200,0.2300,0.2223,464100,
24 Jan 2025,0.2350,0.2500,0.2300,0.2300,0.2223,490700,
17 Jan 2025,0.2250,0.2450,0.2250,0.2350,0.2271,3169800,
10 Jan 2025,0.2100,0.2350,0.2100,0.2250,0.2174,6036500,
3 Jan 2025,0.2150,0.2200,0.2050,0.2100,0.2029,1342500,
27 Dec 2024,0.1970,0.2150,0.1970,0.2150,0.2078,2762500,
20 Dec 2024,0.1970,0.1990,0.1950,0.1990,0.1923,445800,
13 Dec 2024,0.1950,0.1960,0.1940,0.1960,0.1894,616000,
6 Dec 2024,0.1950,0.1950,0.1930,0.1930,0.1865,44700,
29 Nov 2024,,,,,,,0.0050 Dividend
29 Nov 2024,0.2050,0.2050,0.1950,0.1950,0.1884,1336700,
22 Nov 2024,0.1980,0.2150,0.1910,0.2100,0.1977,3475500,
15 Nov 2024,0.1980,0.2000,0.1940,0.2000,0.1883,423900,
8 Nov 2024,0.1960,0.1990,0.1940,0.1980,0.1864,359900,
1 Nov 2024,0.2150,0.2150,0.1960,0.1960,0.1846,546100,
25 Oct 2024,0.1950,0.2200,0.1940,0.2100,0.1977,3558300,
18 Oct 2024,0.1940,0.1980,0.1930,0.1980,0.1864,2459600,
11 Oct 2024,0.1930,0.1970,0.1930,0.1960,0.1846,1020500,
4 Oct 2024,0.1960,0.1990,0.1900,0.1920,0.1808,2997700,
27 Sep 2024,0.1940,0.1990,0.1900,0.1990,0.1874,477600,
20 Sep 2024,0.1940,0.1980,0.1890,0.1930,0.1817,1566800,
13 Sep 2024,0.1940,0.1940,0.1840,0.1930,0.1817,1320500,
6 Sep 2024,0.1980,0.1990,0.1910,0.1950,0.1836,1329000,
30 Aug 2024,0.2050,0.2050,0.1950,0.1960,0.1846,206000,
23 Aug 2024,0.2000,0.2050,0.1980,0.2050,0.1930,542900,
23 Aug 2024,,,,,,,0.0050 Dividend
16 Aug 2024,0.2050,0.2050,0.1980,0.2050,0.1882,233500,
9 Aug 2024,0.2000,0.2050,0.1970,0.2000,0.1836,305100,
2 Aug 2024,0.2000,0.2050,0.1930,0.2050,0.1882,1527400,
26 Jul 2024,0.1990,0.2100,0.1980,0.2050,0.1882,5325900,
19 Jul 2024,0.1950,0.2050,0.1800,0.2050,0.1882,4659800,
12 Jul 2024,0.2350,0.2350,0.1910,0.1950,0.1790,3519400,
5 Jul 2024,0.2450,0.2450,0.2300,0.2400,0.2203,389700,
28 Jun 2024,0.2400,0.2450,0.2350,0.2400,0.2203,105200,
21 Jun 2024,0.2400,0.2500,0.2400,0.2450,0.2249,1474700,
14 Jun 2024,0.2350,0.2450,0.2300,0.2450,0.2249,460400,
7 Jun 2024,0.2300,0.2400,0.2250,0.2350,0.2157,581800,
31 May 2024,0.2350,0.2450,0.2300,0.2350,0.2157,1028300,
24 May 2024,0.2450,0.2550,0.2300,0.2400,0.2203,604600,
17 May 2024,0.2500,0.2500,0.2350,0.2450,0.2249,467600,
10 May 2024,0.2450,0.2650,0.2450,0.2500,0.2295,223000,
3 May 2024,0.2500,0.2500,0.2500,0.2500,0.2295,0,
26 Apr 2024,0.2450,0.2550,0.2400,0.2500,0.2295,210800,
19 Apr 2024,0.2450,0.2550,0.2400,0.2550,0.2341,279500,
12 Apr 2024,0.2500,0.2600,0.2450,0.2500,0.2295,53500,
5 Apr 2024,0.2450,0.2550,0.2450,0.2500,0.2295,103400,
29 Mar 2024,0.2450,0.2650,0.2450,0.2650,0.2433,4006000,
22 Mar 2024,0.2450,0.2600,0.2400,0.2600,0.2387,57500,
15 Mar 2024,0.2400,0.2550,0.2400,0.2500,0.2295,2748400,
8 Mar 2024,0.2500,0.2500,0.2400,0.2500,0.2295,1365000,
1 Mar 2024,0.2450,0.2500,0.2450,0.2500,0.2295,2240000,
23 Feb 2024,0.2400,0.2500,0.2250,0.2500,0.2295,117900,
16 Feb 2024,0.2400,0.2450,0.2350,0.2400,0.2203,265400,
9 Feb 2024,0.2400,0.2450,0.2250,0.2400,0.2203,393300,
2 Feb 2024,0.2400,0.2500,0.2350,0.2450,0.2249,361400,
26 Jan 2024,0.2500,0.2550,0.2400,0.2400,0.2203,250200,
19 Jan 2024,0.2300,0.2500,0.2200,0.2500,0.2295,2068300,
12 Jan 2024,0.2400,0.2400,0.2200,0.2350,0.2157,2495700,
5 Jan 2024,0.2400,0.2500,0.2250,0.2400,0.2203,1280000,
29 Dec 2023,0.2350,0.2400,0.2100,0.2400,0.2203,1159300,
22 Dec 2023,0.2800,0.2800,0.2300,0.2350,0.2157,2354400,
15 Dec 2023,0.2900,0.3000,0.2750,0.2800,0.2570,434800,
8 Dec 2023,0.2900,0.3000,0.2800,0.3000,0.2754,100800,
1 Dec 2023,0.2850,0.3400,0.2800,0.2900,0.2662,401100,
30 Nov 2023,,,,,,,0.0050 Dividend
24 Nov 2023,0.2850,0.2900,0.2800,0.2900,0.2616,253300,
