Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1080,0.1080,0.1000,0.1000,0.1000,5000,
31 Jul 2026,0.1300,0.1300,0.1080,0.1080,0.1080,84000,
24 Jul 2026,0.1320,0.1320,0.1300,0.1300,0.1300,100,
17 Jul 2026,0.1320,0.1320,0.1320,0.1320,0.1320,0,
10 Jul 2026,0.1320,0.1320,0.1320,0.1320,0.1320,0,
3 Jul 2026,0.1320,0.1320,0.1320,0.1320,0.1320,0,
26 Jun 2026,0.1320,0.1320,0.1320,0.1320,0.1320,100,
19 Jun 2026,0.1320,0.1320,0.1320,0.1320,0.1320,0,
12 Jun 2026,0.1320,0.1320,0.1320,0.1320,0.1320,0,
5 Jun 2026,0.1350,0.1350,0.1320,0.1320,0.1320,100,
29 May 2026,0.1360,0.1360,0.1350,0.1350,0.1350,193800,
22 May 2026,0.1650,0.1650,0.1650,0.1650,0.1650,0,
15 May 2026,0.1330,0.1680,0.1330,0.1650,0.1650,245100,
8 May 2026,0.1460,0.1460,0.1330,0.1330,0.1330,67100,
1 May 2026,0.1470,0.1470,0.1470,0.1470,0.1470,0,
24 Apr 2026,0.1400,0.1470,0.1390,0.1470,0.1470,188100,
17 Apr 2026,0.1400,0.1470,0.1400,0.1470,0.1470,36000,
10 Apr 2026,0.1400,0.1400,0.1400,0.1400,0.1400,0,
3 Apr 2026,0.1450,0.1450,0.1400,0.1400,0.1400,60600,
27 Mar 2026,0.1700,0.1700,0.1450,0.1450,0.1450,101400,
20 Mar 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
13 Mar 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
6 Mar 2026,0.1700,0.1700,0.1700,0.1700,0.1700,0,
27 Feb 2026,0.1640,0.1710,0.1640,0.1700,0.1700,55600,
20 Feb 2026,0.1690,0.1690,0.1690,0.1690,0.1690,0,
13 Feb 2026,0.1710,0.1710,0.1690,0.1690,0.1690,1200,
6 Feb 2026,0.1670,0.1710,0.1670,0.1710,0.1710,35500,
30 Jan 2026,0.1510,0.1750,0.1490,0.1670,0.1670,273100,
23 Jan 2026,0.1510,0.1510,0.1510,0.1510,0.1510,19000,
16 Jan 2026,0.1650,0.1650,0.1500,0.1510,0.1510,32600,
9 Jan 2026,0.1560,0.1560,0.1500,0.1510,0.1510,555800,
2 Jan 2026,0.1580,0.1580,0.1550,0.1550,0.1550,16000,
26 Dec 2025,0.1580,0.1580,0.1580,0.1580,0.1580,8300,
19 Dec 2025,0.1500,0.1510,0.1500,0.1510,0.1510,22000,
12 Dec 2025,0.1500,0.1500,0.1500,0.1500,0.1500,5000,
5 Dec 2025,0.1550,0.1650,0.1490,0.1500,0.1500,157100,
28 Nov 2025,0.1480,0.1560,0.1480,0.1560,0.1560,19300,
21 Nov 2025,0.1600,0.1600,0.1480,0.1480,0.1480,143700,
14 Nov 2025,0.1650,0.1650,0.1560,0.1600,0.1600,153800,
7 Nov 2025,0.1650,0.1650,0.1650,0.1650,0.1650,19500,
31 Oct 2025,0.1680,0.1680,0.1650,0.1650,0.1650,40000,
24 Oct 2025,0.1680,0.1680,0.1680,0.1680,0.1680,0,
17 Oct 2025,0.1850,0.1850,0.1650,0.1680,0.1680,246000,
10 Oct 2025,0.1810,0.1860,0.1800,0.1850,0.1850,187600,
3 Oct 2025,0.2500,0.2500,0.2300,0.2300,0.2300,900,
26 Sep 2025,0.2500,0.2500,0.2500,0.2500,0.2500,0,
19 Sep 2025,0.1900,0.2500,0.1800,0.2500,0.2500,83400,
12 Sep 2025,0.1900,0.1990,0.1890,0.1990,0.1990,64300,
5 Sep 2025,0.1800,0.2000,0.1800,0.2000,0.2000,31500,
