Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.5450,0.5450,0.5150,0.5200,0.5200,27834100,
4 Aug 2026,,,,,,,0.0199 Dividend
31 Jul 2026,0.5300,0.5550,0.5300,0.5450,0.5251,90738600,
24 Jul 2026,0.5300,0.5350,0.5250,0.5300,0.5106,33935300,
17 Jul 2026,0.5200,0.5300,0.5150,0.5300,0.5106,43121800,
10 Jul 2026,0.5350,0.5350,0.5100,0.5150,0.4962,109579900,
3 Jul 2026,0.5450,0.5450,0.5250,0.5300,0.5106,72208600,
26 Jun 2026,0.5250,0.5500,0.5200,0.5450,0.5251,174222871,
19 Jun 2026,0.5200,0.5300,0.5200,0.5200,0.5010,45463100,
12 Jun 2026,0.5150,0.5200,0.5100,0.5200,0.5010,24959200,
5 Jun 2026,0.5300,0.5350,0.5100,0.5100,0.4914,64529900,
29 May 2026,0.5150,0.5400,0.5100,0.5300,0.5106,70409300,
22 May 2026,0.5200,0.5250,0.5050,0.5150,0.4962,53653300,
15 May 2026,0.5300,0.5350,0.5200,0.5200,0.5010,33253700,
8 May 2026,0.5400,0.5450,0.5250,0.5300,0.5106,77211500,
1 May 2026,0.5300,0.5400,0.5250,0.5400,0.5203,32369200,
24 Apr 2026,0.5400,0.5400,0.5250,0.5300,0.5106,29176000,
17 Apr 2026,0.5300,0.5400,0.5300,0.5400,0.5203,24584100,
10 Apr 2026,0.5150,0.5350,0.5150,0.5350,0.5155,47358400,
3 Apr 2026,0.5050,0.5200,0.5000,0.5150,0.4962,35942800,
27 Mar 2026,0.5150,0.5150,0.5050,0.5050,0.4866,40214500,
20 Mar 2026,0.5150,0.5300,0.5100,0.5150,0.4962,32630500,
13 Mar 2026,0.5100,0.5250,0.4950,0.5150,0.4962,53453200,
6 Mar 2026,0.5400,0.5400,0.5000,0.5150,0.4962,92646600,
27 Feb 2026,0.5500,0.5650,0.5350,0.5500,0.5299,134417200,
20 Feb 2026,0.5350,0.5500,0.5300,0.5500,0.5299,45181060,
13 Feb 2026,0.5350,0.5500,0.5250,0.5350,0.5155,94800300,
10 Feb 2026,,,,,,,0.0197 Dividend
6 Feb 2026,0.5200,0.5350,0.5200,0.5350,0.4970,87994600,
30 Jan 2026,0.5150,0.5250,0.5100,0.5200,0.4831,61483900,
23 Jan 2026,0.5150,0.5200,0.5100,0.5150,0.4784,34099400,
16 Jan 2026,0.5100,0.5150,0.5050,0.5150,0.4784,25201244,
9 Jan 2026,0.4950,0.5150,0.4900,0.5050,0.4691,50200800,
2 Jan 2026,0.4900,0.4950,0.4850,0.4950,0.4598,23684500,
26 Dec 2025,0.4800,0.4900,0.4750,0.4900,0.4552,43277740,
19 Dec 2025,0.4750,0.4800,0.4700,0.4750,0.4413,35511700,
12 Dec 2025,0.4700,0.4750,0.4650,0.4750,0.4413,25693200,
5 Dec 2025,0.4650,0.4700,0.4650,0.4700,0.4366,19284800,
28 Nov 2025,0.4650,0.4700,0.4600,0.4700,0.4366,37276500,
21 Nov 2025,0.4650,0.4700,0.4600,0.4650,0.4320,21175200,
14 Nov 2025,0.4650,0.4700,0.4600,0.4650,0.4320,41380217,
7 Nov 2025,0.4650,0.4700,0.4600,0.4600,0.4273,32953400,
31 Oct 2025,0.4600,0.4700,0.4600,0.4600,0.4273,36802300,
24 Oct 2025,0.4600,0.4650,0.4550,0.4600,0.4273,35128300,
17 Oct 2025,0.4650,0.4700,0.4550,0.4600,0.4273,33612296,
10 Oct 2025,0.4750,0.4750,0.4650,0.4650,0.4320,27044400,
3 Oct 2025,0.4650,0.4750,0.4600,0.4750,0.4413,36005500,
26 Sep 2025,0.4600,0.4650,0.4550,0.4600,0.4273,37715200,
19 Sep 2025,0.4550,0.4600,0.4500,0.4550,0.4227,27114300,
12 Sep 2025,0.4500,0.4600,0.4450,0.4550,0.4227,31325100,
5 Sep 2025,0.4450,0.4500,0.4450,0.4450,0.4134,16390100,
29 Aug 2025,0.4350,0.4500,0.4350,0.4450,0.4134,51915200,
22 Aug 2025,0.4250,0.4400,0.4200,0.4350,0.4041,39736100,
15 Aug 2025,0.4250,0.4300,0.4200,0.4250,0.3948,17542600,
8 Aug 2025,0.4500,0.4500,0.4200,0.4250,0.3948,59990252,
5 Aug 2025,,,,,,,0.0197 Dividend
1 Aug 2025,0.4400,0.4500,0.4350,0.4450,0.3953,61583900,
25 Jul 2025,0.4350,0.4400,0.4300,0.4400,0.3909,55675600,
18 Jul 2025,0.4200,0.4350,0.4150,0.4350,0.3864,40228100,
11 Jul 2025,0.4150,0.4200,0.4150,0.4200,0.3731,20984200,
4 Jul 2025,0.3950,0.4200,0.3950,0.4150,0.3686,45583900,
27 Jun 2025,0.3900,0.4000,0.3900,0.3950,0.3509,26916375,
20 Jun 2025,0.3900,0.3950,0.3900,0.3900,0.3464,26467300,
13 Jun 2025,0.3950,0.3950,0.3900,0.3900,0.3464,19039000,
6 Jun 2025,0.3950,0.3950,0.3900,0.3950,0.3509,26279800,
30 May 2025,0.3950,0.4000,0.3900,0.3900,0.3464,23254100,
23 May 2025,0.3950,0.4000,0.3900,0.3950,0.3509,18270000,
16 May 2025,0.3950,0.4000,0.3900,0.4000,0.3553,36677900,
9 May 2025,0.4000,0.4050,0.3900,0.3950,0.3509,28692900,
2 May 2025,0.4050,0.4050,0.4000,0.4050,0.3598,12006600,
25 Apr 2025,0.4150,0.4150,0.4000,0.4050,0.3598,31701400,
18 Apr 2025,0.4000,0.4150,0.3950,0.4150,0.3686,19109900,
11 Apr 2025,0.4150,0.4150,0.3800,0.3950,0.3509,78984900,
4 Apr 2025,0.4250,0.4250,0.4150,0.4250,0.3775,28225500,
28 Mar 2025,0.4250,0.4250,0.4200,0.4250,0.3775,25777300,
21 Mar 2025,0.4250,0.4300,0.4200,0.4250,0.3775,33304000,
14 Mar 2025,0.4250,0.4300,0.4200,0.4300,0.3820,38740000,
7 Mar 2025,0.4400,0.4400,0.4250,0.4250,0.3775,55060000,
28 Feb 2025,0.4450,0.4450,0.4350,0.4400,0.3909,33737700,
21 Feb 2025,0.4450,0.4450,0.4400,0.4450,0.3953,17188900,
14 Feb 2025,0.4400,0.4450,0.4400,0.4450,0.3953,30819700,
10 Feb 2025,,,,,,,0.0125 Dividend
7 Feb 2025,0.4550,0.4550,0.4500,0.4500,0.3886,28256100,
31 Jan 2025,0.4550,0.4600,0.4500,0.4550,0.3930,17119600,
24 Jan 2025,0.4600,0.4600,0.4500,0.4550,0.3930,14455400,
17 Jan 2025,0.4500,0.4600,0.4450,0.4600,0.3973,19822300,
10 Jan 2025,0.4550,0.4550,0.4500,0.4500,0.3886,40718400,
3 Jan 2025,0.4500,0.4550,0.4450,0.4550,0.3930,11579900,
27 Dec 2024,0.4500,0.4500,0.4450,0.4500,0.3886,23980800,
20 Dec 2024,0.4500,0.4550,0.4400,0.4450,0.3843,42450700,
13 Dec 2024,0.4500,0.4550,0.4450,0.4450,0.3843,17038700,
6 Dec 2024,0.4500,0.4550,0.4450,0.4500,0.3886,25134600,
29 Nov 2024,0.4450,0.4500,0.4400,0.4500,0.3886,37567900,
22 Nov 2024,0.4450,0.4500,0.4400,0.4450,0.3843,20726400,
15 Nov 2024,0.4450,0.4500,0.4400,0.4400,0.3800,34378900,
8 Nov 2024,0.4450,0.4500,0.4400,0.4450,0.3843,37206400,
1 Nov 2024,0.4500,0.4550,0.4400,0.4450,0.3843,47067600,
25 Oct 2024,0.4650,0.4700,0.4450,0.4500,0.3886,80319600,
18 Oct 2024,0.4650,0.4700,0.4600,0.4700,0.4059,22434500,
11 Oct 2024,0.4650,0.4700,0.4600,0.4650,0.4016,27463500,
4 Oct 2024,0.4700,0.4700,0.4600,0.4600,0.3973,55654000,
27 Sep 2024,0.4700,0.4700,0.4600,0.4700,0.4059,32101800,
20 Sep 2024,0.4600,0.4750,0.4500,0.4650,0.4016,71714200,
13 Sep 2024,0.4550,0.4600,0.4500,0.4600,0.3973,41498800,
6 Sep 2024,0.4600,0.4600,0.4450,0.4550,0.3930,46380875,
3 Sep 2024,,,,,,,0.0070 Dividend
30 Aug 2024,0.4650,0.4700,0.4450,0.4600,0.3912,86863400,
23 Aug 2024,0.4550,0.4650,0.4500,0.4650,0.3955,19544900,
16 Aug 2024,0.4450,0.4600,0.4400,0.4550,0.3870,43871900,
9 Aug 2024,0.4600,0.4600,0.4400,0.4450,0.3785,43472700,
2 Aug 2024,,,,,,,0.0195 Dividend
2 Aug 2024,0.4800,0.4850,0.4600,0.4600,0.3912,28939500,
26 Jul 2024,0.4800,0.4800,0.4700,0.4750,0.3877,18830100,
19 Jul 2024,0.4750,0.4800,0.4700,0.4800,0.3918,10070200,
12 Jul 2024,0.4650,0.4800,0.4650,0.4750,0.3877,10863300,
5 Jul 2024,0.4700,0.4700,0.4650,0.4650,0.3796,6453900,
28 Jun 2024,0.4700,0.4800,0.4650,0.4700,0.3837,21119261,
21 Jun 2024,0.4550,0.4750,0.4550,0.4700,0.3837,27060100,
14 Jun 2024,0.4500,0.4600,0.4500,0.4550,0.3714,11265100,
7 Jun 2024,0.4550,0.4600,0.4500,0.4500,0.3673,8039900,
31 May 2024,0.4550,0.4700,0.4500,0.4550,0.3714,34280700,
24 May 2024,0.4550,0.4600,0.4500,0.4600,0.3755,15053300,
17 May 2024,0.4600,0.4600,0.4350,0.4550,0.3714,61996300,
10 May 2024,0.4700,0.4700,0.4500,0.4600,0.3755,53620400,
3 May 2024,0.4750,0.4850,0.4650,0.4650,0.3796,34407300,
26 Apr 2024,0.4800,0.4850,0.4700,0.4700,0.3837,29185400,
19 Apr 2024,0.4900,0.4950,0.4700,0.4800,0.3918,30195400,
12 Apr 2024,0.4900,0.4950,0.4900,0.4900,0.4000,7190500,
5 Apr 2024,0.4900,0.4950,0.4850,0.4950,0.4041,24204100,
29 Mar 2024,0.4900,0.4950,0.4800,0.4950,0.4041,23792300,
22 Mar 2024,0.4950,0.5000,0.4850,0.4950,0.4041,18859100,
15 Mar 2024,0.4900,0.4950,0.4850,0.4950,0.4041,24788800,
8 Mar 2024,0.4900,0.4950,0.4800,0.4900,0.4000,22345700,
1 Mar 2024,0.4950,0.5000,0.4900,0.4900,0.4000,26724100,
23 Feb 2024,0.5000,0.5050,0.4950,0.4950,0.4041,20608200,
16 Feb 2024,0.5000,0.5100,0.4950,0.5000,0.4081,19691300,
9 Feb 2024,0.5150,0.5150,0.4850,0.5050,0.4122,46140900,
6 Feb 2024,,,,,,,0.0096 Dividend
2 Feb 2024,0.5100,0.5150,0.5000,0.5100,0.4084,33773600,
26 Jan 2024,0.5050,0.5100,0.5000,0.5050,0.4044,10236100,
19 Jan 2024,0.5050,0.5100,0.5000,0.5050,0.4044,11225800,
12 Jan 2024,0.5050,0.5100,0.5000,0.5050,0.4044,11487300,
5 Jan 2024,0.5000,0.5100,0.5000,0.5050,0.4044,12767500,
29 Dec 2023,0.4950,0.5050,0.4900,0.5000,0.4004,18566900,
22 Dec 2023,0.4900,0.4950,0.4850,0.4950,0.3964,12783200,
15 Dec 2023,0.4750,0.4950,0.4700,0.4900,0.3924,24424300,
8 Dec 2023,0.4750,0.4800,0.4700,0.4750,0.3804,20470500,
1 Dec 2023,0.4700,0.4800,0.4700,0.4700,0.3764,10716300,
24 Nov 2023,0.4750,0.4800,0.4650,0.4700,0.3764,29879100,
17 Nov 2023,0.4600,0.4800,0.4550,0.4800,0.3844,20491400,
10 Nov 2023,0.4950,0.5050,0.4600,0.4600,0.3684,42623300,
9 Nov 2023,,,,,,,0.0330 Dividend
3 Nov 2023,0.4400,0.4900,0.4350,0.4850,0.3625,40627700,
27 Oct 2023,0.4450,0.4500,0.4350,0.4450,0.3326,23936000,
20 Oct 2023,0.4750,0.4750,0.4450,0.4450,0.3326,35093300,
13 Oct 2023,0.4650,0.4750,0.4650,0.4750,0.3550,7576300,
6 Oct 2023,0.4600,0.4750,0.4600,0.4700,0.3513,16621600,
29 Sep 2023,0.4800,0.4850,0.4400,0.4650,0.3475,52727900,
22 Sep 2023,0.4800,0.4850,0.4750,0.4850,0.3625,16454010,
