Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.3950,0.3950,0.3900,0.3900,0.3900,358800,
31 Jul 2026,0.3950,0.4000,0.3900,0.3900,0.3900,2077400,
24 Jul 2026,0.3950,0.4000,0.3900,0.3950,0.3950,1046200,
17 Jul 2026,0.3950,0.4000,0.3900,0.3950,0.3950,2033100,
10 Jul 2026,0.4000,0.4000,0.3950,0.3950,0.3950,415300,
3 Jul 2026,0.4000,0.4000,0.3900,0.3950,0.3950,1314100,
26 Jun 2026,0.4050,0.4100,0.3900,0.3900,0.3900,1835800,
25 Jun 2026,,,,,,,0.0100 Dividend
19 Jun 2026,0.4050,0.4100,0.4000,0.4050,0.3950,1706000,
12 Jun 2026,0.4100,0.4100,0.4050,0.4050,0.3950,1882600,
5 Jun 2026,0.4050,0.4150,0.4050,0.4100,0.3999,3701800,
29 May 2026,0.4100,0.4100,0.4000,0.4050,0.3950,2136400,
22 May 2026,0.4100,0.4100,0.4000,0.4100,0.3999,1872200,
15 May 2026,0.4150,0.4200,0.4050,0.4100,0.3999,6041300,
8 May 2026,0.3950,0.4300,0.3950,0.4150,0.4048,7823000,
1 May 2026,0.3950,0.4000,0.3900,0.3950,0.3852,1329900,
24 Apr 2026,0.3950,0.4000,0.3900,0.3950,0.3852,816800,
17 Apr 2026,0.3850,0.3950,0.3850,0.3900,0.3804,2312800,
10 Apr 2026,0.3950,0.3950,0.3800,0.3850,0.3755,3098100,
3 Apr 2026,0.3900,0.3950,0.3850,0.3950,0.3852,754900,
27 Mar 2026,0.3900,0.3950,0.3850,0.3900,0.3804,2167700,
20 Mar 2026,0.3900,0.3950,0.3850,0.3900,0.3804,1451600,
13 Mar 2026,0.3900,0.3950,0.3800,0.3900,0.3804,2508300,
6 Mar 2026,0.3950,0.4000,0.3850,0.3950,0.3852,3628900,
27 Feb 2026,0.4150,0.4200,0.3900,0.4000,0.3901,4848700,
20 Feb 2026,0.4200,0.4200,0.4100,0.4150,0.4048,1400800,
13 Feb 2026,0.4100,0.4250,0.4050,0.4200,0.4096,2638900,
6 Feb 2026,0.4300,0.4350,0.4050,0.4100,0.3999,2675000,
4 Feb 2026,,,,,,,0.0100 Dividend
30 Jan 2026,0.4300,0.4300,0.4200,0.4300,0.4096,2801500,
23 Jan 2026,0.4050,0.4400,0.4000,0.4300,0.4096,10599400,
16 Jan 2026,0.3950,0.4100,0.3950,0.4050,0.3858,2994300,
9 Jan 2026,0.3900,0.4000,0.3900,0.3950,0.3763,3343300,
2 Jan 2026,0.3900,0.3950,0.3850,0.3900,0.3715,1101800,
26 Dec 2025,0.3900,0.3950,0.3900,0.3900,0.3715,794200,
19 Dec 2025,0.3900,0.3950,0.3850,0.3900,0.3715,2079800,
12 Dec 2025,0.3850,0.3900,0.3850,0.3900,0.3715,543300,
5 Dec 2025,0.3850,0.3900,0.3850,0.3900,0.3715,479200,
28 Nov 2025,0.3850,0.3900,0.3800,0.3850,0.3668,1129100,
21 Nov 2025,0.3850,0.3900,0.3800,0.3850,0.3668,1220300,
14 Nov 2025,0.3800,0.3950,0.3800,0.3850,0.3668,1716100,
7 Nov 2025,0.4000,0.4000,0.3800,0.3800,0.3620,1964700,
31 Oct 2025,0.3750,0.4150,0.3750,0.3950,0.3763,4664200,
24 Oct 2025,0.3700,0.3750,0.3650,0.3700,0.3525,1018800,
17 Oct 2025,0.3750,0.3800,0.3700,0.3700,0.3525,1149800,
10 Oct 2025,0.3700,0.3750,0.3650,0.3750,0.3572,1807600,
3 Oct 2025,0.3700,0.3700,0.3600,0.3650,0.3477,1058300,
26 Sep 2025,0.3700,0.3750,0.3650,0.3700,0.3525,942500,
19 Sep 2025,0.3700,0.3750,0.3650,0.3700,0.3525,1390200,
12 Sep 2025,0.3650,0.3750,0.3650,0.3750,0.3572,2561600,
5 Sep 2025,0.3650,0.3700,0.3600,0.3650,0.3477,1624700,
29 Aug 2025,0.3600,0.3650,0.3550,0.3650,0.3477,909000,
22 Aug 2025,0.3600,0.3650,0.3500,0.3600,0.3429,2532700,
15 Aug 2025,0.3700,0.3800,0.3550,0.3600,0.3429,2842200,
8 Aug 2025,0.3700,0.3750,0.3650,0.3650,0.3477,3015800,
1 Aug 2025,0.3650,0.3800,0.3650,0.3700,0.3525,9675700,
25 Jul 2025,0.3500,0.3650,0.3500,0.3650,0.3477,7974300,
18 Jul 2025,0.3250,0.3550,0.3250,0.3500,0.3334,7585000,
11 Jul 2025,0.3250,0.3300,0.3250,0.3250,0.3096,589200,
4 Jul 2025,0.3250,0.3300,0.3200,0.3250,0.3096,2456900,
27 Jun 2025,0.3300,0.3300,0.3200,0.3250,0.3096,1992600,
26 Jun 2025,,,,,,,0.0100 Dividend
20 Jun 2025,0.3300,0.3300,0.3250,0.3250,0.3002,1167800,
13 Jun 2025,0.3250,0.3300,0.3250,0.3300,0.3048,2214800,
6 Jun 2025,0.3250,0.3300,0.3250,0.3300,0.3048,884700,
30 May 2025,0.3250,0.3300,0.3200,0.3250,0.3002,2443500,
23 May 2025,0.3250,0.3300,0.3200,0.3250,0.3002,2766600,
16 May 2025,0.3300,0.3300,0.3150,0.3250,0.3002,4127700,
9 May 2025,0.3200,0.3300,0.3200,0.3300,0.3048,2940900,
2 May 2025,0.3150,0.3200,0.3150,0.3200,0.2956,1279100,
25 Apr 2025,0.3100,0.3250,0.3050,0.3100,0.2864,2126800,
18 Apr 2025,0.3050,0.3100,0.3050,0.3100,0.2864,1303000,
11 Apr 2025,0.3100,0.3100,0.3000,0.3050,0.2817,3881600,
4 Apr 2025,0.3150,0.3150,0.3100,0.3100,0.2864,1360500,
28 Mar 2025,0.3150,0.3150,0.3100,0.3150,0.2910,844000,
21 Mar 2025,0.3100,0.3150,0.3050,0.3100,0.2864,1089300,
14 Mar 2025,0.3150,0.3200,0.3050,0.3100,0.2864,2145600,
7 Mar 2025,0.3150,0.3200,0.3100,0.3200,0.2956,1331500,
28 Feb 2025,0.3150,0.3200,0.3150,0.3150,0.2910,705300,
21 Feb 2025,0.3200,0.3200,0.3100,0.3150,0.2910,1498500,
14 Feb 2025,0.3200,0.3200,0.3150,0.3200,0.2956,662000,
7 Feb 2025,0.3300,0.3300,0.3150,0.3200,0.2956,1147500,
4 Feb 2025,,,,,,,0.0100 Dividend
31 Jan 2025,0.3250,0.3300,0.3250,0.3250,0.2911,1035700,
24 Jan 2025,0.3300,0.3350,0.3250,0.3250,0.2911,905700,
17 Jan 2025,0.3250,0.3300,0.3200,0.3300,0.2956,787400,
10 Jan 2025,0.3300,0.3300,0.3250,0.3250,0.2911,850500,
3 Jan 2025,0.3300,0.3300,0.3200,0.3300,0.2956,597200,
27 Dec 2024,0.3250,0.3300,0.3150,0.3300,0.2956,979500,
20 Dec 2024,0.3250,0.3300,0.3200,0.3250,0.2911,1011900,
13 Dec 2024,0.3250,0.3300,0.3150,0.3250,0.2911,2062700,
6 Dec 2024,0.3250,0.3250,0.3200,0.3200,0.2866,884900,
29 Nov 2024,0.3200,0.3250,0.3200,0.3250,0.2911,233600,
22 Nov 2024,0.3200,0.3250,0.3100,0.3200,0.2866,698000,
15 Nov 2024,0.3250,0.3250,0.3150,0.3150,0.2822,805700,
8 Nov 2024,0.3250,0.3250,0.3100,0.3200,0.2866,972200,
1 Nov 2024,0.3300,0.3300,0.3200,0.3250,0.2911,254700,
25 Oct 2024,0.3250,0.3300,0.3200,0.3300,0.2956,757800,
18 Oct 2024,0.3200,0.3200,0.3150,0.3200,0.2866,880000,
11 Oct 2024,0.3200,0.3250,0.3150,0.3200,0.2866,454900,
4 Oct 2024,0.3250,0.3250,0.3200,0.3200,0.2866,1072900,
27 Sep 2024,0.3200,0.3250,0.3150,0.3250,0.2911,1248100,
20 Sep 2024,0.3200,0.3200,0.3150,0.3200,0.2866,475900,
13 Sep 2024,0.3200,0.3200,0.3100,0.3200,0.2866,586000,
6 Sep 2024,0.3150,0.3200,0.3100,0.3150,0.2822,863500,
30 Aug 2024,0.3150,0.3200,0.3100,0.3100,0.2777,927800,
23 Aug 2024,0.3100,0.3200,0.3000,0.3150,0.2822,3139100,
16 Aug 2024,0.3100,0.3100,0.3050,0.3100,0.2777,447800,
9 Aug 2024,0.3100,0.3150,0.3000,0.3100,0.2777,886200,
2 Aug 2024,0.3100,0.3150,0.3050,0.3100,0.2777,416700,
26 Jul 2024,0.3100,0.3150,0.3000,0.3100,0.2777,938900,
19 Jul 2024,0.3200,0.3200,0.3100,0.3100,0.2777,632200,
12 Jul 2024,0.3200,0.3200,0.3150,0.3150,0.2822,883000,
5 Jul 2024,0.3200,0.3200,0.3100,0.3200,0.2866,715800,
28 Jun 2024,0.3250,0.3250,0.3100,0.3200,0.2866,1584400,
27 Jun 2024,,,,,,,0.0100 Dividend
21 Jun 2024,0.3200,0.3250,0.3200,0.3250,0.2820,883300,
14 Jun 2024,0.3200,0.3250,0.3150,0.3200,0.2777,1422300,
7 Jun 2024,0.3200,0.3250,0.3150,0.3150,0.2733,689600,
31 May 2024,0.3150,0.3250,0.3100,0.3150,0.2733,964400,
24 May 2024,0.3150,0.3150,0.3100,0.3100,0.2690,932700,
17 May 2024,0.3150,0.3150,0.3100,0.3150,0.2733,3214800,
10 May 2024,0.3050,0.3150,0.3000,0.3100,0.2690,1615500,
3 May 2024,0.3050,0.3150,0.3000,0.3100,0.2690,697800,
26 Apr 2024,0.3050,0.3100,0.3050,0.3050,0.2647,65000,
19 Apr 2024,0.3000,0.3100,0.3000,0.3050,0.2647,1688600,
12 Apr 2024,0.3050,0.3050,0.3000,0.3000,0.2603,588400,
5 Apr 2024,0.3050,0.3100,0.3000,0.3050,0.2647,506500,
29 Mar 2024,0.3000,0.3100,0.3000,0.3050,0.2647,840300,
22 Mar 2024,0.3050,0.3100,0.3000,0.3000,0.2603,1416500,
15 Mar 2024,0.3100,0.3100,0.3000,0.3100,0.2690,768900,
8 Mar 2024,0.3050,0.3100,0.3000,0.3100,0.2690,537300,
1 Mar 2024,0.3100,0.3150,0.3050,0.3050,0.2647,1114200,
23 Feb 2024,0.3100,0.3200,0.3050,0.3100,0.2690,1344700,
16 Feb 2024,0.3100,0.3150,0.3100,0.3100,0.2690,799900,
9 Feb 2024,0.3150,0.3200,0.3050,0.3100,0.2690,691800,
2 Feb 2024,0.3200,0.3200,0.3100,0.3100,0.2690,665300,
30 Jan 2024,,,,,,,0.0112 Dividend
26 Jan 2024,0.3250,0.3300,0.3150,0.3200,0.2680,1739200,
19 Jan 2024,0.3300,0.3350,0.3200,0.3250,0.2722,1272800,
12 Jan 2024,0.3250,0.3300,0.3250,0.3300,0.2763,312400,
5 Jan 2024,0.3200,0.3350,0.3150,0.3250,0.2722,1501500,
29 Dec 2023,0.3150,0.3200,0.3100,0.3200,0.2680,1305000,
22 Dec 2023,0.3150,0.3150,0.3100,0.3150,0.2638,441600,
15 Dec 2023,0.3150,0.3150,0.3100,0.3150,0.2638,315200,
8 Dec 2023,0.3100,0.3150,0.3100,0.3100,0.2596,680600,
1 Dec 2023,0.3050,0.3150,0.3050,0.3100,0.2596,544700,
24 Nov 2023,0.3050,0.3100,0.3050,0.3050,0.2554,350500,
17 Nov 2023,0.3050,0.3100,0.3000,0.3100,0.2596,465700,
10 Nov 2023,0.3050,0.3100,0.3000,0.3050,0.2554,922000,
3 Nov 2023,0.3100,0.3100,0.3050,0.3050,0.2554,546900,
27 Oct 2023,0.3100,0.3150,0.3000,0.3100,0.2596,785300,
20 Oct 2023,0.3150,0.3150,0.3050,0.3100,0.2596,349400,
13 Oct 2023,0.3100,0.3150,0.3050,0.3150,0.2638,811200,
6 Oct 2023,0.3150,0.3200,0.3050,0.3100,0.2596,1219300,
29 Sep 2023,0.3150,0.3200,0.3150,0.3150,0.2638,859500,
22 Sep 2023,0.3250,0.3250,0.3150,0.3150,0.2638,669100,
15 Sep 2023,0.3200,0.3250,0.3200,0.3250,0.2722,351700,
8 Sep 2023,0.3250,0.3250,0.3200,0.3200,0.2680,235300,
1 Sep 2023,0.3200,0.3250,0.3200,0.3200,0.2680,847700,
25 Aug 2023,0.3200,0.3250,0.3200,0.3200,0.2680,647000,
18 Aug 2023,0.3250,0.3250,0.3200,0.3200,0.2680,761800,
11 Aug 2023,0.3350,0.3350,0.3250,0.3250,0.2722,361800,
4 Aug 2023,0.3300,0.3350,0.3250,0.3350,0.2805,347800,
28 Jul 2023,0.3250,0.3300,0.3250,0.3300,0.2763,533900,
21 Jul 2023,0.3350,0.3350,0.3250,0.3250,0.2722,1318400,
14 Jul 2023,0.3400,0.3400,0.3300,0.3350,0.2805,557800,
7 Jul 2023,0.3450,0.3450,0.3350,0.3350,0.2805,207800,
30 Jun 2023,0.3450,0.3450,0.3350,0.3450,0.2889,356400,
28 Jun 2023,,,,,,,0.0056 Dividend
23 Jun 2023,0.3400,0.3500,0.3400,0.3450,0.2842,1536200,
16 Jun 2023,0.3350,0.3450,0.3350,0.3400,0.2801,676100,
9 Jun 2023,0.3400,0.3400,0.3350,0.3400,0.2801,437800,
2 Jun 2023,0.3450,0.3450,0.3400,0.3400,0.2801,406000,
26 May 2023,0.3350,0.3450,0.3350,0.3450,0.2842,186000,
19 May 2023,0.3450,0.3450,0.3350,0.3350,0.2760,557100,
12 May 2023,0.3450,0.3450,0.3350,0.3450,0.2842,535800,
5 May 2023,0.3300,0.3500,0.3250,0.3450,0.2842,950100,
28 Apr 2023,0.3200,0.3300,0.3200,0.3300,0.2719,301300,
21 Apr 2023,0.3350,0.3400,0.3200,0.3200,0.2636,858300,
14 Apr 2023,0.3350,0.3350,0.3300,0.3300,0.2719,302200,
7 Apr 2023,0.3350,0.3400,0.3250,0.3300,0.2719,497700,
31 Mar 2023,0.3350,0.3350,0.3300,0.3300,0.2719,256600,
24 Mar 2023,0.3350,0.3350,0.3200,0.3350,0.2760,918300,
17 Mar 2023,0.3300,0.3350,0.3300,0.3350,0.2760,687100,
10 Mar 2023,0.3400,0.3400,0.3200,0.3300,0.2719,945500,
3 Mar 2023,0.3400,0.3500,0.3300,0.3350,0.2760,2530400,
24 Feb 2023,0.3400,0.3400,0.3350,0.3400,0.2801,1304600,
17 Feb 2023,0.3400,0.3450,0.3350,0.3400,0.2801,1157300,
10 Feb 2023,0.3450,0.3500,0.3400,0.3400,0.2801,1231900,
3 Feb 2023,0.3550,0.3550,0.3450,0.3500,0.2883,587400,
27 Jan 2023,,,,,,,0.0112 Dividend
27 Jan 2023,0.3600,0.3650,0.3500,0.3550,0.2925,819100,
20 Jan 2023,0.3500,0.3600,0.3500,0.3600,0.2875,121900,
13 Jan 2023,0.3500,0.3550,0.3450,0.3500,0.2795,263800,
6 Jan 2023,0.3500,0.3550,0.3450,0.3500,0.2795,422800,
30 Dec 2022,0.3500,0.3500,0.3400,0.3500,0.2795,194100,
23 Dec 2022,0.3450,0.3500,0.3450,0.3500,0.2795,212200,
16 Dec 2022,0.3450,0.3500,0.3400,0.3450,0.2755,590200,
9 Dec 2022,0.3500,0.3550,0.3400,0.3450,0.2755,932400,
2 Dec 2022,0.3600,0.3650,0.3500,0.3500,0.2795,201700,
25 Nov 2022,0.3600,0.3650,0.3400,0.3600,0.2875,1157700,
18 Nov 2022,0.3500,0.3600,0.3450,0.3500,0.2795,545200,
11 Nov 2022,0.3400,0.3550,0.3400,0.3500,0.2795,476000,
4 Nov 2022,0.3450,0.3500,0.3400,0.3400,0.2715,228600,
28 Oct 2022,0.3350,0.3450,0.3300,0.3450,0.2755,578800,
21 Oct 2022,0.3450,0.3500,0.3300,0.3350,0.2675,509600,
14 Oct 2022,0.3400,0.3450,0.3350,0.3350,0.2675,292400,
7 Oct 2022,0.3400,0.3450,0.3300,0.3400,0.2715,243300,
30 Sep 2022,0.3500,0.3500,0.3350,0.3350,0.2675,750300,
23 Sep 2022,0.3550,0.3550,0.3450,0.3500,0.2795,700400,
16 Sep 2022,0.3600,0.3600,0.3550,0.3550,0.2835,917400,
9 Sep 2022,0.3600,0.3600,0.3500,0.3550,0.2835,331700,
2 Sep 2022,0.3600,0.3650,0.3550,0.3650,0.2915,595100,
26 Aug 2022,0.3650,0.3650,0.3550,0.3650,0.2915,395700,
19 Aug 2022,0.3650,0.3700,0.3600,0.3600,0.2875,244600,
12 Aug 2022,0.3650,0.3700,0.3650,0.3700,0.2955,215100,
5 Aug 2022,0.3750,0.3750,0.3650,0.3650,0.2915,468000,
