Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.7650,0.7800,0.7600,0.7800,0.7800,3900,
31 Jul 2026,0.7550,0.7600,0.7500,0.7600,0.7600,18300,
24 Jul 2026,0.8100,0.8100,0.7500,0.7550,0.7550,7900,
17 Jul 2026,0.7550,0.8100,0.7550,0.8100,0.8100,11500,
10 Jul 2026,0.8000,0.8100,0.6700,0.7550,0.7550,39400,
3 Jul 2026,0.8050,0.8150,0.8000,0.8000,0.8000,31000,
26 Jun 2026,0.8050,0.8300,0.7950,0.8050,0.8050,45800,
19 Jun 2026,0.8050,0.8050,0.8000,0.8050,0.8050,16000,
12 Jun 2026,0.8500,0.8500,0.8050,0.8050,0.8050,20700,
5 Jun 2026,0.8300,0.8500,0.8200,0.8500,0.8500,26500,
29 May 2026,0.8400,0.8400,0.8150,0.8300,0.8300,16700,
22 May 2026,0.8800,0.8850,0.8300,0.8350,0.8350,61600,
15 May 2026,0.8700,0.9600,0.8500,0.8800,0.8800,26900,
8 May 2026,1.1400,1.2300,0.8500,0.9100,0.9100,588500,
6 May 2026,,,,,,,0.2500 Dividend
1 May 2026,1.1100,1.1500,1.1000,1.1200,0.8924,268600,
24 Apr 2026,1.0900,1.1100,1.0700,1.1100,0.8844,424700,
17 Apr 2026,1.1000,1.1000,1.0900,1.1000,0.8764,209100,
10 Apr 2026,1.0900,1.1000,1.0800,1.1000,0.8764,117800,
3 Apr 2026,1.1000,1.1000,1.0800,1.1000,0.8764,76100,
27 Mar 2026,1.1000,1.1000,1.0900,1.1000,0.8764,49000,
20 Mar 2026,1.1100,1.1100,1.0900,1.1100,0.8844,43800,
13 Mar 2026,1.1100,1.1200,1.0900,1.1200,0.8924,113200,
6 Mar 2026,1.0600,1.1200,1.0600,1.1100,0.8844,348100,
27 Feb 2026,0.9250,1.1500,0.9200,1.0500,0.8366,421500,
20 Feb 2026,0.9300,0.9300,0.9300,0.9300,0.7410,0,
13 Feb 2026,0.9000,0.9300,0.9000,0.9300,0.7410,6600,
6 Feb 2026,0.8900,0.9050,0.8850,0.9050,0.7211,13200,
30 Jan 2026,0.8850,0.9750,0.8800,0.9750,0.7768,61000,
23 Jan 2026,0.8850,0.8900,0.8800,0.8800,0.7011,6700,
16 Jan 2026,0.8800,0.9000,0.8750,0.8850,0.7051,29800,
9 Jan 2026,0.9500,0.9500,0.9150,0.9150,0.7290,37200,
