Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.5900,0.5900,0.5750,0.5850,0.5850,22967200,
31 Jul 2026,0.5750,0.5900,0.5750,0.5900,0.5900,45525100,
24 Jul 2026,0.5700,0.5850,0.5650,0.5800,0.5800,47771300,
17 Jul 2026,0.5800,0.5800,0.5650,0.5750,0.5750,37661900,
10 Jul 2026,0.5750,0.5850,0.5700,0.5800,0.5800,36025100,
3 Jul 2026,0.5750,0.5800,0.5650,0.5750,0.5750,47279300,
26 Jun 2026,0.5750,0.5850,0.5650,0.5750,0.5750,87980300,
19 Jun 2026,0.5750,0.5900,0.5700,0.5800,0.5800,106086600,
12 Jun 2026,0.5500,0.5750,0.5450,0.5750,0.5750,79851200,
5 Jun 2026,0.5650,0.5650,0.5500,0.5500,0.5500,90066400,
29 May 2026,0.5650,0.5700,0.5500,0.5600,0.5600,75630100,
22 May 2026,0.5550,0.5700,0.5500,0.5650,0.5650,103230400,
15 May 2026,0.5700,0.5750,0.5550,0.5650,0.5650,70523100,
8 May 2026,0.5700,0.5850,0.5600,0.5700,0.5700,71832200,
1 May 2026,0.5700,0.5800,0.5600,0.5700,0.5700,39727700,
24 Apr 2026,0.5750,0.5850,0.5600,0.5650,0.5650,69512000,
17 Apr 2026,0.5650,0.5900,0.5650,0.5750,0.5750,45294500,
10 Apr 2026,0.5300,0.5700,0.5300,0.5700,0.5700,184765195,
3 Apr 2026,0.5350,0.5400,0.5300,0.5350,0.5350,48795099,
27 Mar 2026,0.5700,0.5700,0.5250,0.5400,0.5400,148430700,
20 Mar 2026,0.5600,0.5800,0.5500,0.5750,0.5750,135664200,
13 Mar 2026,0.5550,0.5650,0.5500,0.5550,0.5550,58921500,
6 Mar 2026,0.5732,0.5832,0.5500,0.5550,0.5550,120120206,
27 Feb 2026,0.6131,0.6131,0.5700,0.5750,0.5750,169075298,
24 Feb 2026,,,,,,,0.0052 Dividend
20 Feb 2026,0.6300,0.6350,0.6050,0.6150,0.6097,91971100,
13 Feb 2026,0.6350,0.6600,0.6200,0.6250,0.6196,85547200,
6 Feb 2026,0.6400,0.6400,0.6250,0.6350,0.6295,27374900,
30 Jan 2026,0.6450,0.6550,0.6250,0.6400,0.6345,62292055,
23 Jan 2026,0.6300,0.6600,0.6250,0.6500,0.6444,60714400,
16 Jan 2026,0.6250,0.6400,0.6200,0.6300,0.6246,30088300,
9 Jan 2026,0.6250,0.6300,0.6150,0.6250,0.6196,38967300,
2 Jan 2026,0.6200,0.6250,0.6150,0.6250,0.6196,10785500,
26 Dec 2025,0.6150,0.6250,0.6100,0.6200,0.6147,17108100,
19 Dec 2025,0.6150,0.6200,0.6050,0.6150,0.6097,43559000,
12 Dec 2025,0.6200,0.6200,0.5950,0.6100,0.6048,82350000,
5 Dec 2025,0.6150,0.6250,0.6150,0.6200,0.6147,102217090,
28 Nov 2025,0.6000,0.6300,0.6000,0.6200,0.6147,105354300,
21 Nov 2025,0.6200,0.6200,0.5900,0.6000,0.5948,103489900,
14 Nov 2025,0.6300,0.6500,0.6100,0.6250,0.6196,109521200,
12 Nov 2025,,,,,,,0.0133 Dividend
7 Nov 2025,0.6400,0.6500,0.6200,0.6300,0.6116,83565000,
31 Oct 2025,0.6450,0.6600,0.6400,0.6400,0.6214,31284800,
24 Oct 2025,0.6400,0.6550,0.6350,0.6450,0.6262,35733700,
17 Oct 2025,0.6250,0.6400,0.6150,0.6350,0.6165,45755600,
10 Oct 2025,0.6450,0.6550,0.6300,0.6350,0.6165,69405500,
3 Oct 2025,0.6150,0.6500,0.6100,0.6450,0.6262,56842700,
26 Sep 2025,0.6200,0.6250,0.6000,0.6100,0.5922,48838511,
19 Sep 2025,0.6500,0.6500,0.6150,0.6200,0.6019,49110300,
12 Sep 2025,0.6150,0.6550,0.6150,0.6400,0.6214,51821200,
5 Sep 2025,0.6000,0.6150,0.6000,0.6100,0.5922,33096200,
29 Aug 2025,0.5800,0.6100,0.5800,0.6000,0.5825,91300500,
22 Aug 2025,0.5650,0.5800,0.5650,0.5800,0.5631,18701400,
15 Aug 2025,0.5600,0.5900,0.5500,0.5700,0.5534,42080200,
11 Aug 2025,,,,,,,0.0180 Dividend
8 Aug 2025,0.5500,0.5800,0.5500,0.5750,0.5408,57288400,
1 Aug 2025,0.5500,0.5600,0.5450,0.5500,0.5173,21004600,
25 Jul 2025,0.5400,0.5650,0.5350,0.5500,0.5173,42107300,
18 Jul 2025,0.5250,0.5400,0.5200,0.5400,0.5079,29858100,
11 Jul 2025,0.5250,0.5300,0.5150,0.5250,0.4938,25601300,
4 Jul 2025,0.5250,0.5300,0.5150,0.5250,0.4938,36363563,
