Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0900,0.0920,0.0890,0.0900,0.0900,118900,
31 Jul 2026,0.0920,0.0920,0.0900,0.0910,0.0910,199000,
24 Jul 2026,0.0910,0.0930,0.0860,0.0920,0.0920,614400,
17 Jul 2026,0.0870,0.0920,0.0830,0.0910,0.0910,1516300,
10 Jul 2026,0.0900,0.0900,0.0860,0.0880,0.0880,1663400,
3 Jul 2026,0.0920,0.0920,0.0900,0.0900,0.0900,1345900,
26 Jun 2026,0.0920,0.0940,0.0910,0.0920,0.0920,1952000,
19 Jun 2026,0.0980,0.0980,0.0910,0.0920,0.0920,2906700,
12 Jun 2026,0.0960,0.0980,0.0900,0.0980,0.0980,3868800,
5 Jun 2026,0.1030,0.1040,0.0950,0.0970,0.0970,9966600,
29 May 2026,0.1040,0.1170,0.1030,0.1090,0.1090,14295900,
22 May 2026,0.1060,0.1060,0.1000,0.1020,0.1020,3076000,
15 May 2026,0.1060,0.1090,0.1050,0.1060,0.1060,5759300,
8 May 2026,0.1030,0.1110,0.1030,0.1060,0.1060,9573600,
1 May 2026,0.1070,0.1080,0.1030,0.1030,0.1030,3529000,
24 Apr 2026,0.1060,0.1150,0.1050,0.1070,0.1070,12439700,
17 Apr 2026,0.0960,0.1150,0.0950,0.1080,0.1080,19527200,
10 Apr 2026,0.0940,0.1040,0.0910,0.0970,0.0970,5993800,
3 Apr 2026,0.0950,0.0980,0.0940,0.0940,0.0940,2541700,
27 Mar 2026,0.1060,0.1060,0.0960,0.0970,0.0970,9484100,
20 Mar 2026,0.1040,0.1090,0.1030,0.1070,0.1070,10718000,
13 Mar 2026,0.1040,0.1060,0.0980,0.1040,0.1040,11878200,
6 Mar 2026,0.1180,0.1180,0.1010,0.1040,0.1040,20831600,
27 Feb 2026,0.1220,0.1250,0.1170,0.1200,0.1200,25198600,
20 Feb 2026,0.1200,0.1260,0.1180,0.1210,0.1210,22285200,
