Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0070,0.0080,0.0070,0.0080,0.0080,3660200,
31 Jul 2026,0.0060,0.0080,0.0060,0.0070,0.0070,48085500,
24 Jul 2026,0.0060,0.0070,0.0060,0.0070,0.0070,2062200,
17 Jul 2026,0.0060,0.0070,0.0060,0.0060,0.0060,2506500,
10 Jul 2026,0.0070,0.0070,0.0060,0.0060,0.0060,14969700,
3 Jul 2026,0.0070,0.0070,0.0060,0.0070,0.0070,23215500,
26 Jun 2026,0.0060,0.0070,0.0060,0.0070,0.0070,11655700,
19 Jun 2026,0.0070,0.0080,0.0060,0.0060,0.0060,25435700,
12 Jun 2026,0.0070,0.0080,0.0060,0.0080,0.0080,37621800,
5 Jun 2026,0.0080,0.0080,0.0070,0.0080,0.0080,14966200,
29 May 2026,0.0070,0.0080,0.0070,0.0080,0.0080,18624600,
22 May 2026,0.0070,0.0080,0.0060,0.0080,0.0080,100648200,
15 May 2026,0.0080,0.0080,0.0070,0.0070,0.0070,29371000,
8 May 2026,0.0070,0.0080,0.0060,0.0080,0.0080,98079400,
1 May 2026,0.0060,0.0070,0.0060,0.0070,0.0070,33803800,
24 Apr 2026,0.0070,0.0070,0.0060,0.0060,0.0060,5113200,
17 Apr 2026,0.0070,0.0070,0.0060,0.0070,0.0070,22291100,
10 Apr 2026,0.0060,0.0070,0.0060,0.0070,0.0070,3275000,
3 Apr 2026,0.0060,0.0070,0.0060,0.0060,0.0060,38720200,
27 Mar 2026,0.0070,0.0070,0.0060,0.0060,0.0060,25028300,
20 Mar 2026,0.0060,0.0070,0.0060,0.0070,0.0070,9198400,
13 Mar 2026,0.0060,0.0070,0.0060,0.0070,0.0070,12601300,
6 Mar 2026,0.0070,0.0080,0.0060,0.0070,0.0070,47357500,
27 Feb 2026,0.0070,0.0080,0.0060,0.0070,0.0070,254049100,
20 Feb 2026,0.0080,0.0080,0.0070,0.0070,0.0070,20312900,
13 Feb 2026,0.0070,0.0080,0.0070,0.0080,0.0080,70088700,
6 Feb 2026,0.0070,0.0080,0.0070,0.0070,0.0070,76321100,
30 Jan 2026,0.0070,0.0080,0.0070,0.0070,0.0070,291262900,
23 Jan 2026,0.0100,0.0100,0.0070,0.0080,0.0080,151869300,
16 Jan 2026,0.0080,0.0110,0.0080,0.0100,0.0100,110163900,
9 Jan 2026,0.0090,0.0090,0.0080,0.0080,0.0080,19886000,
2 Jan 2026,0.0080,0.0090,0.0080,0.0090,0.0090,15406000,
26 Dec 2025,0.0090,0.0100,0.0080,0.0080,0.0080,61934000,
19 Dec 2025,0.0110,0.0120,0.0090,0.0090,0.0090,74278009,
12 Dec 2025,0.0102,0.0117,0.0088,0.0110,0.0110,113618049,
5 Dec 2025,0.0140,0.0140,0.0130,0.0140,0.0140,7464900,
28 Nov 2025,0.0130,0.0140,0.0130,0.0140,0.0140,20811500,
21 Nov 2025,0.0130,0.0150,0.0130,0.0130,0.0130,16248900,
14 Nov 2025,0.0140,0.0150,0.0130,0.0140,0.0140,5560000,
7 Nov 2025,0.0150,0.0150,0.0130,0.0140,0.0140,9784000,
31 Oct 2025,0.0140,0.0150,0.0140,0.0150,0.0150,28362400,
24 Oct 2025,0.0140,0.0140,0.0130,0.0140,0.0140,20091000,
17 Oct 2025,0.0150,0.0150,0.0130,0.0130,0.0130,30652900,
10 Oct 2025,0.0150,0.0150,0.0140,0.0150,0.0150,12291400,
3 Oct 2025,0.0150,0.0160,0.0140,0.0150,0.0150,23769200,
26 Sep 2025,0.0150,0.0160,0.0140,0.0140,0.0140,22671300,
19 Sep 2025,0.0150,0.0160,0.0140,0.0150,0.0150,40908900,
12 Sep 2025,0.0170,0.0180,0.0140,0.0150,0.0150,59987000,
5 Sep 2025,0.0170,0.0170,0.0160,0.0170,0.0170,5845800,
29 Aug 2025,0.0170,0.0170,0.0160,0.0170,0.0170,11961700,
22 Aug 2025,0.0160,0.0180,0.0160,0.0170,0.0170,17540800,
15 Aug 2025,0.0170,0.0170,0.0150,0.0160,0.0160,21219300,
8 Aug 2025,0.0170,0.0180,0.0160,0.0160,0.0160,51481800,
1 Aug 2025,0.0140,0.0280,0.0140,0.0170,0.0170,198978500,
25 Jul 2025,0.0140,0.0150,0.0140,0.0140,0.0140,3525300,
18 Jul 2025,0.0140,0.0150,0.0140,0.0140,0.0140,8168100,
11 Jul 2025,0.0140,0.0150,0.0140,0.0140,0.0140,1452600,
4 Jul 2025,0.0140,0.0150,0.0130,0.0140,0.0140,7261600,
27 Jun 2025,0.0140,0.0150,0.0130,0.0140,0.0140,1317600,
20 Jun 2025,0.0140,0.0150,0.0140,0.0140,0.0140,3787300,
13 Jun 2025,0.0130,0.0150,0.0130,0.0140,0.0140,6114000,
6 Jun 2025,0.0130,0.0150,0.0130,0.0130,0.0130,5760200,
30 May 2025,0.0130,0.0150,0.0130,0.0140,0.0140,3019200,
23 May 2025,0.0140,0.0150,0.0130,0.0130,0.0130,6585800,
16 May 2025,0.0140,0.0150,0.0130,0.0140,0.0140,4050500,
9 May 2025,0.0140,0.0150,0.0130,0.0140,0.0140,1199600,
2 May 2025,0.0130,0.0150,0.0130,0.0130,0.0130,5055400,
25 Apr 2025,0.0140,0.0140,0.0130,0.0130,0.0130,3141900,
18 Apr 2025,0.0130,0.0140,0.0120,0.0140,0.0140,4627300,
11 Apr 2025,0.0140,0.0150,0.0130,0.0140,0.0140,8112100,
4 Apr 2025,0.0150,0.0150,0.0140,0.0140,0.0140,6495300,
28 Mar 2025,0.0150,0.0160,0.0140,0.0150,0.0150,7479000,
21 Mar 2025,0.0150,0.0170,0.0140,0.0150,0.0150,2411600,
14 Mar 2025,0.0150,0.0160,0.0140,0.0150,0.0150,8073700,
7 Mar 2025,0.0150,0.0160,0.0150,0.0150,0.0150,2546100,
28 Feb 2025,0.0160,0.0170,0.0150,0.0150,0.0150,17172200,
21 Feb 2025,0.0170,0.0180,0.0160,0.0170,0.0170,2650700,
14 Feb 2025,0.0170,0.0180,0.0160,0.0170,0.0170,2776600,
7 Feb 2025,0.0160,0.0180,0.0160,0.0170,0.0170,2348700,
31 Jan 2025,0.0170,0.0170,0.0160,0.0160,0.0160,1000300,
24 Jan 2025,0.0160,0.0180,0.0160,0.0180,0.0180,4481600,
17 Jan 2025,0.0160,0.0180,0.0160,0.0170,0.0170,2052700,
10 Jan 2025,0.0180,0.0180,0.0160,0.0180,0.0180,2290000,
3 Jan 2025,0.0170,0.0180,0.0170,0.0170,0.0170,1495500,
27 Dec 2024,0.0160,0.0180,0.0160,0.0170,0.0170,3401300,
20 Dec 2024,0.0180,0.0180,0.0160,0.0170,0.0170,5379400,
13 Dec 2024,0.0180,0.0190,0.0170,0.0180,0.0180,1904000,
6 Dec 2024,0.0180,0.0180,0.0170,0.0180,0.0180,3331600,
29 Nov 2024,0.0180,0.0190,0.0180,0.0180,0.0180,3556300,
22 Nov 2024,0.0190,0.0190,0.0180,0.0180,0.0180,8651200,
15 Nov 2024,0.0220,0.0230,0.0180,0.0190,0.0190,18164400,
8 Nov 2024,0.0230,0.0230,0.0220,0.0220,0.0220,2264500,
1 Nov 2024,0.0240,0.0240,0.0220,0.0230,0.0230,7780800,
25 Oct 2024,0.0220,0.0240,0.0220,0.0240,0.0240,15237100,
18 Oct 2024,0.0220,0.0240,0.0220,0.0220,0.0220,8863300,
11 Oct 2024,0.0220,0.0230,0.0220,0.0220,0.0220,12060900,
4 Oct 2024,0.0230,0.0240,0.0220,0.0220,0.0220,8954500,
27 Sep 2024,0.0230,0.0240,0.0220,0.0240,0.0240,7581900,
20 Sep 2024,0.0230,0.0240,0.0220,0.0220,0.0220,22803600,
13 Sep 2024,0.0200,0.0240,0.0190,0.0220,0.0220,20210700,
6 Sep 2024,0.0200,0.0210,0.0190,0.0200,0.0200,8986500,
30 Aug 2024,0.0190,0.0210,0.0190,0.0200,0.0200,8837800,
23 Aug 2024,0.0190,0.0200,0.0190,0.0200,0.0200,5568000,
16 Aug 2024,0.0180,0.0200,0.0180,0.0190,0.0190,5578500,
9 Aug 2024,0.0190,0.0200,0.0170,0.0180,0.0180,6734700,
2 Aug 2024,0.0200,0.0210,0.0190,0.0190,0.0190,4510600,
26 Jul 2024,0.0200,0.0210,0.0190,0.0200,0.0200,3920900,
19 Jul 2024,0.0210,0.0220,0.0190,0.0200,0.0200,15578100,
12 Jul 2024,0.0170,0.0240,0.0160,0.0220,0.0220,48712100,
5 Jul 2024,0.0140,0.0180,0.0130,0.0170,0.0170,28879800,
28 Jun 2024,0.0120,0.0140,0.0120,0.0140,0.0140,11460100,
21 Jun 2024,0.0120,0.0140,0.0120,0.0120,0.0120,12784700,
14 Jun 2024,0.0120,0.0130,0.0110,0.0120,0.0120,7382900,
7 Jun 2024,0.0120,0.0130,0.0110,0.0120,0.0120,10227900,
31 May 2024,0.0120,0.0130,0.0110,0.0120,0.0120,18008800,
24 May 2024,0.0130,0.0130,0.0120,0.0120,0.0120,2495300,
17 May 2024,0.0120,0.0130,0.0120,0.0120,0.0120,7891400,
10 May 2024,0.0120,0.0130,0.0110,0.0120,0.0120,10631900,
3 May 2024,0.0110,0.0120,0.0110,0.0120,0.0120,6949000,
26 Apr 2024,0.0120,0.0130,0.0110,0.0120,0.0120,14204000,
19 Apr 2024,0.0120,0.0130,0.0120,0.0120,0.0120,1127000,
12 Apr 2024,0.0130,0.0140,0.0120,0.0120,0.0120,2967900,
5 Apr 2024,0.0130,0.0140,0.0120,0.0130,0.0130,6653500,
29 Mar 2024,0.0130,0.0140,0.0130,0.0130,0.0130,2664200,
22 Mar 2024,0.0130,0.0140,0.0120,0.0130,0.0130,8797800,
15 Mar 2024,0.0140,0.0150,0.0130,0.0130,0.0130,5936200,
8 Mar 2024,0.0150,0.0150,0.0140,0.0140,0.0140,8062100,
1 Mar 2024,0.0150,0.0150,0.0140,0.0150,0.0150,11833000,
23 Feb 2024,0.0160,0.0160,0.0140,0.0160,0.0160,13217200,
16 Feb 2024,0.0160,0.0160,0.0150,0.0160,0.0160,3792200,
9 Feb 2024,0.0160,0.0160,0.0150,0.0160,0.0160,7252700,
2 Feb 2024,0.0160,0.0170,0.0150,0.0160,0.0160,9955400,
26 Jan 2024,0.0150,0.0160,0.0140,0.0160,0.0160,5289200,
19 Jan 2024,0.0150,0.0160,0.0140,0.0150,0.0150,11528400,
12 Jan 2024,0.0150,0.0170,0.0140,0.0150,0.0150,16915800,
5 Jan 2024,0.0170,0.0170,0.0140,0.0150,0.0150,25892100,
29 Dec 2023,0.0150,0.0170,0.0150,0.0170,0.0170,12379800,
22 Dec 2023,0.0180,0.0190,0.0150,0.0150,0.0150,35897500,
15 Dec 2023,0.0190,0.0200,0.0180,0.0180,0.0180,10074700,
8 Dec 2023,0.0200,0.0200,0.0180,0.0190,0.0190,9143800,
1 Dec 2023,0.0200,0.0210,0.0190,0.0200,0.0200,10748400,
24 Nov 2023,0.0210,0.0220,0.0200,0.0200,0.0200,10807200,
17 Nov 2023,0.0200,0.0220,0.0200,0.0210,0.0210,10924300,
10 Nov 2023,0.0200,0.0230,0.0190,0.0200,0.0200,26209800,
3 Nov 2023,0.0200,0.0210,0.0180,0.0190,0.0190,13321300,
27 Oct 2023,0.0190,0.0200,0.0180,0.0200,0.0200,8670100,
20 Oct 2023,0.0160,0.0190,0.0160,0.0190,0.0190,18493600,
13 Oct 2023,0.0170,0.0180,0.0160,0.0180,0.0180,1812800,
6 Oct 2023,0.0170,0.0180,0.0160,0.0170,0.0170,7567400,
29 Sep 2023,0.0160,0.0170,0.0160,0.0170,0.0170,2484100,
22 Sep 2023,0.0160,0.0170,0.0160,0.0160,0.0160,2207300,
15 Sep 2023,0.0170,0.0170,0.0150,0.0170,0.0170,7079800,
8 Sep 2023,0.0170,0.0180,0.0160,0.0160,0.0160,7296700,
1 Sep 2023,0.0170,0.0180,0.0170,0.0170,0.0170,1122700,
25 Aug 2023,0.0170,0.0180,0.0160,0.0170,0.0170,4091700,
18 Aug 2023,0.0190,0.0190,0.0170,0.0180,0.0180,9827000,
11 Aug 2023,0.0190,0.0200,0.0180,0.0190,0.0190,14493700,
4 Aug 2023,0.0180,0.0200,0.0180,0.0190,0.0190,13418600,
28 Jul 2023,0.0180,0.0190,0.0170,0.0180,0.0180,3575600,
21 Jul 2023,0.0180,0.0190,0.0170,0.0180,0.0180,5384800,
14 Jul 2023,0.0170,0.0190,0.0160,0.0180,0.0180,11547600,
7 Jul 2023,0.0180,0.0190,0.0160,0.0170,0.0170,14962300,
30 Jun 2023,0.0180,0.0180,0.0160,0.0170,0.0170,4386400,
23 Jun 2023,0.0170,0.0180,0.0160,0.0180,0.0180,8543500,
16 Jun 2023,0.0150,0.0170,0.0150,0.0170,0.0170,12198200,
9 Jun 2023,0.0160,0.0160,0.0150,0.0150,0.0150,4345800,
2 Jun 2023,0.0160,0.0160,0.0150,0.0150,0.0150,3564100,
26 May 2023,0.0160,0.0170,0.0150,0.0160,0.0160,10424600,
19 May 2023,0.0160,0.0170,0.0150,0.0150,0.0150,21530400,
12 May 2023,0.0160,0.0170,0.0160,0.0160,0.0160,4207700,
5 May 2023,0.0170,0.0170,0.0160,0.0160,0.0160,1420600,
28 Apr 2023,0.0170,0.0180,0.0160,0.0170,0.0170,13327900,
21 Apr 2023,0.0180,0.0180,0.0160,0.0170,0.0170,4903400,
14 Apr 2023,0.0160,0.0180,0.0150,0.0180,0.0180,13708700,
7 Apr 2023,0.0160,0.0170,0.0150,0.0160,0.0160,8114900,
31 Mar 2023,0.0160,0.0170,0.0150,0.0170,0.0170,10783100,
24 Mar 2023,0.0230,0.0230,0.0140,0.0160,0.0160,73957600,
17 Mar 2023,0.0240,0.0250,0.0220,0.0230,0.0230,30732100,
10 Mar 2023,0.0260,0.0270,0.0240,0.0250,0.0250,17314000,
3 Mar 2023,0.0270,0.0280,0.0260,0.0260,0.0260,41093500,
3 Mar 2023,,,,,,,0.0003 Dividend
24 Feb 2023,0.0320,0.0320,0.0290,0.0300,0.0297,45198600,
17 Feb 2023,0.0340,0.0340,0.0310,0.0310,0.0307,13986800,
10 Feb 2023,0.0360,0.0360,0.0340,0.0340,0.0336,11036600,
3 Feb 2023,0.0320,0.0370,0.0310,0.0360,0.0356,32161500,
27 Jan 2023,0.0320,0.0330,0.0310,0.0320,0.0316,11037900,
20 Jan 2023,0.0310,0.0320,0.0300,0.0320,0.0316,9614600,
13 Jan 2023,0.0310,0.0320,0.0300,0.0310,0.0307,3721600,
6 Jan 2023,0.0300,0.0320,0.0300,0.0310,0.0307,6099900,
30 Dec 2022,0.0310,0.0310,0.0300,0.0300,0.0297,3379100,
23 Dec 2022,0.0310,0.0310,0.0290,0.0310,0.0307,2806100,
16 Dec 2022,0.0300,0.0310,0.0290,0.0310,0.0307,3330700,
9 Dec 2022,0.0290,0.0300,0.0290,0.0300,0.0297,5262500,
2 Dec 2022,0.0290,0.0310,0.0290,0.0300,0.0297,7860600,
25 Nov 2022,0.0300,0.0300,0.0290,0.0290,0.0287,7153100,
18 Nov 2022,0.0310,0.0320,0.0300,0.0310,0.0307,6541000,
16 Nov 2022,,,,,,,0.0007 Dividend
11 Nov 2022,0.0300,0.0320,0.0290,0.0310,0.0300,8883200,
4 Nov 2022,0.0300,0.0310,0.0290,0.0300,0.0290,9469600,
28 Oct 2022,0.0300,0.0310,0.0280,0.0290,0.0281,12214400,
21 Oct 2022,0.0310,0.0310,0.0290,0.0300,0.0290,22121200,
14 Oct 2022,0.0340,0.0340,0.0310,0.0320,0.0310,17794000,
7 Oct 2022,0.0360,0.0360,0.0330,0.0350,0.0339,22769600,
30 Sep 2022,0.0380,0.0380,0.0340,0.0360,0.0348,19048400,
23 Sep 2022,0.0410,0.0410,0.0380,0.0380,0.0368,26612800,
16 Sep 2022,0.0410,0.0430,0.0380,0.0400,0.0387,165796400,
9 Sep 2022,0.0410,0.0410,0.0390,0.0410,0.0397,14985000,
2 Sep 2022,0.0400,0.0420,0.0400,0.0400,0.0387,29793600,
26 Aug 2022,0.0410,0.0410,0.0380,0.0400,0.0387,66373700,
19 Aug 2022,0.0460,0.0460,0.0400,0.0410,0.0397,60832500,
16 Aug 2022,,,,,,,0.0007 Dividend
12 Aug 2022,0.0490,0.0490,0.0460,0.0460,0.0439,32296400,
5 Aug 2022,0.0490,0.0500,0.0470,0.0490,0.0467,22559400,
29 Jul 2022,0.0490,0.0500,0.0480,0.0480,0.0458,16977600,
22 Jul 2022,0.0510,0.0510,0.0490,0.0500,0.0477,3465700,
15 Jul 2022,0.0500,0.0510,0.0490,0.0510,0.0486,3335800,
8 Jul 2022,0.0510,0.0520,0.0480,0.0500,0.0477,22019700,
1 Jul 2022,0.0520,0.0530,0.0500,0.0510,0.0486,7880500,
24 Jun 2022,0.0530,0.0550,0.0510,0.0520,0.0496,19870600,
17 Jun 2022,0.0530,0.0540,0.0520,0.0530,0.0505,8928300,
10 Jun 2022,0.0530,0.0550,0.0530,0.0540,0.0515,8331800,
3 Jun 2022,0.0530,0.0540,0.0530,0.0530,0.0505,2839000,
27 May 2022,0.0550,0.0550,0.0530,0.0540,0.0515,4777000,
20 May 2022,0.0550,0.0550,0.0530,0.0550,0.0524,10510200,
13 May 2022,0.0570,0.0570,0.0520,0.0550,0.0524,16673000,
9 May 2022,,,,,,,0.0007 Dividend
6 May 2022,0.0600,0.0600,0.0560,0.0570,0.0537,12676900,
29 Apr 2022,0.0550,0.0610,0.0540,0.0600,0.0565,32058100,
22 Apr 2022,0.0530,0.0550,0.0530,0.0550,0.0518,7398800,
15 Apr 2022,0.0530,0.0550,0.0530,0.0540,0.0509,12097700,
8 Apr 2022,0.0530,0.0530,0.0520,0.0530,0.0499,8239400,
1 Apr 2022,0.0520,0.0530,0.0510,0.0530,0.0499,17641900,
25 Mar 2022,0.0510,0.0520,0.0500,0.0520,0.0490,8066500,
18 Mar 2022,0.0510,0.0510,0.0490,0.0510,0.0481,15398400,
11 Mar 2022,0.0510,0.0510,0.0500,0.0510,0.0481,11907600,
4 Mar 2022,0.0530,0.0530,0.0510,0.0510,0.0481,8230800,
1 Mar 2022,,,,,,,0.0007 Dividend
25 Feb 2022,0.0530,0.0540,0.0510,0.0530,0.0493,24330900,
18 Feb 2022,0.0530,0.0540,0.0520,0.0540,0.0503,17481400,
11 Feb 2022,0.0540,0.0540,0.0520,0.0530,0.0493,16549500,
4 Feb 2022,0.0530,0.0540,0.0520,0.0540,0.0503,6929200,
28 Jan 2022,0.0540,0.0540,0.0520,0.0530,0.0493,9325000,
21 Jan 2022,0.0530,0.0540,0.0530,0.0540,0.0503,11763543,
14 Jan 2022,0.0550,0.0550,0.0530,0.0530,0.0493,11829600,
7 Jan 2022,0.0540,0.0550,0.0530,0.0550,0.0512,8113900,
31 Dec 2021,0.0540,0.0550,0.0530,0.0540,0.0503,17204400,
24 Dec 2021,0.0540,0.0550,0.0530,0.0540,0.0503,11770800,
17 Dec 2021,0.0550,0.0560,0.0540,0.0540,0.0503,9917500,
10 Dec 2021,0.0540,0.0560,0.0540,0.0550,0.0512,22542400,
3 Dec 2021,0.0550,0.0560,0.0530,0.0540,0.0503,909795770,
26 Nov 2021,0.0550,0.0570,0.0530,0.0560,0.0521,23494600,
19 Nov 2021,0.0560,0.0560,0.0530,0.0550,0.0512,26798700,
12 Nov 2021,0.0560,0.0570,0.0540,0.0560,0.0521,13900700,
5 Nov 2021,0.0570,0.0570,0.0550,0.0560,0.0521,12493800,
2 Nov 2021,,,,,,,0.0007 Dividend
29 Oct 2021,0.0560,0.0570,0.0540,0.0560,0.0515,26038200,
22 Oct 2021,0.0570,0.0580,0.0550,0.0560,0.0515,13953600,
15 Oct 2021,0.0580,0.0600,0.0570,0.0570,0.0524,26758400,
8 Oct 2021,0.0510,0.0580,0.0510,0.0570,0.0524,20802300,
1 Oct 2021,0.0520,0.0520,0.0490,0.0510,0.0469,21629400,
24 Sep 2021,0.0550,0.0560,0.0490,0.0510,0.0469,30061020,
17 Sep 2021,0.0560,0.0580,0.0470,0.0540,0.0497,139915500,
10 Sep 2021,0.0620,0.0620,0.0560,0.0570,0.0524,37946000,
3 Sep 2021,0.0620,0.0620,0.0610,0.0620,0.0570,12778300,
27 Aug 2021,0.0630,0.0630,0.0610,0.0620,0.0570,7105800,
20 Aug 2021,0.0630,0.0640,0.0610,0.0630,0.0580,16359800,
13 Aug 2021,0.0630,0.0630,0.0620,0.0630,0.0580,3137800,
6 Aug 2021,0.0620,0.0630,0.0610,0.0630,0.0580,9202000,
2 Aug 2021,,,,,,,0.0007 Dividend
