Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.5000,0.5100,0.5000,0.5100,0.5100,27000,
31 Jul 2026,0.5000,0.5200,0.5000,0.5000,0.5000,37200,
24 Jul 2026,0.5050,0.5100,0.5000,0.5000,0.5000,64500,
17 Jul 2026,0.5050,0.5350,0.5000,0.5100,0.5100,112000,
10 Jul 2026,0.5050,0.5100,0.5000,0.5000,0.5000,48700,
3 Jul 2026,0.5000,0.5200,0.5000,0.5150,0.5150,51500,
26 Jun 2026,0.5000,0.5250,0.5000,0.5000,0.5000,107900,
19 Jun 2026,0.5000,0.5300,0.5000,0.5000,0.5000,20400,
12 Jun 2026,0.5050,0.5100,0.4950,0.5000,0.5000,197400,
5 Jun 2026,0.5450,0.5450,0.5100,0.5300,0.5300,43100,
29 May 2026,0.5400,0.5700,0.5400,0.5500,0.5500,72600,
22 May 2026,0.5700,0.5700,0.5550,0.5600,0.5600,84700,
15 May 2026,0.5900,0.5950,0.5600,0.5650,0.5650,209800,
8 May 2026,0.6050,0.6150,0.5900,0.6000,0.6000,322800,
1 May 2026,0.6050,0.6250,0.5650,0.6000,0.6000,274700,
24 Apr 2026,0.6200,0.6400,0.6050,0.6150,0.6150,795900,
17 Apr 2026,0.5350,0.6300,0.5350,0.6200,0.6200,957300,
10 Apr 2026,0.5150,0.5450,0.5150,0.5350,0.5350,234700,
3 Apr 2026,0.5100,0.5500,0.4900,0.5100,0.5100,237600,
27 Mar 2026,0.4900,0.5200,0.4800,0.5150,0.5150,674900,
20 Mar 2026,0.4950,0.5000,0.4800,0.4900,0.4900,325200,
13 Mar 2026,0.5250,0.5250,0.4900,0.5000,0.5000,394100,
6 Mar 2026,0.5800,0.6000,0.5300,0.5350,0.5350,964800,
5 Mar 2026,,,,,,,0.0200 Dividend
27 Feb 2026,0.6300,0.6400,0.5750,0.5850,0.5637,1379100,
20 Feb 2026,0.6350,0.6450,0.6250,0.6350,0.6119,1076000,
13 Feb 2026,0.7000,0.7350,0.6400,0.6400,0.6167,2645000,
6 Feb 2026,0.7000,0.7100,0.6700,0.7000,0.6745,1430000,
30 Jan 2026,0.6950,0.7100,0.6850,0.7000,0.6745,1643600,
23 Jan 2026,0.6450,0.7050,0.6350,0.6950,0.6697,1612600,
16 Jan 2026,0.5250,0.6500,0.5250,0.6300,0.6071,1368900,
9 Jan 2026,0.5000,0.5300,0.4900,0.5250,0.5059,1030000,
2 Jan 2026,0.4950,0.5000,0.4900,0.4900,0.4722,151100,
26 Dec 2025,0.4950,0.5000,0.4900,0.4950,0.4770,166600,
19 Dec 2025,0.4800,0.5000,0.4750,0.4950,0.4770,509000,
12 Dec 2025,0.4550,0.4800,0.4550,0.4800,0.4625,887500,
5 Dec 2025,0.4500,0.4550,0.4450,0.4550,0.4385,435700,
28 Nov 2025,0.4550,0.4550,0.4450,0.4500,0.4336,366000,
21 Nov 2025,0.4450,0.4600,0.4450,0.4550,0.4385,463600,
14 Nov 2025,0.4450,0.4650,0.4450,0.4500,0.4336,295500,
7 Nov 2025,0.4850,0.4850,0.4400,0.4550,0.4385,923500,
5 Nov 2025,,,,,,,0.0200 Dividend
31 Oct 2025,0.4800,0.4900,0.4750,0.4800,0.4433,947400,
24 Oct 2025,0.4450,0.4800,0.4450,0.4800,0.4433,1196100,
17 Oct 2025,0.4550,0.4650,0.4450,0.4450,0.4110,953000,
10 Oct 2025,0.4550,0.4750,0.4550,0.4550,0.4202,1856000,
3 Oct 2025,0.4300,0.4550,0.4300,0.4500,0.4156,894100,
26 Sep 2025,0.4250,0.4400,0.4250,0.4300,0.3971,791500,
19 Sep 2025,0.4250,0.4350,0.4200,0.4250,0.3925,1713400,
12 Sep 2025,0.4250,0.4450,0.4200,0.4300,0.3971,2604900,
5 Sep 2025,0.5000,0.5050,0.4200,0.4250,0.3925,4926200,
29 Aug 2025,0.4500,0.4900,0.4500,0.4750,0.4387,1610900,
22 Aug 2025,0.4050,0.4550,0.4050,0.4500,0.4156,1354500,
15 Aug 2025,0.4000,0.4150,0.3950,0.4050,0.3740,555700,
8 Aug 2025,0.3800,0.4050,0.3800,0.4000,0.3694,512900,
1 Aug 2025,0.4050,0.4050,0.3750,0.3800,0.3509,772700,
25 Jul 2025,0.4150,0.4250,0.3950,0.4050,0.3740,1481200,
18 Jul 2025,0.3950,0.4150,0.3900,0.4050,0.3740,1179200,
11 Jul 2025,0.3650,0.4150,0.3650,0.4000,0.3694,1622100,
4 Jul 2025,0.3650,0.3900,0.3650,0.3650,0.3371,370600,
27 Jun 2025,0.3400,0.3900,0.3400,0.3650,0.3371,626200,
20 Jun 2025,0.3350,0.3500,0.3300,0.3400,0.3140,144400,
13 Jun 2025,0.3300,0.3400,0.3200,0.3350,0.3094,116900,
6 Jun 2025,0.3000,0.3300,0.3000,0.3300,0.3048,213800,
30 May 2025,0.3000,0.3050,0.3000,0.3050,0.2817,147300,
23 May 2025,0.3000,0.3050,0.2900,0.3000,0.2770,144600,
16 May 2025,0.2950,0.3050,0.2950,0.3000,0.2770,31700,
9 May 2025,0.2900,0.3050,0.2900,0.3050,0.2817,37200,
2 May 2025,0.2900,0.2900,0.2900,0.2900,0.2678,200,
25 Apr 2025,0.2850,0.3000,0.2800,0.2900,0.2678,78800,
18 Apr 2025,0.2800,0.2950,0.2800,0.2950,0.2724,27500,
11 Apr 2025,0.2800,0.2850,0.2700,0.2800,0.2586,201700,
4 Apr 2025,0.2900,0.3050,0.2850,0.2850,0.2632,38000,
28 Mar 2025,0.3000,0.3000,0.2900,0.2900,0.2678,33200,
21 Mar 2025,0.3000,0.3050,0.2950,0.3000,0.2770,32700,
14 Mar 2025,0.2900,0.3000,0.2850,0.3000,0.2770,167800,
7 Mar 2025,0.2900,0.3000,0.2850,0.2900,0.2678,65200,
28 Feb 2025,0.3200,0.3250,0.2900,0.2900,0.2678,226900,
27 Feb 2025,,,,,,,0.0200 Dividend
21 Feb 2025,0.3100,0.3250,0.3100,0.3150,0.2730,539300,
14 Feb 2025,0.2950,0.3000,0.2850,0.2950,0.2557,266400,
7 Feb 2025,0.2950,0.3000,0.2850,0.3000,0.2600,61100,
31 Jan 2025,0.2900,0.3000,0.2900,0.3000,0.2600,92000,
24 Jan 2025,0.2800,0.2900,0.2800,0.2900,0.2513,40800,
17 Jan 2025,0.2850,0.2850,0.2800,0.2800,0.2427,84000,
10 Jan 2025,0.2950,0.2950,0.2800,0.2800,0.2427,46900,
3 Jan 2025,0.2900,0.2900,0.2850,0.2900,0.2513,15100,
27 Dec 2024,0.2800,0.2900,0.2800,0.2900,0.2513,2000,
20 Dec 2024,0.2900,0.2900,0.2800,0.2800,0.2427,22200,
13 Dec 2024,0.3000,0.3000,0.2900,0.2900,0.2513,128400,
6 Dec 2024,0.2950,0.3000,0.2900,0.2900,0.2513,40400,
29 Nov 2024,0.3000,0.3100,0.2950,0.2950,0.2557,229400,
22 Nov 2024,0.3050,0.3200,0.2900,0.2900,0.2513,111400,
15 Nov 2024,0.3050,0.3050,0.2750,0.3050,0.2643,12300,
8 Nov 2024,0.3000,0.3100,0.2750,0.3000,0.2600,94500,
7 Nov 2024,,,,,,,0.0100 Dividend
1 Nov 2024,0.2950,0.3100,0.2900,0.3100,0.2597,126700,
25 Oct 2024,0.3050,0.3100,0.2950,0.3100,0.2597,35300,
18 Oct 2024,0.3050,0.3100,0.2950,0.3050,0.2555,136700,
11 Oct 2024,0.3050,0.3200,0.3000,0.3050,0.2555,319900,
4 Oct 2024,0.2800,0.3050,0.2800,0.3000,0.2513,331800,
27 Sep 2024,0.2900,0.2950,0.2800,0.2900,0.2430,179600,
20 Sep 2024,0.2850,0.3000,0.2800,0.2950,0.2471,56600,
13 Sep 2024,0.2950,0.2950,0.2900,0.2950,0.2471,10300,
6 Sep 2024,0.3000,0.3000,0.2750,0.2950,0.2471,91000,
