Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.9300,1.9400,1.9100,1.9300,1.9300,8255400,
31 Jul 2026,1.9300,1.9700,1.9100,1.9300,1.9300,43085100,
30 Jul 2026,,,,,,,0.0311 Dividend
24 Jul 2026,1.9400,1.9500,1.9200,1.9300,1.8994,25991900,
17 Jul 2026,1.9400,1.9500,1.9200,1.9400,1.9092,20560400,
10 Jul 2026,1.9400,1.9400,1.9100,1.9400,1.9092,31650800,
3 Jul 2026,1.9400,1.9500,1.9100,1.9400,1.9092,34348300,
26 Jun 2026,1.9400,1.9500,1.9200,1.9400,1.9092,41957900,
19 Jun 2026,1.9700,1.9800,1.9200,1.9400,1.9092,39316600,
12 Jun 2026,1.9200,1.9700,1.9100,1.9600,1.9289,31233400,
5 Jun 2026,1.9400,1.9500,1.9100,1.9400,1.9092,27146700,
29 May 2026,1.9500,1.9600,1.9200,1.9400,1.9092,22220600,
22 May 2026,1.9200,1.9700,1.9000,1.9500,1.9191,32619600,
15 May 2026,1.9500,1.9600,1.9100,1.9200,1.8895,31855500,
8 May 2026,1.9700,1.9800,1.9300,1.9500,1.9191,53747000,
6 May 2026,,,,,,,0.0309 Dividend
1 May 2026,2.0500,2.0700,1.9400,1.9700,1.9085,63353100,
24 Apr 2026,2.0600,2.0800,2.0400,2.0500,1.9860,38648500,
17 Apr 2026,1.9800,2.0700,1.9800,2.0600,1.9957,33341800,
10 Apr 2026,1.9600,2.0100,1.9500,2.0000,1.9375,33068900,
3 Apr 2026,1.9300,1.9700,1.9200,1.9600,1.8988,22761600,
27 Mar 2026,1.9800,1.9800,1.9300,1.9400,1.8794,47710800,
20 Mar 2026,1.9700,2.0100,1.9600,2.0000,1.9375,27878600,
13 Mar 2026,1.9800,1.9900,1.9400,1.9700,1.9085,35102700,
6 Mar 2026,2.0300,2.0500,1.9700,2.0000,1.9375,46758100,
27 Feb 2026,2.0400,2.0600,2.0300,2.0400,1.9763,21470300,
20 Feb 2026,2.0300,2.0500,2.0200,2.0400,1.9763,9025000,
13 Feb 2026,2.0400,2.0600,2.0200,2.0200,1.9569,32664600,
6 Feb 2026,2.1100,2.1100,2.0200,2.0300,1.9666,49905200,
4 Feb 2026,,,,,,,0.0317 Dividend
30 Jan 2026,2.1100,2.1300,2.0900,2.1100,2.0131,50038336,
23 Jan 2026,2.1000,2.1200,2.0900,2.1100,2.0131,20811800,
16 Jan 2026,2.0900,2.1100,2.0800,2.1000,2.0036,21255300,
9 Jan 2026,2.0800,2.1000,2.0600,2.0900,1.9940,24454100,
2 Jan 2026,2.0400,2.1000,2.0400,2.0700,1.9749,31609800,
26 Dec 2025,2.0400,2.0400,2.0200,2.0400,1.9463,10925200,
19 Dec 2025,2.0300,2.0400,2.0100,2.0400,1.9463,20084100,
12 Dec 2025,2.0300,2.0300,2.0100,2.0300,1.9368,15602900,
5 Dec 2025,2.0600,2.0700,2.0100,2.0300,1.9368,34863600,
