Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.2300,1.2400,1.2000,1.2200,1.2200,27150800,
4 Aug 2026,,,,,,,0.0182 Dividend
31 Jul 2026,1.2000,1.2600,1.1800,1.2400,1.2217,117379049,
24 Jul 2026,1.2200,1.2200,1.1900,1.2000,1.1823,86394000,
17 Jul 2026,1.2200,1.2300,1.2000,1.2100,1.1921,67753300,
10 Jul 2026,1.2200,1.2400,1.2100,1.2300,1.2118,50156300,
3 Jul 2026,1.2300,1.2400,1.2000,1.2200,1.2020,67673700,
26 Jun 2026,1.2300,1.2500,1.2000,1.2300,1.2118,92407005,
19 Jun 2026,1.2200,1.2400,1.1900,1.2300,1.2118,83655200,
12 Jun 2026,1.1800,1.2200,1.1600,1.2200,1.2020,61849000,
5 Jun 2026,1.2000,1.2000,1.1600,1.1800,1.1626,85660900,
29 May 2026,1.1800,1.2100,1.1700,1.2000,1.1823,68702700,
22 May 2026,1.1600,1.2000,1.1400,1.1800,1.1626,96734600,
15 May 2026,1.1900,1.2000,1.1600,1.1700,1.1527,111723300,
8 May 2026,1.2200,1.2400,1.1800,1.1900,1.1724,97089000,
8 May 2026,,,,,,,0.0182 Dividend
1 May 2026,1.2600,1.2600,1.2100,1.2200,1.1841,63892300,
24 Apr 2026,1.2500,1.2800,1.2400,1.2600,1.2229,70300900,
17 Apr 2026,1.1800,1.2700,1.1700,1.2500,1.2132,107463700,
10 Apr 2026,1.1600,1.2000,1.1600,1.1900,1.1549,70713600,
3 Apr 2026,1.1500,1.1800,1.1400,1.1600,1.1258,69366700,
27 Mar 2026,1.1900,1.2000,1.1400,1.1600,1.1258,118042320,
20 Mar 2026,1.2000,1.2300,1.1900,1.2100,1.1744,81929400,
13 Mar 2026,1.2200,1.2300,1.1900,1.2000,1.1647,103021000,
6 Mar 2026,1.2800,1.2900,1.2200,1.2400,1.2035,109790000,
27 Feb 2026,1.2800,1.3000,1.2800,1.2900,1.2520,50698100,
20 Feb 2026,1.2900,1.3000,1.2700,1.2900,1.2520,32786100,
13 Feb 2026,1.3100,1.3300,1.2900,1.3000,1.2617,61104300,
6 Feb 2026,1.3400,1.3400,1.3000,1.3100,1.2714,75660400,
2 Feb 2026,,,,,,,0.0182 Dividend
30 Jan 2026,1.3600,1.3700,1.3400,1.3500,1.2926,66200500,
23 Jan 2026,1.3600,1.3700,1.3400,1.3600,1.3022,42308400,
16 Jan 2026,1.3500,1.3600,1.3400,1.3600,1.3022,37875619,
9 Jan 2026,1.3200,1.3500,1.3100,1.3500,1.2926,45034300,
2 Jan 2026,1.3000,1.3300,1.3000,1.3200,1.2639,27143600,
26 Dec 2025,1.2900,1.3000,1.2800,1.3000,1.2447,16801900,
19 Dec 2025,1.2900,1.2900,1.2800,1.2900,1.2352,28631870,
12 Dec 2025,1.2900,1.3000,1.2700,1.2900,1.2352,26169900,
