Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.3300,1.3400,1.3100,1.3300,1.3300,22772400,
31 Jul 2026,1.3300,1.3700,1.3100,1.3300,1.3300,88155600,
24 Jul 2026,1.3400,1.3600,1.3200,1.3300,1.3300,59851100,
17 Jul 2026,1.3100,1.3500,1.3000,1.3400,1.3400,71764100,
10 Jul 2026,1.3000,1.3200,1.2900,1.3100,1.3100,61466500,
3 Jul 2026,1.3000,1.3100,1.2700,1.2900,1.2900,52312900,
26 Jun 2026,1.2700,1.3300,1.2500,1.3000,1.3000,103995500,
19 Jun 2026,1.2800,1.3100,1.2600,1.2700,1.2700,95454500,
12 Jun 2026,1.2500,1.2800,1.2300,1.2700,1.2700,46366800,
5 Jun 2026,1.2800,1.2900,1.2500,1.2700,1.2700,65910800,
29 May 2026,1.2700,1.2900,1.2500,1.2800,1.2800,64511600,
22 May 2026,1.2400,1.2800,1.2200,1.2700,1.2700,76204000,
15 May 2026,1.2700,1.2800,1.2400,1.2500,1.2500,71865500,
8 May 2026,1.2900,1.3100,1.2500,1.2700,1.2700,102996900,
6 May 2026,,,,,,,0.0190 Dividend
1 May 2026,1.4000,1.4100,1.2800,1.2900,1.2710,111073700,
24 Apr 2026,1.4000,1.4300,1.3900,1.4000,1.3794,49646600,
17 Apr 2026,1.3500,1.4400,1.3500,1.4100,1.3892,67547590,
10 Apr 2026,1.3300,1.3700,1.3200,1.3700,1.3498,26756400,
3 Apr 2026,1.3000,1.3500,1.3000,1.3300,1.3104,47125800,
27 Mar 2026,1.3300,1.3300,1.2900,1.3100,1.2907,63307900,
20 Mar 2026,1.3500,1.3900,1.3300,1.3400,1.3203,61024200,
13 Mar 2026,1.3800,1.3800,1.3300,1.3500,1.3301,42162500,
6 Mar 2026,1.4200,1.4300,1.3700,1.4000,1.3794,54635800,
27 Feb 2026,1.4500,1.4500,1.4200,1.4200,1.3991,26933700,
20 Feb 2026,1.4500,1.4500,1.4300,1.4400,1.4188,11321600,
13 Feb 2026,1.4500,1.4700,1.4400,1.4500,1.4286,28693400,
6 Feb 2026,,,,,,,0.0205 Dividend
6 Feb 2026,1.4600,1.4700,1.4400,1.4400,1.4188,45039100,
30 Jan 2026,1.4700,1.4800,1.4300,1.4600,1.4183,50264500,
23 Jan 2026,1.4800,1.4900,1.4600,1.4700,1.4280,45374100,
16 Jan 2026,1.4600,1.4800,1.4600,1.4700,1.4280,21589200,
9 Jan 2026,1.4700,1.4800,1.4500,1.4600,1.4183,42298800,
2 Jan 2026,1.4600,1.4800,1.4500,1.4700,1.4280,14366900,
26 Dec 2025,1.4500,1.4600,1.4400,1.4600,1.4183,11872600,
19 Dec 2025,1.4500,1.4600,1.4300,1.4500,1.4086,31226030,
12 Dec 2025,1.4300,1.4500,1.4000,1.4500,1.4086,22146500,
5 Dec 2025,1.4600,1.4600,1.4200,1.4300,1.3892,34521100,
28 Nov 2025,1.4300,1.4600,1.4200,1.4600,1.4183,34220400,
21 Nov 2025,1.4500,1.4600,1.4200,1.4300,1.3892,40669900,
14 Nov 2025,1.4600,1.4800,1.4400,1.4500,1.4086,19308400,
7 Nov 2025,1.4400,1.4900,1.4300,1.4600,1.4183,45396900,
31 Oct 2025,1.4700,1.5000,1.4300,1.4400,1.3989,43061900,
29 Oct 2025,,,,,,,0.0201 Dividend
24 Oct 2025,1.4500,1.4800,1.4500,1.4700,1.4087,24243000,
17 Oct 2025,1.4300,1.4600,1.4000,1.4500,1.3896,25875400,
10 Oct 2025,1.4600,1.4600,1.4400,1.4500,1.3896,25536386,
3 Oct 2025,1.4200,1.4800,1.4100,1.4600,1.3992,43677300,
26 Sep 2025,1.4100,1.4300,1.3900,1.4100,1.3512,28389453,
19 Sep 2025,1.4300,1.4400,1.4000,1.4100,1.3512,32448000,
12 Sep 2025,1.3900,1.4300,1.3900,1.4200,1.3608,30699800,
5 Sep 2025,1.3800,1.4200,1.3600,1.3900,1.3321,52940700,
29 Aug 2025,1.3800,1.3900,1.3500,1.3800,1.3225,64420800,
22 Aug 2025,1.3500,1.3700,1.3300,1.3600,1.3033,53716300,
15 Aug 2025,1.3300,1.3700,1.3200,1.3500,1.2937,59666600,
8 Aug 2025,1.2800,1.3500,1.2800,1.3300,1.2746,68925850,
6 Aug 2025,,,,,,,0.0201 Dividend
1 Aug 2025,1.2800,1.3200,1.2600,1.2800,1.2080,51794700,
25 Jul 2025,1.2600,1.2900,1.2600,1.2800,1.2080,41332900,
18 Jul 2025,1.2400,1.2700,1.2400,1.2600,1.1891,25094300,
11 Jul 2025,1.2600,1.2700,1.2200,1.2400,1.1702,53687500,
4 Jul 2025,1.2600,1.2800,1.2500,1.2600,1.1891,40528500,
27 Jun 2025,1.2200,1.2700,1.2000,1.2600,1.1891,54120700,
20 Jun 2025,1.2000,1.2400,1.1900,1.2200,1.1514,36376800,
13 Jun 2025,1.2000,1.2200,1.1800,1.2000,1.1325,27741900,
6 Jun 2025,1.1800,1.2100,1.1600,1.1900,1.1231,35944200,
30 May 2025,1.1700,1.2000,1.1600,1.1800,1.1136,30324300,
23 May 2025,1.2000,1.2000,1.1500,1.1700,1.1042,52676900,
16 May 2025,1.2100,1.2300,1.1900,1.2100,1.1419,23711500,
9 May 2025,1.2300,1.2300,1.1800,1.2000,1.1325,54149600,
2 May 2025,1.2100,1.2300,1.1800,1.2200,1.1514,30606900,
2 May 2025,,,,,,,0.0195 Dividend
25 Apr 2025,1.2000,1.2500,1.1800,1.2200,1.1330,40561500,
18 Apr 2025,1.1500,1.2100,1.1400,1.2000,1.1144,47859900,
11 Apr 2025,1.2200,1.2300,1.0900,1.1400,1.0587,105459800,
4 Apr 2025,1.2500,1.2700,1.2300,1.2600,1.1701,36656000,
28 Mar 2025,1.2500,1.2800,1.2300,1.2500,1.1608,53774100,
21 Mar 2025,1.2500,1.2700,1.2200,1.2500,1.1608,58165100,
14 Mar 2025,1.1900,1.2500,1.1700,1.2400,1.1515,80299700,
7 Mar 2025,1.1800,1.2000,1.1700,1.1900,1.1051,39319200,
28 Feb 2025,1.1700,1.2000,1.1600,1.1800,1.0958,48148900,
21 Feb 2025,1.1800,1.2000,1.1600,1.1600,1.0772,43881500,
14 Feb 2025,1.2000,1.2100,1.1700,1.1800,1.0958,48748700,
7 Feb 2025,1.1800,1.2200,1.1600,1.2000,1.1144,63670100,
3 Feb 2025,,,,,,,0.0200 Dividend
31 Jan 2025,1.2000,1.2300,1.1900,1.2100,1.1051,50018800,
24 Jan 2025,1.2100,1.2300,1.1700,1.2000,1.0960,73045200,
17 Jan 2025,1.2000,1.2300,1.1800,1.2000,1.0960,54135700,
10 Jan 2025,1.2400,1.2500,1.2000,1.2000,1.0960,43353200,
3 Jan 2025,1.2200,1.2500,1.2000,1.2400,1.1325,33097200,
27 Dec 2024,1.2100,1.2300,1.1900,1.2200,1.1142,25109500,
20 Dec 2024,1.2100,1.2200,1.1800,1.2000,1.0960,68684400,
13 Dec 2024,1.2200,1.2400,1.2000,1.2100,1.1051,46813200,
6 Dec 2024,1.2300,1.2400,1.2200,1.2200,1.1142,32774800,
29 Nov 2024,1.2200,1.2500,1.2100,1.2300,1.1234,50454700,
22 Nov 2024,1.2400,1.2600,1.2100,1.2200,1.1142,57699400,
15 Nov 2024,1.2400,1.2600,1.2200,1.2300,1.1234,53254900,
8 Nov 2024,1.2900,1.3200,1.2200,1.2400,1.1325,134949400,
1 Nov 2024,1.3400,1.3500,1.2800,1.2900,1.1782,73245800,
1 Nov 2024,,,,,,,0.0198 Dividend
25 Oct 2024,1.4400,1.4500,1.3200,1.3400,1.2053,83164500,
18 Oct 2024,1.4500,1.4600,1.4200,1.4400,1.2953,80284600,
11 Oct 2024,1.5000,1.5100,1.4400,1.4400,1.2953,66728300,
4 Oct 2024,1.5100,1.5400,1.4600,1.5100,1.3582,106788200,
27 Sep 2024,1.4600,1.5100,1.4400,1.5000,1.3493,107549500,
20 Sep 2024,1.4600,1.5300,1.4500,1.4500,1.3043,126543400,
13 Sep 2024,1.4100,1.4700,1.3900,1.4500,1.3043,70491700,
6 Sep 2024,1.3700,1.4300,1.3200,1.4100,1.2683,89047200,
30 Aug 2024,1.3300,1.3800,1.3300,1.3700,1.2323,87316400,
23 Aug 2024,1.2700,1.3300,1.2600,1.3200,1.1873,70488200,
16 Aug 2024,1.2300,1.2800,1.2100,1.2700,1.1424,74555200,
9 Aug 2024,1.2800,1.2800,1.2200,1.2300,1.1064,75327000,
6 Aug 2024,,,,,,,0.0209 Dividend
2 Aug 2024,1.3000,1.3200,1.2800,1.3000,1.1501,61898200,
26 Jul 2024,1.3000,1.3300,1.2500,1.2800,1.1324,59251700,
19 Jul 2024,1.3500,1.3600,1.3000,1.3100,1.1590,76779100,
12 Jul 2024,1.2300,1.3500,1.2200,1.3400,1.1855,87120700,
5 Jul 2024,1.2200,1.2600,1.2100,1.2300,1.0882,68236400,
28 Jun 2024,1.2200,1.2400,1.2100,1.2200,1.0793,54341400,
21 Jun 2024,1.2200,1.2400,1.2100,1.2200,1.0793,55653700,
14 Jun 2024,1.2600,1.2600,1.2100,1.2200,1.0793,66287553,
7 Jun 2024,1.2400,1.3000,1.2300,1.2600,1.1147,163935624,
31 May 2024,1.2400,1.2700,1.2100,1.2200,1.0793,338478800,
24 May 2024,1.2400,1.2600,1.2100,1.2400,1.0970,83279300,
17 May 2024,1.2300,1.2800,1.1800,1.2500,1.1059,117682300,
10 May 2024,1.2400,1.2600,1.2000,1.2400,1.0970,79234400,
3 May 2024,1.2600,1.2800,1.2200,1.2200,1.0793,71410800,
2 May 2024,,,,,,,0.0229 Dividend
26 Apr 2024,1.2200,1.2800,1.2200,1.2600,1.0945,87270700,
19 Apr 2024,1.3000,1.3100,1.1800,1.2100,1.0510,149668500,
12 Apr 2024,1.3300,1.3800,1.3200,1.3200,1.1466,68497900,
5 Apr 2024,1.2800,1.3500,1.2800,1.3400,1.1640,76582200,
29 Mar 2024,1.2700,1.3100,1.2600,1.2800,1.1118,70066805,
22 Mar 2024,1.2900,1.3000,1.2000,1.2700,1.1031,131312600,
15 Mar 2024,1.3200,1.3400,1.2800,1.2800,1.1118,67377500,
8 Mar 2024,1.3300,1.3500,1.2800,1.3300,1.1553,88956700,
1 Mar 2024,1.3900,1.3900,1.3100,1.3200,1.1466,72095600,
23 Feb 2024,1.4100,1.4300,1.3700,1.3900,1.2074,51084200,
16 Feb 2024,1.3900,1.4200,1.3300,1.4100,1.2248,55857400,
9 Feb 2024,1.4300,1.4300,1.3600,1.3900,1.2074,51675600,
5 Feb 2024,,,,,,,0.0220 Dividend
2 Feb 2024,1.4100,1.4800,1.3900,1.4600,1.2491,68068900,
26 Jan 2024,1.4600,1.4700,1.4000,1.4100,1.2063,49269200,
19 Jan 2024,1.4900,1.5200,1.4400,1.4500,1.2405,56512800,
12 Jan 2024,1.5100,1.5300,1.4900,1.5000,1.2833,34006700,
5 Jan 2024,1.5700,1.5800,1.5000,1.5100,1.2919,28361200,
29 Dec 2023,1.5100,1.5800,1.5000,1.5700,1.3432,36648300,
22 Dec 2023,1.5000,1.5300,1.4700,1.5100,1.2919,52610623,
15 Dec 2023,1.4300,1.5300,1.4100,1.5200,1.3004,62996700,
8 Dec 2023,1.3800,1.4300,1.3600,1.4200,1.2149,39950100,
1 Dec 2023,1.3800,1.4000,1.3400,1.3800,1.1806,36607225,
24 Nov 2023,1.3800,1.4300,1.3700,1.3800,1.1806,24696800,
17 Nov 2023,1.3300,1.4200,1.3100,1.3800,1.1806,37381700,
10 Nov 2023,1.3800,1.3800,1.3100,1.3300,1.1379,47441800,
