Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0070,0.0070,0.0070,0.0070,0.0070,0,
31 Jul 2026,0.0070,0.0070,0.0060,0.0070,0.0070,1600000,
24 Jul 2026,0.0070,0.0080,0.0070,0.0070,0.0070,214500,
17 Jul 2026,0.0070,0.0070,0.0070,0.0070,0.0070,0,
10 Jul 2026,0.0080,0.0080,0.0070,0.0070,0.0070,100000,
3 Jul 2026,0.0080,0.0090,0.0070,0.0080,0.0080,326100,
26 Jun 2026,0.0100,0.0100,0.0070,0.0080,0.0080,5792000,
19 Jun 2026,0.0110,0.0110,0.0100,0.0100,0.0100,141100,
12 Jun 2026,0.0110,0.0110,0.0110,0.0110,0.0110,390000,
5 Jun 2026,0.0110,0.0110,0.0110,0.0110,0.0110,0,
29 May 2026,0.0110,0.0110,0.0110,0.0110,0.0110,0,
22 May 2026,0.0110,0.0110,0.0110,0.0110,0.0110,620000,
15 May 2026,0.0110,0.0110,0.0110,0.0110,0.0110,1800300,
8 May 2026,0.0110,0.0110,0.0110,0.0110,0.0110,2356000,
1 May 2026,0.0110,0.0110,0.0110,0.0110,0.0110,1350000,
24 Apr 2026,0.0110,0.0130,0.0110,0.0120,0.0120,4390200,
17 Apr 2026,0.0130,0.0130,0.0110,0.0110,0.0110,1064700,
10 Apr 2026,0.0110,0.0120,0.0110,0.0110,0.0110,929900,
3 Apr 2026,0.0130,0.0130,0.0110,0.0110,0.0110,2002500,
27 Mar 2026,0.0110,0.0140,0.0110,0.0130,0.0130,13356800,
20 Mar 2026,0.0110,0.0110,0.0110,0.0110,0.0110,10000,
13 Mar 2026,0.0110,0.0110,0.0110,0.0110,0.0110,120000,
6 Mar 2026,0.0120,0.0120,0.0110,0.0110,0.0110,2355900,
27 Feb 2026,0.0110,0.0130,0.0110,0.0120,0.0120,4334900,
20 Feb 2026,0.0110,0.0120,0.0110,0.0120,0.0120,1500,
13 Feb 2026,0.0110,0.0120,0.0110,0.0110,0.0110,476200,
