Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.4650,0.4650,0.4600,0.4650,0.4650,837300,
31 Jul 2026,0.4650,0.4700,0.4500,0.4600,0.4600,674100,
24 Jul 2026,0.4750,0.4750,0.4500,0.4650,0.4650,515300,
17 Jul 2026,0.4600,0.4750,0.4550,0.4550,0.4550,233400,
10 Jul 2026,0.4700,0.4750,0.4650,0.4750,0.4750,232900,
3 Jul 2026,0.4700,0.4700,0.4550,0.4700,0.4700,471500,
26 Jun 2026,0.4550,0.4750,0.4500,0.4650,0.4650,282100,
19 Jun 2026,0.4600,0.4700,0.4550,0.4550,0.4550,188800,
12 Jun 2026,0.4650,0.4650,0.4600,0.4600,0.4600,142600,
5 Jun 2026,0.4700,0.4700,0.4600,0.4650,0.4650,130700,
29 May 2026,0.4750,0.4900,0.4650,0.4650,0.4650,140400,
22 May 2026,0.4850,0.4850,0.4700,0.4750,0.4750,105400,
15 May 2026,0.4900,0.4900,0.4800,0.4850,0.4850,44800,
8 May 2026,0.4900,0.5050,0.4800,0.4900,0.4900,598000,
1 May 2026,0.4950,0.4950,0.4800,0.4950,0.4950,265400,
24 Apr 2026,0.4750,0.5000,0.4750,0.5000,0.5000,304700,
17 Apr 2026,0.4750,0.4850,0.4650,0.4750,0.4750,383500,
10 Apr 2026,0.4800,0.4900,0.4750,0.4750,0.4750,507400,
3 Apr 2026,0.4600,0.4850,0.4600,0.4800,0.4800,102200,
27 Mar 2026,0.4800,0.4800,0.4600,0.4650,0.4650,383300,
20 Mar 2026,0.4800,0.4950,0.4700,0.4800,0.4800,362800,
13 Mar 2026,0.5000,0.5000,0.4750,0.4800,0.4800,693300,
6 Mar 2026,0.5200,0.5200,0.4900,0.5000,0.5000,875300,
27 Feb 2026,0.5350,0.5350,0.5200,0.5200,0.5200,548700,
20 Feb 2026,0.5400,0.5400,0.5200,0.5350,0.5350,415300,
13 Feb 2026,0.5350,0.5850,0.5300,0.5400,0.5400,2383300,
6 Feb 2026,0.5350,0.5500,0.5250,0.5350,0.5350,636700,
30 Jan 2026,0.5300,0.5450,0.5250,0.5400,0.5400,671800,
23 Jan 2026,0.5300,0.5400,0.5200,0.5300,0.5300,391500,
16 Jan 2026,0.5150,0.5400,0.5150,0.5300,0.5300,635500,
9 Jan 2026,0.5000,0.5200,0.4950,0.5150,0.5150,626100,
2 Jan 2026,0.5000,0.5100,0.4950,0.5050,0.5050,244400,
26 Dec 2025,0.4950,0.5100,0.4900,0.5000,0.5000,361700,
19 Dec 2025,0.5100,0.5150,0.5000,0.5000,0.5000,340700,
12 Dec 2025,0.5050,0.5300,0.5000,0.5050,0.5050,419000,
5 Dec 2025,0.5200,0.5200,0.5000,0.5100,0.5100,391600,
28 Nov 2025,0.5100,0.5200,0.4950,0.5100,0.5100,199500,
21 Nov 2025,0.5250,0.5250,0.4950,0.5050,0.5050,549800,
14 Nov 2025,0.5500,0.5550,0.5300,0.5300,0.5300,338300,
7 Nov 2025,0.5450,0.5600,0.5350,0.5500,0.5500,508300,
31 Oct 2025,0.5450,0.5750,0.5400,0.5400,0.5400,601500,
24 Oct 2025,0.5250,0.5450,0.5200,0.5450,0.5450,298800,
17 Oct 2025,0.5300,0.5450,0.5200,0.5200,0.5200,275400,
10 Oct 2025,0.5400,0.5700,0.5400,0.5400,0.5400,881800,
3 Oct 2025,0.5200,0.5550,0.5100,0.5400,0.5400,638000,
26 Sep 2025,0.5750,0.5800,0.5150,0.5150,0.5150,1216300,
19 Sep 2025,0.4800,0.5950,0.4800,0.5700,0.5700,3942700,
12 Sep 2025,0.4550,0.4850,0.4500,0.4850,0.4850,1152600,
5 Sep 2025,0.4550,0.4550,0.4400,0.4550,0.4550,727200,
29 Aug 2025,0.4500,0.4800,0.4450,0.4550,0.4550,1586900,
22 Aug 2025,0.4250,0.4500,0.4200,0.4450,0.4450,2091700,
15 Aug 2025,0.4150,0.4250,0.4050,0.4200,0.4200,1244400,
8 Aug 2025,0.4250,0.4400,0.4150,0.4250,0.4250,731300,
5 Aug 2025,,,,,,,0.0200 Dividend
1 Aug 2025,0.4600,0.4600,0.4250,0.4250,0.4057,987300,
25 Jul 2025,0.4400,0.4700,0.4400,0.4600,0.4391,931500,
18 Jul 2025,0.4250,0.4400,0.4200,0.4400,0.4200,1470200,
11 Jul 2025,0.4250,0.4250,0.4100,0.4250,0.4057,1240100,
4 Jul 2025,0.3950,0.4300,0.3900,0.4250,0.4057,1298200,
27 Jun 2025,0.3950,0.4050,0.3900,0.3950,0.3770,446400,
20 Jun 2025,0.3950,0.3950,0.3850,0.3900,0.3723,550600,
