Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,2.4500,2.7400,2.4500,2.7300,2.7300,89700,
31 Jul 2026,2.6800,2.8000,2.5100,2.6800,2.6800,530400,
24 Jul 2026,2.6600,2.8000,2.6000,2.6800,2.6800,273400,
17 Jul 2026,2.8200,2.9100,2.6500,2.6600,2.6600,429700,
10 Jul 2026,2.8600,2.8700,2.7000,2.8200,2.8200,549600,
3 Jul 2026,2.8400,3.0800,2.7600,2.8200,2.8200,549800,
26 Jun 2026,2.9600,3.1500,2.7900,2.8600,2.8600,1073700,
19 Jun 2026,2.9300,3.0700,2.8900,2.9700,2.9700,541400,
12 Jun 2026,2.7600,2.9600,2.7200,2.9300,2.9300,1501900,
5 Jun 2026,3.1800,3.1800,2.7600,2.8200,2.8200,1451600,
29 May 2026,3.2300,3.4800,3.1000,3.1900,3.1900,1210700,
22 May 2026,3.5700,3.6200,3.1600,3.2200,3.2200,1896000,
15 May 2026,3.2000,3.8900,3.0700,3.5700,3.5700,4381600,
8 May 2026,3.3900,3.3900,2.8700,3.2000,3.2000,2721000,
1 May 2026,3.2500,3.5600,3.0000,3.3400,3.3400,3300600,
24 Apr 2026,3.1800,3.3700,3.0100,3.2400,3.2400,2939500,
17 Apr 2026,2.6700,3.2200,2.6500,3.1800,3.1800,3682800,
10 Apr 2026,2.4000,2.7500,2.4000,2.6700,2.6700,2230100,
3 Apr 2026,2.3000,2.5100,2.2400,2.4300,2.4300,1558800,
27 Mar 2026,1.9000,2.3800,1.8300,2.3400,2.3400,3584700,
20 Mar 2026,1.9200,1.9600,1.8000,1.9300,1.9300,1334800,
13 Mar 2026,1.8500,1.9600,1.8000,1.9200,1.9200,1043100,
6 Mar 2026,1.9200,1.9800,1.7800,1.8900,1.8900,1202800,
27 Feb 2026,1.7600,1.9900,1.7300,1.9800,1.9800,2324900,
20 Feb 2026,1.7200,1.7900,1.6500,1.7400,1.7400,1299200,
13 Feb 2026,1.6300,1.7200,1.6200,1.7200,1.7200,1623200,
6 Feb 2026,1.6800,1.7200,1.5900,1.6200,1.6200,1422500,
5 Feb 2026,,,,,,,0.0300 Dividend
30 Jan 2026,1.6400,1.7000,1.6100,1.6800,1.6495,1949400,
23 Jan 2026,1.6300,1.6400,1.6000,1.6400,1.6102,382600,
16 Jan 2026,1.6200,1.6300,1.6000,1.6300,1.6004,469500,
9 Jan 2026,1.6300,1.6400,1.6000,1.6200,1.5905,209300,
2 Jan 2026,1.6100,1.6400,1.6000,1.6300,1.6004,164900,
26 Dec 2025,1.5900,1.6200,1.5800,1.6200,1.5905,164000,
19 Dec 2025,1.6200,1.6200,1.5700,1.5800,1.5513,402100,
12 Dec 2025,1.6300,1.6400,1.6100,1.6200,1.5905,373000,
5 Dec 2025,1.6600,1.6700,1.6200,1.6300,1.6004,754200,
28 Nov 2025,1.6700,1.7000,1.6500,1.6500,1.6200,524100,
21 Nov 2025,1.7000,1.7000,1.6600,1.6700,1.6396,865300,
14 Nov 2025,1.7600,1.7800,1.6900,1.6900,1.6593,449200,
7 Nov 2025,1.7800,1.8000,1.7200,1.7500,1.7182,480700,
6 Nov 2025,,,,,,,0.0300 Dividend
31 Oct 2025,1.7700,1.8200,1.7400,1.7800,1.7172,625800,
24 Oct 2025,1.7100,1.7700,1.7100,1.7700,1.7075,302700,
17 Oct 2025,1.7900,1.7900,1.6900,1.7100,1.6496,563800,
10 Oct 2025,1.8200,1.8200,1.7900,1.8100,1.7461,227800,
3 Oct 2025,1.8000,1.8300,1.7300,1.8200,1.7557,618300,
26 Sep 2025,1.8200,1.8200,1.7800,1.8000,1.7364,250400,
19 Sep 2025,1.8300,1.8400,1.7900,1.8200,1.7557,490600,
12 Sep 2025,1.8200,1.8300,1.7800,1.8300,1.7654,384100,
5 Sep 2025,1.8200,1.8300,1.7600,1.8000,1.7364,426200,
29 Aug 2025,1.8500,1.8700,1.7700,1.8100,1.7461,664800,
22 Aug 2025,1.7900,1.8500,1.7800,1.8400,1.7750,286700,
15 Aug 2025,1.8300,1.8500,1.7300,1.7900,1.7268,148200,
8 Aug 2025,1.7800,1.8400,1.7300,1.8400,1.7750,210500,
1 Aug 2025,1.8500,1.8600,1.7800,1.7800,1.7172,343600,
25 Jul 2025,1.7900,1.9000,1.7900,1.8400,1.7750,552600,
18 Jul 2025,1.6300,1.8200,1.6000,1.7900,1.7268,687500,
11 Jul 2025,1.6100,1.6300,1.6000,1.6200,1.5628,111000,
