Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.8000,0.8150,0.7900,0.8100,0.8100,169100,
31 Jul 2026,0.8350,0.8550,0.7850,0.8000,0.8000,2520700,
24 Jul 2026,0.7350,0.8600,0.7200,0.8300,0.8300,4169000,
17 Jul 2026,0.7500,0.7550,0.7100,0.7350,0.7350,1907900,
10 Jul 2026,0.7550,0.7700,0.7300,0.7550,0.7550,1451800,
3 Jul 2026,0.7600,0.7850,0.7100,0.7500,0.7500,2702500,
26 Jun 2026,0.8400,0.8650,0.7400,0.7600,0.7600,2437900,
19 Jun 2026,0.8700,0.9350,0.8350,0.8400,0.8400,994700,
12 Jun 2026,0.8700,0.8750,0.7850,0.8700,0.8700,3558400,
5 Jun 2026,0.9050,0.9150,0.8600,0.8850,0.8850,1786600,
29 May 2026,0.9400,0.9650,0.8950,0.9050,0.9050,1153800,
22 May 2026,1.0100,1.0100,0.9150,0.9350,0.9350,3704600,
15 May 2026,1.0300,1.1900,1.0100,1.0100,1.0100,11201400,
8 May 2026,0.9500,1.0400,0.9100,1.0200,1.0200,8596600,
7 May 2026,,,,,,,0.0200 Dividend
1 May 2026,0.8600,0.9450,0.8600,0.9450,0.9249,3701700,
24 Apr 2026,0.8750,0.9450,0.8450,0.8550,0.8368,6905800,
17 Apr 2026,0.8000,0.9200,0.7900,0.8800,0.8613,4775400,
10 Apr 2026,0.7700,0.8500,0.7500,0.8100,0.7928,3278800,
3 Apr 2026,0.7300,0.7950,0.7100,0.7700,0.7536,2315100,
27 Mar 2026,0.7400,0.7750,0.6900,0.7300,0.7145,3421400,
20 Mar 2026,0.7900,0.8100,0.7450,0.7500,0.7340,2563200,
13 Mar 2026,0.7500,0.8450,0.7200,0.7950,0.7781,3520300,
6 Mar 2026,0.9050,0.9100,0.7450,0.7600,0.7438,6425300,
27 Feb 2026,0.9300,1.0100,0.8550,0.8700,0.8515,14497100,
20 Feb 2026,0.8450,0.9150,0.8150,0.9150,0.8955,4031800,
13 Feb 2026,0.7450,0.8800,0.7400,0.8400,0.8221,9937200,
6 Feb 2026,0.6700,0.7500,0.6600,0.7350,0.7194,8374900,
30 Jan 2026,0.6800,0.8300,0.6650,0.7050,0.6900,17220900,
23 Jan 2026,0.5200,0.6600,0.5200,0.6450,0.6313,8440600,
16 Jan 2026,0.4750,0.5500,0.4750,0.5200,0.5089,4046700,
9 Jan 2026,0.4650,0.4900,0.4600,0.4750,0.4649,1463200,
2 Jan 2026,0.4600,0.4650,0.4550,0.4650,0.4551,385700,
26 Dec 2025,0.4350,0.4600,0.4350,0.4550,0.4453,783300,
19 Dec 2025,0.4400,0.4400,0.4300,0.4300,0.4209,511600,
12 Dec 2025,0.4300,0.4450,0.4300,0.4400,0.4306,382800,
5 Dec 2025,0.4050,0.4350,0.4050,0.4300,0.4209,878000,
28 Nov 2025,0.4050,0.4050,0.3850,0.4000,0.3915,1752300,
21 Nov 2025,0.4200,0.4200,0.4000,0.4050,0.3964,1086400,
14 Nov 2025,0.4100,0.4300,0.4100,0.4200,0.4111,608900,
7 Nov 2025,0.4300,0.4350,0.4000,0.4150,0.4062,1270500,
31 Oct 2025,0.4500,0.4550,0.4250,0.4250,0.4160,894900,
24 Oct 2025,0.4500,0.4550,0.4350,0.4450,0.4355,752600,
17 Oct 2025,0.4550,0.4700,0.4400,0.4450,0.4355,1791200,
10 Oct 2025,0.4800,0.4950,0.4550,0.4550,0.4453,2205200,
3 Oct 2025,0.4300,0.4800,0.4250,0.4750,0.4649,2668400,
26 Sep 2025,0.4450,0.4800,0.4100,0.4300,0.4209,3266300,
19 Sep 2025,0.5250,0.5300,0.4400,0.4400,0.4306,2493300,
12 Sep 2025,0.4900,0.5350,0.4650,0.5250,0.5138,2993000,
5 Sep 2025,0.4075,0.4600,0.3975,0.4550,0.4453,4168600,
29 Aug 2025,0.4075,0.4125,0.3900,0.4000,0.3915,2071800,
22 Aug 2025,0.3600,0.4075,0.3500,0.4050,0.3964,3795600,
15 Aug 2025,0.3075,0.3575,0.3025,0.3300,0.3230,3159400,
8 Aug 2025,0.3025,0.3150,0.3000,0.3100,0.3034,435200,
1 Aug 2025,0.3250,0.3250,0.3050,0.3050,0.2985,980800,
25 Jul 2025,0.3050,0.3350,0.3000,0.3250,0.3181,1094800,
18 Jul 2025,0.2800,0.3050,0.2800,0.3025,0.2961,520600,
11 Jul 2025,0.2800,0.2800,0.2700,0.2800,0.2740,423400,
4 Jul 2025,0.2600,0.2800,0.2600,0.2800,0.2740,595400,
27 Jun 2025,0.2350,0.2875,0.2350,0.2600,0.2545,594200,
20 Jun 2025,0.2250,0.2450,0.2250,0.2350,0.2300,419800,
13 Jun 2025,0.2225,0.2275,0.2175,0.2250,0.2202,508200,
6 Jun 2025,0.2300,0.2300,0.2175,0.2175,0.2129,973600,
30 May 2025,0.2275,0.2275,0.2200,0.2225,0.2178,483400,
23 May 2025,0.2175,0.2250,0.2150,0.2225,0.2178,817000,
16 May 2025,0.2125,0.2175,0.2100,0.2150,0.2104,763400,
9 May 2025,0.2175,0.2175,0.2125,0.2125,0.2080,634200,
9 May 2025,,,,,,,0.0070 Dividend
2 May 2025,0.2150,0.2150,0.2025,0.2150,0.2037,541000,
25 Apr 2025,0.2125,0.2175,0.2125,0.2150,0.2037,348600,
18 Apr 2025,0.1950,0.2125,0.1950,0.2125,0.2013,856600,
11 Apr 2025,0.2000,0.2000,0.1900,0.1925,0.1823,511000,
4 Apr 2025,0.2125,0.2150,0.2000,0.2000,0.1894,394000,
28 Mar 2025,0.2125,0.2150,0.2100,0.2125,0.2013,294400,
21 Mar 2025,0.1975,0.2100,0.1975,0.2100,0.1989,978400,
14 Mar 2025,0.2050,0.2050,0.1950,0.1950,0.1847,347200,
7 Mar 2025,0.2100,0.2150,0.2025,0.2050,0.1942,836800,
28 Feb 2025,0.1750,0.2100,0.1675,0.2075,0.1965,2700800,
21 Feb 2025,0.1875,0.1900,0.1125,0.1725,0.1634,175200,
14 Feb 2025,0.1775,0.1850,0.1750,0.1850,0.1752,699800,
7 Feb 2025,0.1600,0.1775,0.1600,0.1775,0.1681,350600,
31 Jan 2025,0.1725,0.1725,0.1700,0.1700,0.1610,125600,
24 Jan 2025,0.1725,0.1725,0.1675,0.1725,0.1634,168000,
17 Jan 2025,0.1700,0.1725,0.1675,0.1725,0.1634,136600,
10 Jan 2025,0.1650,0.1700,0.1650,0.1675,0.1587,279800,
3 Jan 2025,0.1650,0.1650,0.1575,0.1650,0.1563,88400,
27 Dec 2024,0.1675,0.1675,0.1600,0.1600,0.1516,400,
20 Dec 2024,0.1650,0.1675,0.1550,0.1675,0.1587,104000,
13 Dec 2024,0.1700,0.1700,0.1650,0.1650,0.1563,58600,
6 Dec 2024,0.1575,0.1700,0.1575,0.1700,0.1610,20000,
29 Nov 2024,0.1575,0.1575,0.1575,0.1575,0.1492,116600,
22 Nov 2024,0.1550,0.1625,0.1550,0.1575,0.1492,158800,
