Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1800,0.1850,0.1740,0.1810,0.1810,24000,
31 Jul 2026,0.1850,0.1850,0.1800,0.1800,0.1800,29900,
24 Jul 2026,0.1860,0.1900,0.1820,0.1850,0.1850,115200,
17 Jul 2026,0.1720,0.1980,0.1700,0.1830,0.1830,660500,
10 Jul 2026,0.1720,0.1720,0.1720,0.1720,0.1720,500,
3 Jul 2026,0.1680,0.1710,0.1600,0.1710,0.1710,1352300,
26 Jun 2026,0.1700,0.1700,0.1630,0.1630,0.1630,639600,
19 Jun 2026,0.1740,0.1740,0.1700,0.1700,0.1700,61100,
12 Jun 2026,0.1680,0.1770,0.1680,0.1710,0.1710,389100,
5 Jun 2026,0.1800,0.1800,0.1650,0.1680,0.1680,106100,
29 May 2026,0.1760,0.1800,0.1740,0.1800,0.1800,179200,
22 May 2026,0.1800,0.1820,0.1680,0.1720,0.1720,450100,
15 May 2026,0.1730,0.1900,0.1730,0.1820,0.1820,355500,
8 May 2026,0.1830,0.1830,0.1820,0.1820,0.1820,103700,
1 May 2026,0.1800,0.1900,0.1790,0.1800,0.1800,642700,
24 Apr 2026,0.1830,0.1830,0.1720,0.1780,0.1780,331200,
17 Apr 2026,0.1780,0.1820,0.1770,0.1800,0.1800,294100,
10 Apr 2026,0.1830,0.1840,0.1760,0.1800,0.1800,349500,
3 Apr 2026,0.1820,0.1830,0.1790,0.1820,0.1820,158700,
27 Mar 2026,0.1810,0.1830,0.1770,0.1800,0.1800,143000,
20 Mar 2026,0.1750,0.1830,0.1730,0.1820,0.1820,382100,
13 Mar 2026,0.1790,0.1820,0.1650,0.1780,0.1780,650900,
6 Mar 2026,0.1790,0.1950,0.1790,0.1790,0.1790,1626500,
27 Feb 2026,0.1810,0.1820,0.1740,0.1760,0.1760,56000,
20 Feb 2026,0.1800,0.1820,0.1670,0.1820,0.1820,1638700,
13 Feb 2026,0.1790,0.1840,0.1790,0.1820,0.1820,368300,
6 Feb 2026,0.1790,0.1820,0.1750,0.1800,0.1800,865800,
30 Jan 2026,0.1820,0.1860,0.1760,0.1790,0.1790,2174400,
23 Jan 2026,0.1810,0.1830,0.1720,0.1780,0.1780,656300,
16 Jan 2026,0.1440,0.1880,0.1420,0.1820,0.1820,5362700,
9 Jan 2026,0.1320,0.1460,0.1300,0.1440,0.1440,664900,
2 Jan 2026,0.1350,0.1350,0.1280,0.1290,0.1290,180000,
26 Dec 2025,0.1400,0.1400,0.1300,0.1350,0.1350,260300,
19 Dec 2025,0.1370,0.1440,0.1300,0.1400,0.1400,462900,
12 Dec 2025,0.1240,0.1450,0.1180,0.1420,0.1420,896400,
5 Dec 2025,0.1230,0.1230,0.1190,0.1230,0.1230,30000,
28 Nov 2025,0.1230,0.1250,0.1200,0.1230,0.1230,136300,
21 Nov 2025,0.1340,0.1340,0.1230,0.1260,0.1260,200500,
14 Nov 2025,0.1210,0.1370,0.1210,0.1320,0.1320,1075500,
7 Nov 2025,0.1230,0.1240,0.1170,0.1200,0.1200,516100,
31 Oct 2025,0.1200,0.1260,0.1150,0.1220,0.1220,440600,
24 Oct 2025,0.1180,0.1200,0.1170,0.1200,0.1200,108700,
17 Oct 2025,0.1150,0.1210,0.1110,0.1190,0.1190,1007900,
10 Oct 2025,0.1050,0.1190,0.1050,0.1170,0.1170,871700,
3 Oct 2025,0.1020,0.1080,0.1020,0.1060,0.1060,388600,
26 Sep 2025,0.1060,0.1060,0.1010,0.1010,0.1010,687300,
19 Sep 2025,0.1010,0.1080,0.1000,0.1030,0.1030,438400,
12 Sep 2025,0.1020,0.1040,0.1010,0.1020,0.1020,200800,
5 Sep 2025,0.1020,0.1040,0.1000,0.1020,0.1020,797100,
29 Aug 2025,0.0980,0.1030,0.0950,0.1020,0.1020,1238000,
22 Aug 2025,0.0950,0.0970,0.0940,0.0970,0.0970,128300,
15 Aug 2025,0.0950,0.0950,0.0940,0.0950,0.0950,153100,
8 Aug 2025,0.0960,0.1020,0.0930,0.0940,0.0940,304700,
1 Aug 2025,0.0990,0.0990,0.0980,0.0980,0.0980,10000,
25 Jul 2025,0.0990,0.0990,0.0930,0.0990,0.0990,1219600,
18 Jul 2025,0.1010,0.1010,0.0990,0.0990,0.0990,161200,
11 Jul 2025,0.1030,0.1030,0.0980,0.0990,0.0990,121200,
4 Jul 2025,0.1000,0.1030,0.0970,0.1030,0.1030,365000,
27 Jun 2025,0.0940,0.1050,0.0940,0.1000,0.1000,853100,
20 Jun 2025,0.1000,0.1010,0.0940,0.0960,0.0960,278000,
13 Jun 2025,0.0950,0.1040,0.0930,0.0980,0.0980,1194800,
6 Jun 2025,0.0940,0.0950,0.0930,0.0950,0.0950,246500,
30 May 2025,0.0910,0.0950,0.0880,0.0940,0.0940,391800,
23 May 2025,0.0860,0.0930,0.0860,0.0910,0.0910,415600,
16 May 2025,0.0860,0.0910,0.0860,0.0880,0.0880,76000,
9 May 2025,0.0840,0.0950,0.0840,0.0860,0.0860,139100,
2 May 2025,0.0830,0.1000,0.0830,0.0850,0.0850,576100,
25 Apr 2025,0.0850,0.0850,0.0810,0.0840,0.0840,21900,
18 Apr 2025,0.0840,0.0840,0.0810,0.0810,0.0810,45000,
11 Apr 2025,0.0830,0.0840,0.0790,0.0800,0.0800,1871900,
4 Apr 2025,0.0860,0.0860,0.0830,0.0830,0.0830,269900,
28 Mar 2025,0.0830,0.0860,0.0830,0.0860,0.0860,24500,
21 Mar 2025,0.0830,0.0880,0.0830,0.0830,0.0830,221100,
14 Mar 2025,0.0860,0.0860,0.0830,0.0830,0.0830,491300,
7 Mar 2025,0.0860,0.0860,0.0850,0.0850,0.0850,116300,
28 Feb 2025,0.0870,0.0900,0.0860,0.0860,0.0860,121100,
21 Feb 2025,0.0910,0.0920,0.0870,0.0870,0.0870,363000,
14 Feb 2025,0.0860,0.0970,0.0800,0.0910,0.0910,678900,
7 Feb 2025,0.0900,0.0900,0.0850,0.0860,0.0860,391600,
31 Jan 2025,0.0910,0.0910,0.0910,0.0910,0.0910,27500,
24 Jan 2025,0.0920,0.0920,0.0910,0.0910,0.0910,129000,
17 Jan 2025,0.0950,0.0950,0.0920,0.0920,0.0920,136800,
10 Jan 2025,0.0940,0.0950,0.0930,0.0950,0.0950,151800,
3 Jan 2025,0.0960,0.0960,0.0910,0.0940,0.0940,398400,
27 Dec 2024,0.0970,0.0970,0.0960,0.0960,0.0960,9100,
20 Dec 2024,0.0970,0.0970,0.0970,0.0970,0.0970,35000,
13 Dec 2024,0.0990,0.1020,0.0960,0.0970,0.0970,628700,
6 Dec 2024,0.1020,0.1030,0.0990,0.1020,0.1020,384000,
29 Nov 2024,0.0980,0.1080,0.0950,0.1040,0.1040,1315500,
22 Nov 2024,0.1090,0.1120,0.0970,0.1030,0.1030,1135800,
