Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.2000,0.2000,0.1930,0.1930,0.1930,2400,
31 Jul 2026,0.1940,0.2050,0.1930,0.2000,0.2000,104900,
24 Jul 2026,0.2000,0.2000,0.1910,0.1940,0.1940,110600,
17 Jul 2026,0.1950,0.2050,0.1910,0.2000,0.2000,159200,
10 Jul 2026,0.2050,0.2050,0.1950,0.1950,0.1950,36100,
3 Jul 2026,0.2050,0.2050,0.2050,0.2050,0.2050,700,
26 Jun 2026,0.2050,0.2050,0.1950,0.2050,0.2050,128900,
19 Jun 2026,0.2000,0.2100,0.2000,0.2050,0.2050,5500,
12 Jun 2026,0.2050,0.2050,0.2000,0.2000,0.2000,2200,
5 Jun 2026,0.2000,0.2050,0.2000,0.2050,0.2050,108700,
29 May 2026,0.2100,0.2100,0.2000,0.2050,0.2050,281300,
22 May 2026,0.2050,0.2100,0.2000,0.2100,0.2100,260700,
15 May 2026,0.2000,0.2100,0.2000,0.2100,0.2100,576300,
8 May 2026,0.2050,0.2200,0.2050,0.2100,0.2100,410600,
6 May 2026,,,,,,,0.0040 Dividend
1 May 2026,0.2100,0.2200,0.2000,0.2150,0.2111,148000,
24 Apr 2026,0.2100,0.2200,0.2100,0.2150,0.2111,23400,
17 Apr 2026,0.2150,0.2150,0.2000,0.2150,0.2111,52200,
10 Apr 2026,0.1980,0.2150,0.1970,0.2100,0.2062,139500,
3 Apr 2026,0.2150,0.2150,0.1950,0.1970,0.1934,92700,
27 Mar 2026,0.2050,0.2050,0.2000,0.2050,0.2013,383500,
20 Mar 2026,0.2000,0.2250,0.2000,0.2050,0.2013,323000,
13 Mar 2026,0.2050,0.2100,0.2000,0.2000,0.1964,579100,
6 Mar 2026,0.2150,0.2200,0.2050,0.2100,0.2062,182200,
27 Feb 2026,0.2300,0.2350,0.2100,0.2200,0.2160,861000,
20 Feb 2026,0.2350,0.2350,0.2350,0.2350,0.2307,20100,
13 Feb 2026,0.2300,0.2350,0.2300,0.2300,0.2258,30700,
6 Feb 2026,0.2300,0.2300,0.2250,0.2300,0.2258,683100,
30 Jan 2026,0.2300,0.2350,0.2300,0.2350,0.2307,277300,
23 Jan 2026,0.2300,0.2350,0.2300,0.2300,0.2258,347100,
16 Jan 2026,0.2350,0.2350,0.2300,0.2300,0.2258,188500,
9 Jan 2026,0.2350,0.2400,0.2300,0.2350,0.2307,622000,
2 Jan 2026,0.2400,0.2450,0.2350,0.2400,0.2356,45500,
26 Dec 2025,0.2400,0.2450,0.2350,0.2400,0.2356,41100,
19 Dec 2025,0.2450,0.2450,0.2350,0.2400,0.2356,255500,
12 Dec 2025,0.2400,0.2400,0.2350,0.2400,0.2356,41800,
5 Dec 2025,0.2400,0.2400,0.2350,0.2400,0.2356,35600,
28 Nov 2025,0.2400,0.2450,0.2300,0.2400,0.2356,55000,
21 Nov 2025,0.2400,0.2400,0.2300,0.2400,0.2356,267300,
14 Nov 2025,0.2500,0.2500,0.2400,0.2400,0.2356,170100,
7 Nov 2025,0.2500,0.2500,0.2450,0.2500,0.2455,53600,
31 Oct 2025,0.2450,0.2450,0.2350,0.2450,0.2405,256100,
24 Oct 2025,0.2450,0.2450,0.2350,0.2400,0.2356,18700,
17 Oct 2025,0.2400,0.2450,0.2350,0.2400,0.2356,98900,
10 Oct 2025,0.2500,0.2500,0.2350,0.2450,0.2405,340100,
3 Oct 2025,0.2400,0.2500,0.2350,0.2500,0.2455,599100,
2 Oct 2025,,,,,,,0.0050 Dividend
26 Sep 2025,0.2450,0.2500,0.2350,0.2450,0.2356,596900,
19 Sep 2025,0.2450,0.2550,0.2400,0.2400,0.2308,1757200,
12 Sep 2025,0.2500,0.2500,0.2450,0.2450,0.2356,120900,
5 Sep 2025,0.2500,0.2500,0.2450,0.2500,0.2404,262800,
29 Aug 2025,0.2450,0.2500,0.2450,0.2450,0.2356,343000,
22 Aug 2025,0.2500,0.2550,0.2450,0.2450,0.2356,354500,
15 Aug 2025,0.2600,0.2650,0.2450,0.2500,0.2404,1099100,
8 Aug 2025,0.2600,0.2650,0.2550,0.2600,0.2501,234000,
1 Aug 2025,0.2550,0.2650,0.2550,0.2550,0.2453,133100,
25 Jul 2025,0.2600,0.2600,0.2550,0.2600,0.2501,267000,
18 Jul 2025,0.2550,0.2600,0.2450,0.2600,0.2501,233100,
11 Jul 2025,0.2550,0.2550,0.2500,0.2550,0.2453,191000,
4 Jul 2025,0.2450,0.2550,0.2450,0.2550,0.2453,179600,
27 Jun 2025,0.2450,0.2500,0.2450,0.2500,0.2404,27300,
20 Jun 2025,0.2500,0.2500,0.2400,0.2500,0.2404,137500,
13 Jun 2025,0.2500,0.2500,0.2450,0.2500,0.2404,54500,
6 Jun 2025,0.2550,0.2550,0.2450,0.2450,0.2356,22000,
30 May 2025,0.2450,0.2550,0.2450,0.2550,0.2453,124000,
23 May 2025,0.2450,0.2500,0.2450,0.2450,0.2356,188400,
16 May 2025,0.2500,0.2550,0.2500,0.2500,0.2404,362100,
9 May 2025,0.2450,0.2550,0.2450,0.2500,0.2404,186000,
5 May 2025,,,,,,,0.0090 Dividend
2 May 2025,0.2450,0.2550,0.2450,0.2500,0.2318,151700,
25 Apr 2025,0.2350,0.2500,0.2350,0.2350,0.2179,130600,
18 Apr 2025,0.2450,0.2450,0.2300,0.2400,0.2225,128400,
11 Apr 2025,0.2400,0.2400,0.2250,0.2300,0.2132,336100,
4 Apr 2025,0.2450,0.2500,0.2400,0.2450,0.2272,137600,
28 Mar 2025,0.2500,0.2550,0.2450,0.2450,0.2272,366900,
21 Mar 2025,0.2550,0.2550,0.2450,0.2550,0.2364,257300,
14 Mar 2025,0.2500,0.2550,0.2450,0.2500,0.2318,315200,
7 Mar 2025,0.2500,0.2500,0.2450,0.2500,0.2318,74400,
28 Feb 2025,0.2450,0.2500,0.2450,0.2500,0.2318,131100,
21 Feb 2025,0.2500,0.2550,0.2450,0.2500,0.2318,412200,
14 Feb 2025,0.2500,0.2500,0.2500,0.2500,0.2318,52000,
7 Feb 2025,0.2550,0.2550,0.2500,0.2500,0.2318,102400,
31 Jan 2025,0.2550,0.2550,0.2500,0.2550,0.2364,218400,
24 Jan 2025,0.2550,0.2600,0.2500,0.2600,0.2411,478700,
17 Jan 2025,0.2550,0.2550,0.2500,0.2550,0.2364,384400,
10 Jan 2025,0.2550,0.2600,0.2500,0.2600,0.2411,274100,
3 Jan 2025,0.2500,0.2550,0.2500,0.2500,0.2318,85700,
