Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.7700,0.7800,0.7550,0.7750,0.7750,1093300,
31 Jul 2026,0.7750,0.7950,0.7550,0.7650,0.7650,1841100,
24 Jul 2026,0.7400,0.7850,0.7350,0.7700,0.7700,2331100,
17 Jul 2026,0.7800,0.7850,0.7350,0.7400,0.7400,1982600,
10 Jul 2026,0.7800,0.8000,0.7700,0.7850,0.7850,1061900,
3 Jul 2026,0.7650,0.7900,0.7550,0.7800,0.7800,1437600,
26 Jun 2026,0.8150,0.8150,0.7550,0.7650,0.7650,3747600,
19 Jun 2026,0.8100,0.8350,0.7950,0.8150,0.8150,3061900,
12 Jun 2026,0.7850,0.8100,0.7450,0.8100,0.8100,4813400,
5 Jun 2026,0.8450,0.8450,0.7700,0.7800,0.7800,4618700,
29 May 2026,0.8300,0.8700,0.8000,0.8400,0.8400,7489300,
22 May 2026,0.8350,0.8700,0.7950,0.8200,0.8200,7382200,
15 May 2026,0.8300,0.8700,0.8100,0.8350,0.8350,5462100,
8 May 2026,0.7950,0.8550,0.7700,0.8400,0.8400,8709600,
7 May 2026,,,,,,,0.0200 Dividend
1 May 2026,0.8100,0.8200,0.7750,0.7950,0.7750,3307600,
24 Apr 2026,0.7600,0.8600,0.7600,0.8050,0.7847,59061700,
17 Apr 2026,0.7300,0.7700,0.7000,0.7600,0.7409,3448200,
10 Apr 2026,0.7000,0.7400,0.6850,0.7150,0.6970,2236200,
3 Apr 2026,0.6750,0.7250,0.6350,0.6900,0.6726,4313400,
27 Mar 2026,0.7300,0.7300,0.6650,0.6700,0.6531,3767900,
20 Mar 2026,0.7550,0.7700,0.7200,0.7300,0.7116,2772600,
13 Mar 2026,0.7500,0.7700,0.7200,0.7600,0.7409,2187700,
6 Mar 2026,0.8400,0.8400,0.7550,0.7600,0.7409,3916900,
27 Feb 2026,0.8450,0.8650,0.8200,0.8350,0.8140,3941700,
20 Feb 2026,0.8300,0.8600,0.8200,0.8450,0.8237,2212100,
13 Feb 2026,0.7950,0.8750,0.7950,0.8300,0.8091,2917100,
6 Feb 2026,0.8400,0.8450,0.7850,0.7900,0.7701,4014800,
30 Jan 2026,0.7829,0.8900,0.7829,0.8400,0.8189,6833750,
23 Jan 2026,0.7086,0.7829,0.7086,0.7829,0.7632,3919300,
16 Jan 2026,0.7029,0.7257,0.7029,0.7143,0.6963,1428175,
9 Jan 2026,0.7257,0.7371,0.6971,0.7086,0.6907,1776075,
2 Jan 2026,0.7086,0.7486,0.7029,0.7314,0.7130,1827000,
26 Dec 2025,0.6971,0.7314,0.6914,0.7086,0.6907,2724050,
19 Dec 2025,0.6457,0.6914,0.6457,0.6857,0.6685,2407825,
12 Dec 2025,0.6629,0.6686,0.6343,0.6571,0.6406,1299900,
5 Dec 2025,0.6457,0.6686,0.6343,0.6629,0.6462,4189850,
28 Nov 2025,0.5771,0.6514,0.5771,0.6457,0.6295,5101950,
