Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.3550,0.3600,0.3500,0.3550,0.3550,7311800,
31 Jul 2026,0.3750,0.3800,0.3550,0.3550,0.3550,10738200,
29 Jul 2026,,,,,,,0.0126 Dividend
24 Jul 2026,0.3650,0.3900,0.3600,0.3750,0.3622,9522900,
17 Jul 2026,0.3600,0.3650,0.3550,0.3650,0.3526,8875300,
10 Jul 2026,0.3600,0.3650,0.3550,0.3600,0.3477,12841400,
3 Jul 2026,0.3600,0.3600,0.3500,0.3600,0.3477,12836700,
26 Jun 2026,0.3550,0.3600,0.3450,0.3550,0.3429,14857000,
19 Jun 2026,0.3500,0.3600,0.3450,0.3500,0.3381,20782000,
12 Jun 2026,0.3550,0.3550,0.3450,0.3500,0.3381,11377100,
5 Jun 2026,0.3550,0.3600,0.3500,0.3550,0.3429,8897400,
29 May 2026,0.3500,0.3600,0.3450,0.3550,0.3429,10087600,
22 May 2026,0.3550,0.3600,0.3450,0.3500,0.3381,13331500,
15 May 2026,0.3600,0.3650,0.3550,0.3550,0.3429,9403400,
8 May 2026,0.3650,0.3650,0.3600,0.3600,0.3477,6529100,
1 May 2026,0.3650,0.3700,0.3600,0.3650,0.3526,5982900,
24 Apr 2026,0.3650,0.3700,0.3600,0.3650,0.3526,5595600,
17 Apr 2026,0.3600,0.3650,0.3550,0.3650,0.3526,9427300,
10 Apr 2026,0.3500,0.3650,0.3500,0.3650,0.3526,5472200,
3 Apr 2026,0.3500,0.3600,0.3500,0.3550,0.3429,11085000,
27 Mar 2026,0.3550,0.3600,0.3500,0.3550,0.3429,10445500,
20 Mar 2026,0.3550,0.3650,0.3550,0.3600,0.3477,8906100,
13 Mar 2026,0.3650,0.3650,0.3400,0.3550,0.3429,24145000,
6 Mar 2026,0.3650,0.3700,0.3500,0.3700,0.3574,29321200,
27 Feb 2026,0.3700,0.3750,0.3600,0.3700,0.3574,21894600,
20 Feb 2026,0.3550,0.3700,0.3450,0.3700,0.3574,17707300,
13 Feb 2026,0.3550,0.3600,0.3450,0.3550,0.3429,13643410,
6 Feb 2026,0.3700,0.3700,0.3450,0.3550,0.3429,15027300,
2 Feb 2026,,,,,,,0.0125 Dividend
30 Jan 2026,0.3650,0.3800,0.3650,0.3750,0.3502,15148800,
23 Jan 2026,0.3650,0.3700,0.3600,0.3700,0.3455,5035900,
16 Jan 2026,0.3600,0.3700,0.3600,0.3650,0.3408,9216300,
9 Jan 2026,0.3600,0.3650,0.3550,0.3650,0.3408,6691900,
2 Jan 2026,0.3550,0.3600,0.3500,0.3600,0.3361,7368500,
26 Dec 2025,0.3550,0.3550,0.3500,0.3550,0.3315,4626000,
19 Dec 2025,0.3500,0.3550,0.3450,0.3550,0.3315,14279000,
12 Dec 2025,0.3500,0.3500,0.3450,0.3500,0.3268,7531500,
5 Dec 2025,0.3500,0.3500,0.3450,0.3500,0.3268,3219900,
28 Nov 2025,0.3450,0.3500,0.3450,0.3500,0.3268,3645500,
