Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0330,0.0330,0.0330,0.0330,0.0330,0,
31 Jul 2026,0.0460,0.0460,0.0330,0.0330,0.0330,130000,
24 Jul 2026,0.0350,0.0460,0.0310,0.0460,0.0460,55200,
17 Jul 2026,0.0390,0.0390,0.0350,0.0350,0.0350,13400,
10 Jul 2026,0.0380,0.0400,0.0340,0.0390,0.0390,180900,
3 Jul 2026,0.0480,0.0480,0.0370,0.0380,0.0380,100300,
26 Jun 2026,0.0400,0.0480,0.0400,0.0480,0.0480,40100,
19 Jun 2026,0.0390,0.0510,0.0390,0.0490,0.0490,94200,
12 Jun 2026,0.0410,0.0410,0.0390,0.0390,0.0390,175200,
5 Jun 2026,0.0520,0.0520,0.0450,0.0460,0.0460,815600,
29 May 2026,0.0520,0.0520,0.0520,0.0520,0.0520,0,
22 May 2026,0.0530,0.0530,0.0510,0.0520,0.0520,181000,
15 May 2026,0.0530,0.0630,0.0520,0.0530,0.0530,195300,
8 May 2026,0.0550,0.0550,0.0540,0.0540,0.0540,120000,
1 May 2026,0.0500,0.0630,0.0500,0.0550,0.0550,230400,
24 Apr 2026,0.0620,0.0630,0.0590,0.0630,0.0630,52100,
17 Apr 2026,0.0580,0.0620,0.0510,0.0620,0.0620,10200,
10 Apr 2026,0.0510,0.0580,0.0510,0.0580,0.0580,6200,
3 Apr 2026,0.0530,0.0530,0.0510,0.0510,0.0510,159500,
27 Mar 2026,0.0500,0.0600,0.0450,0.0530,0.0530,692600,
20 Mar 2026,0.0500,0.0500,0.0500,0.0500,0.0500,20000,
13 Mar 2026,0.0500,0.0500,0.0470,0.0490,0.0490,98500,
6 Mar 2026,0.0550,0.0560,0.0510,0.0560,0.0560,97800,
27 Feb 2026,0.0610,0.0610,0.0610,0.0610,0.0610,0,
20 Feb 2026,0.0610,0.0610,0.0610,0.0610,0.0610,0,
13 Feb 2026,0.0580,0.0610,0.0560,0.0610,0.0610,90300,
6 Feb 2026,0.0590,0.0590,0.0570,0.0590,0.0590,514600,
30 Jan 2026,0.0630,0.0640,0.0500,0.0580,0.0580,2055900,
23 Jan 2026,0.0630,0.0650,0.0620,0.0630,0.0630,2457400,
16 Jan 2026,0.0620,0.0660,0.0620,0.0640,0.0640,2880400,
9 Jan 2026,0.0630,0.0670,0.0600,0.0620,0.0620,1372600,
2 Jan 2026,0.0620,0.0630,0.0620,0.0630,0.0630,156100,
26 Dec 2025,0.0600,0.0620,0.0590,0.0620,0.0620,551900,
19 Dec 2025,0.0610,0.0610,0.0580,0.0600,0.0600,332300,
12 Dec 2025,0.0600,0.0620,0.0580,0.0610,0.0610,1901500,
