Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,4.2300,4.2700,4.1800,4.2400,4.2400,1911100,
31 Jul 2026,4.1700,4.2800,4.1700,4.2200,4.2200,3877200,
24 Jul 2026,4.1700,4.2400,4.1600,4.1700,4.1700,4615500,
17 Jul 2026,4.1100,4.1800,4.1000,4.1600,4.1600,4178000,
10 Jul 2026,4.0900,4.1500,4.0500,4.1100,4.1100,5526300,
3 Jul 2026,4.1200,4.1200,4.0100,4.1000,4.1000,4480500,
26 Jun 2026,3.9600,4.1000,3.9300,4.0900,4.0900,7243600,
19 Jun 2026,3.9500,4.0000,3.9200,3.9400,3.9400,6535700,
12 Jun 2026,3.9600,4.0000,3.9100,3.9400,3.9400,5925300,
5 Jun 2026,4.0100,4.0200,3.9200,3.9600,3.9600,6951400,
29 May 2026,4.0000,4.0200,3.9700,4.0100,4.0100,4469300,
22 May 2026,4.0000,4.0300,3.9500,3.9900,3.9900,5695400,
15 May 2026,4.0000,4.0100,3.9700,3.9800,3.9800,4417000,
8 May 2026,4.0600,4.0700,3.9600,3.9900,3.9900,8118700,
1 May 2026,4.0600,4.0900,3.9800,4.0200,4.0200,3981700,
24 Apr 2026,4.0500,4.0700,4.0200,4.0400,4.0400,4248700,
17 Apr 2026,4.0000,4.0700,4.0000,4.0400,4.0400,6015800,
10 Apr 2026,3.9700,4.0000,3.9200,4.0000,4.0000,5405800,
3 Apr 2026,3.9600,4.0300,3.9400,3.9700,3.9700,4890400,
27 Mar 2026,4.0400,4.0400,3.9200,3.9500,3.9500,6952000,
20 Mar 2026,3.9800,4.0600,3.9600,4.0400,4.0400,4088300,
13 Mar 2026,4.0000,4.0200,3.9600,3.9700,3.9700,5398500,
6 Mar 2026,4.0100,4.0700,3.9700,4.0200,4.0200,8745200,
27 Feb 2026,4.0500,4.1100,4.0200,4.0200,4.0200,7231400,
20 Feb 2026,4.0700,4.0700,4.0300,4.0400,4.0400,1564900,
13 Feb 2026,4.0600,4.0700,4.0200,4.0300,4.0300,5240200,
9 Feb 2026,,,,,,,0.0764 Dividend
6 Feb 2026,4.0900,4.1200,4.0600,4.0800,4.0036,4844500,
30 Jan 2026,4.1300,4.1800,4.0700,4.0800,4.0036,6302100,
23 Jan 2026,4.1500,4.1900,4.1000,4.1300,4.0527,4648800,
16 Jan 2026,4.1600,4.2100,4.1300,4.1500,4.0723,3667100,
9 Jan 2026,4.0900,4.2000,4.0800,4.1600,4.0821,3636800,
2 Jan 2026,4.0300,4.1000,4.0300,4.0800,4.0036,1315700,
26 Dec 2025,4.0100,4.0400,4.0000,4.0300,3.9545,1069800,
19 Dec 2025,4.0400,4.0400,3.9900,4.0100,3.9349,4021000,
12 Dec 2025,4.0600,4.0700,4.0200,4.0300,3.9545,2337700,
5 Dec 2025,4.0600,4.0800,4.0200,4.0400,3.9643,2987200,
28 Nov 2025,3.9800,4.0600,3.9700,4.0500,3.9742,4781500,
21 Nov 2025,4.0200,4.0200,3.9600,3.9800,3.9055,8350700,
14 Nov 2025,4.0500,4.0500,4.0000,4.0000,3.9251,7145000,
7 Nov 2025,4.1100,4.1300,4.0200,4.0500,3.9742,11022400,
31 Oct 2025,4.2000,4.2000,4.0900,4.1000,4.0232,4713800,
24 Oct 2025,4.1600,4.2000,4.1400,4.1800,4.1017,2085600,
17 Oct 2025,4.1300,4.1700,4.1000,4.1500,4.0723,3663900,
10 Oct 2025,4.1600,4.1800,4.1100,4.1400,4.0625,3878900,
3 Oct 2025,4.1000,4.1700,4.0700,4.1600,4.0821,4662800,
26 Sep 2025,4.1900,4.2000,4.0800,4.0900,4.0134,5677700,
19 Sep 2025,4.3100,4.4400,4.1700,4.1900,4.1115,7067200,
12 Sep 2025,4.2000,4.3500,4.2000,4.3100,4.2293,3017100,
5 Sep 2025,4.2200,4.2600,4.1500,4.1800,4.1017,3837200,
29 Aug 2025,4.1300,4.2500,4.1300,4.2200,4.1410,3883300,
22 Aug 2025,4.0400,4.1500,4.0300,4.1100,4.0330,3807300,
15 Aug 2025,4.1300,4.1400,4.0300,4.0400,3.9643,5070900,
13 Aug 2025,,,,,,,0.0765 Dividend
8 Aug 2025,3.9900,4.1400,3.9900,4.1300,3.9770,5674100,
1 Aug 2025,4.0600,4.0700,3.9800,3.9800,3.8326,5855300,
25 Jul 2025,4.0300,4.0600,4.0000,4.0500,3.9000,6397300,
18 Jul 2025,4.0400,4.0800,4.0300,4.0300,3.8808,2794500,
11 Jul 2025,4.1100,4.1400,4.0300,4.0300,3.8808,5395500,
4 Jul 2025,4.1400,4.1500,4.0800,4.1100,3.9578,4125100,
27 Jun 2025,4.0100,4.2300,4.0000,4.1100,3.9578,3932500,
20 Jun 2025,4.0200,4.0700,3.9800,4.0500,3.9000,5970300,
13 Jun 2025,4.0400,4.0600,4.0000,4.0200,3.8711,3704500,
