Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1570,0.1630,0.1560,0.1620,0.1620,580800,
31 Jul 2026,0.1550,0.1590,0.1540,0.1570,0.1570,2844900,
24 Jul 2026,0.1550,0.1590,0.1530,0.1550,0.1550,4891800,
17 Jul 2026,0.1580,0.1580,0.1550,0.1550,0.1550,4094400,
10 Jul 2026,0.1620,0.1620,0.1570,0.1590,0.1590,2565300,
3 Jul 2026,0.1580,0.1620,0.1580,0.1610,0.1610,1007200,
26 Jun 2026,0.1620,0.1640,0.1570,0.1600,0.1600,2158400,
19 Jun 2026,0.1610,0.1650,0.1590,0.1640,0.1640,3290300,
12 Jun 2026,0.1580,0.1620,0.1550,0.1550,0.1550,3542200,
5 Jun 2026,0.1650,0.1660,0.1570,0.1600,0.1600,3575900,
29 May 2026,0.1610,0.1690,0.1610,0.1660,0.1660,3787200,
22 May 2026,0.1660,0.1670,0.1590,0.1610,0.1610,6067800,
15 May 2026,0.1760,0.1770,0.1660,0.1670,0.1670,6125400,
8 May 2026,0.1840,0.1840,0.1740,0.1770,0.1770,5802200,
1 May 2026,0.1810,0.1840,0.1760,0.1830,0.1830,3605800,
24 Apr 2026,0.1800,0.1830,0.1760,0.1810,0.1810,2164100,
17 Apr 2026,0.1770,0.1840,0.1740,0.1800,0.1800,5337100,
10 Apr 2026,0.1730,0.1790,0.1680,0.1780,0.1780,7044000,
3 Apr 2026,0.1600,0.1780,0.1590,0.1730,0.1730,7074600,
27 Mar 2026,0.1670,0.1770,0.1590,0.1690,0.1690,8566600,
20 Mar 2026,0.1720,0.1760,0.1670,0.1680,0.1680,5122500,
13 Mar 2026,0.1720,0.1850,0.1620,0.1740,0.1740,10832500,
6 Mar 2026,0.1900,0.1940,0.1730,0.1750,0.1750,12161600,
27 Feb 2026,0.1990,0.1990,0.1920,0.1960,0.1960,9133600,
20 Feb 2026,0.2100,0.2150,0.1990,0.1990,0.1990,5283900,
20 Feb 2026,,,,,,,0.0025 Dividend
13 Feb 2026,0.2150,0.2300,0.2100,0.2150,0.2116,34048300,
6 Feb 2026,0.2200,0.2300,0.2100,0.2150,0.2116,14084900,
30 Jan 2026,0.2000,0.2300,0.1990,0.2250,0.2215,37026000,
23 Jan 2026,0.1990,0.2050,0.1980,0.2050,0.2018,9888300,
16 Jan 2026,0.2050,0.2050,0.1980,0.2000,0.1969,5662800,
