Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.8400,0.8700,0.8350,0.8600,0.8600,4179400,
31 Jul 2026,0.8400,0.8650,0.8300,0.8400,0.8400,10410200,
24 Jul 2026,0.8550,0.8650,0.8200,0.8400,0.8400,13770200,
17 Jul 2026,0.8500,0.8800,0.8100,0.8550,0.8550,10023400,
10 Jul 2026,0.8500,0.8700,0.8150,0.8550,0.8550,8289100,
3 Jul 2026,0.8350,0.8600,0.8250,0.8500,0.8500,5554400,
26 Jun 2026,0.8450,0.8600,0.8200,0.8300,0.8300,8762900,
19 Jun 2026,0.8700,0.8850,0.8350,0.8400,0.8400,12186000,
12 Jun 2026,0.8700,0.8700,0.8400,0.8650,0.8650,8739900,
5 Jun 2026,0.9300,0.9300,0.8600,0.8700,0.8700,13987600,
29 May 2026,0.9400,0.9850,0.9200,0.9300,0.9300,26757600,
22 May 2026,0.9050,0.9450,0.8900,0.9400,0.9400,22838300,
15 May 2026,0.7500,0.9500,0.7500,0.9100,0.9100,84764200,
8 May 2026,0.7450,0.7700,0.7250,0.7650,0.7650,15909800,
7 May 2026,,,,,,,0.0162 Dividend
1 May 2026,0.7550,0.7550,0.7250,0.7450,0.7286,9337400,
24 Apr 2026,0.7750,0.7850,0.7450,0.7550,0.7384,11168700,
17 Apr 2026,0.7700,0.7950,0.7450,0.7750,0.7579,21409600,
10 Apr 2026,0.7000,0.7850,0.6850,0.7850,0.7677,29947700,
3 Apr 2026,0.6750,0.7150,0.6650,0.6950,0.6797,13243300,
27 Mar 2026,0.6950,0.7000,0.6700,0.6750,0.6601,15036800,
20 Mar 2026,0.7500,0.7500,0.7000,0.7000,0.6846,16077622,
13 Mar 2026,,,,,,,0.0130 Dividend
13 Mar 2026,0.7450,0.7600,0.7200,0.7450,0.7286,13679100,
6 Mar 2026,0.7700,0.7700,0.7250,0.7300,0.7013,12385900,
27 Feb 2026,0.7850,0.8150,0.7500,0.7700,0.7397,16992600,
20 Feb 2026,0.7600,0.8000,0.7600,0.7900,0.7589,16996400,
13 Feb 2026,0.7550,0.7800,0.7500,0.7600,0.7301,12817600,
6 Feb 2026,0.7650,0.7700,0.7200,0.7500,0.7205,21969400,
30 Jan 2026,0.9150,0.9150,0.7550,0.7650,0.7349,46923200,
23 Jan 2026,0.9000,0.9200,0.8850,0.9100,0.8742,8642900,
16 Jan 2026,0.8750,0.9050,0.8700,0.9000,0.8646,7106700,
9 Jan 2026,0.9000,0.9000,0.8650,0.8750,0.8406,6502100,
2 Jan 2026,0.8750,0.9050,0.8600,0.9000,0.8646,7536600,
26 Dec 2025,0.8600,0.8900,0.8550,0.8800,0.8454,12974400,
19 Dec 2025,0.8350,0.8700,0.8350,0.8550,0.8214,9090600,
12 Dec 2025,0.8550,0.8550,0.8250,0.8450,0.8118,8194600,
5 Dec 2025,0.8250,0.8700,0.8200,0.8550,0.8214,9249700,
28 Nov 2025,0.8350,0.8400,0.8000,0.8250,0.7925,6238400,
21 Nov 2025,0.8450,0.8600,0.8150,0.8350,0.8022,11021700,
21 Nov 2025,,,,,,,0.0079 Dividend
14 Nov 2025,0.8700,0.8800,0.7950,0.8450,0.8041,31696600,
7 Nov 2025,0.9000,0.9150,0.8600,0.8700,0.8279,23735900,
31 Oct 2025,0.8550,0.9000,0.8500,0.9000,0.8565,16807800,
24 Oct 2025,0.8100,0.8700,0.8100,0.8550,0.8136,17166300,
17 Oct 2025,0.8000,0.8400,0.7850,0.8050,0.7661,31340500,
10 Oct 2025,0.7600,0.8300,0.7250,0.8100,0.7708,49549500,
3 Oct 2025,0.7250,0.7650,0.7050,0.7500,0.7137,13627900,
26 Sep 2025,0.7750,0.7900,0.7200,0.7250,0.6899,16291700,
19 Sep 2025,0.7800,0.7950,0.7700,0.7700,0.7328,13831800,
16 Sep 2025,,,,,,,0.0076 Dividend
12 Sep 2025,0.7750,0.7950,0.7600,0.7850,0.7398,18580100,
5 Sep 2025,0.7200,0.7800,0.7100,0.7750,0.7304,40974800,
29 Aug 2025,0.7050,0.7250,0.6900,0.7200,0.6785,17397900,
22 Aug 2025,0.7000,0.7100,0.6900,0.7050,0.6644,15817300,
15 Aug 2025,0.6900,0.7150,0.6750,0.7000,0.6597,39690300,
8 Aug 2025,0.6950,0.7500,0.6750,0.6900,0.6503,47955200,
1 Aug 2025,0.6900,0.7400,0.6850,0.6950,0.6550,38583200,
25 Jul 2025,0.7050,0.7100,0.6800,0.6900,0.6503,26078500,
18 Jul 2025,0.6650,0.7050,0.6600,0.7000,0.6597,21369400,
11 Jul 2025,0.6800,0.6900,0.6600,0.6650,0.6267,15611600,
