Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1630,0.1670,0.1620,0.1670,0.1670,72900,
31 Jul 2026,0.1670,0.1670,0.1610,0.1630,0.1630,111600,
24 Jul 2026,0.1670,0.1670,0.1610,0.1630,0.1630,60300,
17 Jul 2026,0.1630,0.1690,0.1600,0.1640,0.1640,696800,
10 Jul 2026,0.1660,0.1680,0.1600,0.1640,0.1640,249300,
3 Jul 2026,0.1690,0.1690,0.1610,0.1660,0.1660,416400,
26 Jun 2026,0.1630,0.1690,0.1600,0.1650,0.1650,328200,
19 Jun 2026,0.1620,0.1670,0.1620,0.1650,0.1650,475400,
12 Jun 2026,0.1620,0.1660,0.1610,0.1620,0.1620,730800,
5 Jun 2026,0.1620,0.1700,0.1620,0.1660,0.1660,908000,
29 May 2026,0.1690,0.1690,0.1600,0.1660,0.1660,116200,
22 May 2026,0.1690,0.1690,0.1590,0.1690,0.1690,322700,
15 May 2026,0.1700,0.1700,0.1660,0.1670,0.1670,1235000,
8 May 2026,0.1820,0.1840,0.1680,0.1700,0.1700,2164000,
7 May 2026,,,,,,,0.0110 Dividend
1 May 2026,0.1820,0.1820,0.1790,0.1820,0.1709,871100,
24 Apr 2026,0.1810,0.1840,0.1800,0.1840,0.1728,843200,
17 Apr 2026,0.1820,0.1850,0.1800,0.1820,0.1709,2737400,
10 Apr 2026,0.1810,0.1850,0.1790,0.1830,0.1719,457200,
3 Apr 2026,0.1810,0.1850,0.1790,0.1810,0.1700,323800,
27 Mar 2026,0.1860,0.1860,0.1750,0.1820,0.1709,156600,
20 Mar 2026,0.1800,0.1830,0.1800,0.1830,0.1719,1141200,
13 Mar 2026,0.1800,0.1840,0.1770,0.1810,0.1700,504000,
6 Mar 2026,0.1830,0.1850,0.1690,0.1800,0.1691,2916900,
27 Feb 2026,0.1860,0.1890,0.1840,0.1860,0.1747,1285300,
20 Feb 2026,0.1850,0.1880,0.1820,0.1850,0.1738,399900,
13 Feb 2026,0.1830,0.1850,0.1800,0.1840,0.1728,1152000,
6 Feb 2026,0.1820,0.1860,0.1800,0.1830,0.1719,3323800,
30 Jan 2026,0.1780,0.1810,0.1750,0.1800,0.1691,1401300,
23 Jan 2026,0.1800,0.1800,0.1750,0.1790,0.1681,241700,
16 Jan 2026,0.1780,0.1810,0.1760,0.1800,0.1691,438000,
9 Jan 2026,0.1770,0.1800,0.1750,0.1800,0.1691,611600,
2 Jan 2026,0.1770,0.1780,0.1730,0.1770,0.1662,212400,
26 Dec 2025,0.1780,0.1780,0.1750,0.1780,0.1672,27300,
19 Dec 2025,0.1760,0.1780,0.1710,0.1780,0.1672,350500,
