Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.6900,0.6900,0.6850,0.6900,0.6900,1880200,
31 Jul 2026,0.6850,0.6900,0.6800,0.6900,0.6900,8903400,
24 Jul 2026,0.6850,0.6900,0.6800,0.6850,0.6850,3541600,
17 Jul 2026,0.6750,0.6850,0.6750,0.6850,0.6850,6446500,
10 Jul 2026,0.6800,0.6800,0.6700,0.6750,0.6750,4668300,
3 Jul 2026,0.6800,0.6800,0.6700,0.6800,0.6800,6420400,
26 Jun 2026,0.6700,0.6800,0.6650,0.6800,0.6800,5451700,
19 Jun 2026,0.6700,0.6800,0.6650,0.6800,0.6800,5765900,
12 Jun 2026,0.6650,0.6750,0.6600,0.6650,0.6650,5581500,
5 Jun 2026,0.6700,0.6750,0.6650,0.6650,0.6650,2737300,
29 May 2026,0.6700,0.6750,0.6650,0.6650,0.6650,3136700,
22 May 2026,0.6750,0.6750,0.6600,0.6700,0.6700,3857400,
15 May 2026,0.6700,0.6750,0.6600,0.6700,0.6700,4261100,
8 May 2026,0.6650,0.6700,0.6600,0.6650,0.6650,4618000,
1 May 2026,0.6650,0.6700,0.6600,0.6700,0.6700,3030600,
24 Apr 2026,0.6650,0.6700,0.6600,0.6600,0.6600,5100000,
17 Apr 2026,0.6450,0.6700,0.6450,0.6650,0.6650,6164700,
10 Apr 2026,0.6400,0.6500,0.6300,0.6450,0.6450,5555300,
3 Apr 2026,0.6350,0.6400,0.6300,0.6350,0.6350,5297000,
27 Mar 2026,0.6350,0.6400,0.6300,0.6350,0.6350,4983100,
20 Mar 2026,0.6500,0.6500,0.6350,0.6400,0.6400,9491500,
16 Mar 2026,,,,,,,0.0308 Dividend
13 Mar 2026,0.6750,0.6850,0.6600,0.6800,0.6492,9090500,
6 Mar 2026,0.6850,0.6900,0.6700,0.6750,0.6444,11215800,
27 Feb 2026,0.6850,0.6950,0.6800,0.6850,0.6539,12133200,
20 Feb 2026,0.6800,0.6900,0.6800,0.6850,0.6539,3270400,
13 Feb 2026,0.6850,0.6850,0.6750,0.6800,0.6492,4597600,
6 Feb 2026,0.6900,0.6900,0.6800,0.6850,0.6539,2940200,
30 Jan 2026,0.6850,0.6900,0.6850,0.6850,0.6539,5329000,
23 Jan 2026,0.6850,0.6950,0.6800,0.6850,0.6539,6797100,
16 Jan 2026,0.6850,0.6950,0.6800,0.6850,0.6539,8675900,
9 Jan 2026,0.6800,0.6850,0.6800,0.6800,0.6492,3619200,
2 Jan 2026,0.6800,0.6850,0.6750,0.6800,0.6492,1564400,
