Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0620,0.0620,0.0620,0.0620,0.0620,0,
31 Jul 2026,0.0620,0.0620,0.0620,0.0620,0.0620,0,
24 Jul 2026,0.0630,0.0630,0.0620,0.0620,0.0620,89100,
17 Jul 2026,0.0640,0.0640,0.0640,0.0640,0.0640,0,
10 Jul 2026,0.0600,0.0640,0.0600,0.0640,0.0640,9000,
3 Jul 2026,0.0700,0.0700,0.0600,0.0600,0.0600,259600,
26 Jun 2026,0.0800,0.0800,0.0720,0.0720,0.0720,79800,
19 Jun 2026,0.0760,0.0800,0.0760,0.0800,0.0800,4000,
12 Jun 2026,0.0760,0.0760,0.0760,0.0760,0.0760,24400,
5 Jun 2026,0.0760,0.0760,0.0760,0.0760,0.0760,0,
29 May 2026,0.0760,0.0760,0.0760,0.0760,0.0760,0,
22 May 2026,0.0750,0.0760,0.0750,0.0760,0.0760,300,
15 May 2026,0.0810,0.0810,0.0700,0.0750,0.0750,519300,
8 May 2026,0.0830,0.0900,0.0800,0.0800,0.0800,707800,
1 May 2026,0.0880,0.0900,0.0830,0.0830,0.0830,961200,
24 Apr 2026,0.0830,0.0850,0.0820,0.0840,0.0840,106700,
17 Apr 2026,0.0880,0.0880,0.0830,0.0830,0.0830,10200,
10 Apr 2026,0.0880,0.0880,0.0880,0.0880,0.0880,0,
3 Apr 2026,0.0870,0.0890,0.0800,0.0880,0.0880,45200,
27 Mar 2026,0.0870,0.0870,0.0870,0.0870,0.0870,0,
20 Mar 2026,0.0880,0.0900,0.0870,0.0870,0.0870,60100,
13 Mar 2026,0.0990,0.0990,0.0880,0.0880,0.0880,320000,
6 Mar 2026,0.1000,0.1000,0.0990,0.0990,0.0990,100200,
27 Feb 2026,0.1120,0.1120,0.1000,0.1000,0.1000,197200,
20 Feb 2026,0.1120,0.1120,0.1110,0.1120,0.1120,20000,
13 Feb 2026,0.1090,0.1120,0.1090,0.1120,0.1120,112200,
6 Feb 2026,0.1170,0.1170,0.1070,0.1080,0.1080,443700,
30 Jan 2026,0.1220,0.1240,0.1190,0.1200,0.1200,406100,
23 Jan 2026,0.1200,0.1200,0.1200,0.1200,0.1200,51800,
16 Jan 2026,0.1210,0.1210,0.1170,0.1170,0.1170,1800,
9 Jan 2026,0.1210,0.1210,0.1210,0.1210,0.1210,7000,
2 Jan 2026,0.1330,0.1330,0.1200,0.1210,0.1210,94500,
26 Dec 2025,0.1300,0.1330,0.1300,0.1330,0.1330,10200,
19 Dec 2025,0.1290,0.1310,0.1290,0.1300,0.1300,18200,
12 Dec 2025,0.1590,0.1590,0.1290,0.1290,0.1290,46100,
5 Dec 2025,0.1590,0.1590,0.1590,0.1590,0.1590,0,
28 Nov 2025,0.1580,0.1590,0.1580,0.1590,0.1590,100,
21 Nov 2025,0.1590,0.1590,0.1580,0.1580,0.1580,356000,
14 Nov 2025,0.1570,0.1600,0.1570,0.1590,0.1590,1762000,
7 Nov 2025,0.1570,0.1570,0.1570,0.1570,0.1570,0,
31 Oct 2025,0.1570,0.1570,0.1570,0.1570,0.1570,0,
10 Oct 2025,0.1570,0.1570,0.1570,0.1570,0.1570,268700,
3 Oct 2025,0.1560,0.1570,0.1560,0.1570,0.1570,11800,
26 Sep 2025,0.1560,0.1560,0.1550,0.1560,0.1560,145000,
19 Sep 2025,0.1570,0.1570,0.1530,0.1560,0.1560,1441400,
12 Sep 2025,0.1550,0.1580,0.1550,0.1570,0.1570,56100,
