Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,4.3900,4.4500,4.3700,4.3900,4.3900,37587200,
31 Jul 2026,4.4000,4.7000,4.3700,4.4400,4.4400,201020700,
31 Jul 2026,,,,,,,0.1030 Dividend
24 Jul 2026,4.4600,4.4700,4.3800,4.3900,4.2913,159848400,
17 Jul 2026,4.4000,4.4600,4.3500,4.4400,4.3401,151434600,
10 Jul 2026,4.4700,4.4800,4.3500,4.4000,4.3010,120121600,
3 Jul 2026,4.4500,4.4900,4.3800,4.4700,4.3695,128417300,
26 Jun 2026,4.3600,4.4800,4.2800,4.4300,4.3304,123551500,
19 Jun 2026,4.3000,4.4300,4.2400,4.3500,4.2522,165209900,
12 Jun 2026,4.2400,4.3400,4.1500,4.2700,4.1740,210517300,
5 Jun 2026,4.3000,4.3700,4.2700,4.2900,4.1935,162510159,
29 May 2026,4.6000,4.6400,4.3300,4.3400,4.2424,275906609,
22 May 2026,4.8300,5.0500,4.5900,4.5900,4.4868,295621616,
15 May 2026,4.7400,4.8700,4.6700,4.8200,4.7116,143390700,
8 May 2026,4.6700,4.7400,4.5500,4.6900,4.5845,207827940,
1 May 2026,4.6100,4.6700,4.4600,4.5900,4.4868,167845458,
24 Apr 2026,4.8000,4.8700,4.5500,4.6300,4.5259,228032251,
17 Apr 2026,4.9000,4.9300,4.7500,4.8100,4.7018,200141960,
10 Apr 2026,5.0400,5.0700,4.8300,4.8800,4.7703,134144708,
3 Apr 2026,4.9400,5.1000,4.9300,4.9900,4.8778,85512474,
27 Mar 2026,5.0500,5.0900,4.9100,4.9900,4.8778,105502500,
20 Mar 2026,4.9500,5.2700,4.9500,5.2100,5.0928,139331600,
13 Mar 2026,4.9500,5.0500,4.9000,4.9600,4.8485,99590100,
6 Mar 2026,4.8900,5.0500,4.8600,5.0000,4.8876,142548164,
27 Feb 2026,5.1000,5.1500,4.9600,5.0400,4.9267,97243600,
20 Feb 2026,4.9000,5.1000,4.8300,5.0400,4.9267,70152800,
13 Feb 2026,4.7600,5.0300,4.7200,4.9100,4.7996,123971500,
6 Feb 2026,4.6800,4.9500,4.6100,4.7200,4.6139,146123092,
30 Jan 2026,4.4700,4.6500,4.4400,4.5900,4.4868,98823943,
23 Jan 2026,4.4800,4.5700,4.4200,4.4400,4.3401,90575200,
16 Jan 2026,4.4700,4.5400,4.4200,4.4900,4.3890,78733300,
9 Jan 2026,4.6000,4.6000,4.3900,4.4600,4.3597,126300600,
2 Jan 2026,4.6000,4.6000,4.5500,4.5800,4.4770,30326250,
26 Dec 2025,4.5700,4.6000,4.5000,4.5800,4.4770,38674137,
19 Dec 2025,4.6700,4.7100,4.4800,4.5400,4.4379,115484200,
12 Dec 2025,4.6100,4.6600,4.5500,4.6600,4.5552,93851510,
5 Dec 2025,4.7400,4.7500,4.5400,4.5800,4.4770,106267760,
28 Nov 2025,4.7700,4.8300,4.7000,4.7300,4.6236,107026368,
21 Nov 2025,4.8500,4.9200,4.7100,4.7400,4.6334,118536700,
20 Nov 2025,,,,,,,0.0820 Dividend
14 Nov 2025,4.6000,4.9200,4.5000,4.8600,4.6705,135290516,
7 Nov 2025,4.2800,4.7300,4.2000,4.6300,4.4495,184721300,
31 Oct 2025,4.3200,4.3600,4.2300,4.2500,4.0843,84296570,
24 Oct 2025,4.2100,4.3600,4.2100,4.3100,4.1420,68373300,
17 Oct 2025,4.2400,4.2900,4.1800,4.2100,4.0459,84076032,
10 Oct 2025,4.2500,4.3000,4.1700,4.2600,4.0939,91530200,
3 Oct 2025,4.2600,4.2700,4.0600,4.2500,4.0843,195663800,
26 Sep 2025,4.4000,4.4000,4.2200,4.2600,4.0939,177355072,
19 Sep 2025,4.3400,4.4500,4.2900,4.4100,4.2381,145305007,
12 Sep 2025,4.3900,4.3900,4.2800,4.3400,4.1708,98207400,
5 Sep 2025,4.3200,4.4200,4.2800,4.3900,4.2189,87334600,
29 Aug 2025,4.2100,4.3500,4.2100,4.3100,4.1420,134818670,
22 Aug 2025,4.1200,4.2100,4.0900,4.2000,4.0363,129893600,
15 Aug 2025,3.9800,4.1200,3.9100,4.1000,3.9402,109509200,
8 Aug 2025,3.9000,4.0300,3.9000,3.9800,3.8249,66839200,
1 Aug 2025,4.1300,4.1400,3.8800,3.9000,3.7480,105259400,
31 Jul 2025,,,,,,,0.1000 Dividend
25 Jul 2025,4.1600,4.2000,4.0600,4.0900,3.8323,85873316,
18 Jul 2025,4.0500,4.1900,4.0300,4.1700,3.9073,107292600,
11 Jul 2025,3.8700,4.1100,3.8500,4.0800,3.8229,124282700,
4 Jul 2025,3.8500,3.9100,3.8000,3.8600,3.6168,94996608,
27 Jun 2025,3.8400,3.9100,3.7500,3.8400,3.5981,163455860,
20 Jun 2025,3.9700,3.9800,3.8600,3.8600,3.6168,108251500,
13 Jun 2025,3.8800,4.0100,3.8400,3.9500,3.7011,99318900,
6 Jun 2025,3.8300,3.9100,3.7600,3.9000,3.6543,122399000,
30 May 2025,3.8500,3.9100,3.8100,3.8100,3.5699,105293231,
23 May 2025,3.8200,3.9900,3.7700,3.8800,3.6355,157804600,
16 May 2025,3.9000,3.9000,3.6700,3.8000,3.5606,126929253,
9 May 2025,3.8000,3.9000,3.7600,3.9000,3.6543,123810500,
2 May 2025,3.7600,3.8200,3.6900,3.8000,3.5606,106483000,
25 Apr 2025,3.7500,3.8400,3.7200,3.7600,3.5231,148692700,
18 Apr 2025,3.5500,3.7900,3.4900,3.7500,3.5137,176473900,
11 Apr 2025,3.4400,3.6400,3.2700,3.5000,3.2795,386247900,
4 Apr 2025,3.4300,3.6400,3.4300,3.5300,3.3076,218366737,
28 Mar 2025,3.3800,3.4500,3.3800,3.4300,3.2139,93366000,
21 Mar 2025,3.3400,3.4500,3.3200,3.4200,3.2045,156377600,
14 Mar 2025,3.4200,3.4200,3.2700,3.3200,3.1108,101033632,
7 Mar 2025,3.4100,3.4300,3.3600,3.4200,3.2045,154812685,
28 Feb 2025,3.2500,3.4000,3.2500,3.4000,3.1858,137044945,
21 Feb 2025,3.3500,3.4100,3.2600,3.2800,3.0733,135032000,
14 Feb 2025,3.2800,3.4200,3.2800,3.3600,3.1483,138547500,
7 Feb 2025,3.2100,3.3100,3.1900,3.2800,3.0733,125743295,
31 Jan 2025,3.2000,3.3600,3.1800,3.3300,3.1202,111487700,
24 Jan 2025,3.1200,3.2000,3.0800,3.2000,2.9984,90177000,
17 Jan 2025,3.0800,3.1600,3.0700,3.1400,2.9422,76162200,
10 Jan 2025,3.1000,3.1100,3.0400,3.0700,2.8766,60048100,
3 Jan 2025,3.1000,3.1200,3.0700,3.0900,2.8953,32877200,
27 Dec 2024,3.1200,3.1300,3.0700,3.1000,2.9047,26663800,
20 Dec 2024,3.1300,3.1800,3.0800,3.1200,2.9234,99596700,
13 Dec 2024,3.0400,3.1500,3.0300,3.1400,2.9422,109275400,
6 Dec 2024,3.1300,3.2000,3.0100,3.0300,2.8391,111842500,
29 Nov 2024,3.0800,3.1100,3.0000,3.1000,2.9047,144137769,
22 Nov 2024,3.1700,3.2400,3.0500,3.0600,2.8672,127091961,
20 Nov 2024,,,,,,,0.0890 Dividend
15 Nov 2024,3.2100,3.2400,3.1300,3.1600,2.8793,122646800,
8 Nov 2024,3.1000,3.2600,3.1000,3.2500,2.9613,118495150,
1 Nov 2024,3.2100,3.2200,2.9000,3.1000,2.8246,116319800,
25 Oct 2024,3.2500,3.2500,3.1600,3.2100,2.9249,84091837,
18 Oct 2024,3.1500,3.2700,3.1200,3.2600,2.9704,135359900,
11 Oct 2024,3.2000,3.2100,3.1200,3.1500,2.8702,140011000,
4 Oct 2024,3.2100,3.2800,3.1700,3.1900,2.9066,135057000,
27 Sep 2024,3.3800,3.4000,3.1600,3.2100,2.9249,244485676,
20 Sep 2024,3.2700,3.4100,3.2600,3.4000,3.0980,191138400,
13 Sep 2024,3.1100,3.3200,3.1100,3.2700,2.9795,282732200,
6 Sep 2024,3.1000,3.2000,3.0500,3.1300,2.8520,208240992,
30 Aug 2024,2.9500,3.1300,2.8500,3.1300,2.8520,342934051,
23 Aug 2024,2.9900,3.0000,2.8800,2.9400,2.6789,127736000,
16 Aug 2024,2.8900,3.0200,2.8000,2.9800,2.7153,214112456,
9 Aug 2024,2.9100,2.9500,2.8500,2.9200,2.6606,198482300,
2 Aug 2024,3.0600,3.1100,2.9100,2.9500,2.6880,168546000,
26 Jul 2024,3.0200,3.0900,2.9800,3.0400,2.7700,190291800,
19 Jul 2024,2.9500,3.1000,2.9400,3.0200,2.7517,240106500,
12 Jul 2024,2.8300,2.9500,2.8000,2.9500,2.6880,185133100,
5 Jul 2024,2.7500,2.9000,2.7200,2.8500,2.5968,231775600,
28 Jun 2024,2.6500,2.7800,2.6200,2.7500,2.5057,236105700,
21 Jun 2024,2.5500,2.6500,2.5500,2.6400,2.4055,146944200,
14 Jun 2024,2.5200,2.5800,2.5100,2.5500,2.3235,150177728,
7 Jun 2024,2.4800,2.5400,2.4700,2.5200,2.2962,187874806,
31 May 2024,2.4200,2.4800,2.4100,2.4800,2.2597,210241500,
24 May 2024,2.4300,2.4300,2.3800,2.4200,2.2050,137515500,
17 May 2024,2.3900,2.4600,2.3900,2.4200,2.2050,121549800,
10 May 2024,2.3900,2.4100,2.3500,2.4000,2.1868,103545300,
3 May 2024,2.3400,2.4000,2.3300,2.3800,2.1686,178651500,
26 Apr 2024,2.3600,2.4400,2.3400,2.4100,2.1959,139734100,
19 Apr 2024,2.3500,2.3700,2.3100,2.3500,2.1413,195780400,
12 Apr 2024,2.4300,2.4300,2.3700,2.3700,2.1595,127511672,
5 Apr 2024,2.5400,2.5500,2.3700,2.4000,2.1868,198510495,
29 Mar 2024,2.5300,2.5600,2.5000,2.5300,2.3053,110532500,
22 Mar 2024,2.4800,2.5500,2.4700,2.5300,2.3053,141935100,
15 Mar 2024,2.3800,2.5100,2.3700,2.4800,2.2597,261330983,
8 Mar 2024,2.3300,2.4100,2.3000,2.3800,2.1686,124194600,
1 Mar 2024,2.3500,2.3900,2.3100,2.3400,2.1321,142708148,
23 Feb 2024,2.3700,2.3900,2.3400,2.3700,2.1595,88714652,
16 Feb 2024,2.3400,2.3800,2.2900,2.3800,2.1686,129757300,
9 Feb 2024,2.4000,2.4100,2.3000,2.3400,2.1321,146775800,
2 Feb 2024,2.4100,2.4500,2.3800,2.4400,2.2233,141513000,
26 Jan 2024,2.4100,2.4300,2.3700,2.4000,2.1868,101321900,
19 Jan 2024,2.4100,2.4500,2.3600,2.4000,2.1868,96941170,
12 Jan 2024,2.3600,2.4200,2.3500,2.4100,2.1959,98347800,
5 Jan 2024,2.4700,2.4800,2.3300,2.3500,2.1413,126682100,
29 Dec 2023,2.4400,2.4800,2.4000,2.4700,2.2506,95147900,
22 Dec 2023,2.3800,2.4400,2.3600,2.4400,2.2233,103368900,
15 Dec 2023,2.3400,2.4300,2.3100,2.4000,2.1868,138418282,
8 Dec 2023,2.3000,2.3500,2.2700,2.3400,2.1321,89238000,
1 Dec 2023,2.2600,2.3100,2.2500,2.3000,2.0957,111482600,
24 Nov 2023,2.3200,2.3200,2.2500,2.2600,2.0593,167752200,
17 Nov 2023,,,,,,,0.0520 Dividend
17 Nov 2023,2.3600,2.3900,2.3200,2.3300,2.1230,89834600,
10 Nov 2023,2.4600,2.4800,2.3300,2.3600,2.1034,162914300,
3 Nov 2023,2.3300,2.4600,2.3300,2.4500,2.1836,81027800,
27 Oct 2023,2.3300,2.4000,2.3000,2.3500,2.0945,96642300,
20 Oct 2023,2.3700,2.4100,2.3300,2.3300,2.0767,69417100,
13 Oct 2023,2.3800,2.4500,2.3600,2.3800,2.1212,73943600,
6 Oct 2023,2.4400,2.4600,2.3400,2.3800,2.1212,95937100,
29 Sep 2023,2.4200,2.4300,2.3900,2.4200,2.1569,74262354,
22 Sep 2023,2.4300,2.4900,2.3900,2.4300,2.1658,107812200,
15 Sep 2023,2.3200,2.4100,2.3100,2.4000,2.1390,84261996,
8 Sep 2023,2.3600,2.3900,2.3200,2.3200,2.0677,60484100,
1 Sep 2023,2.3500,2.4000,2.3400,2.3800,2.1212,79314600,
25 Aug 2023,2.3300,2.3600,2.3200,2.3400,2.0856,118939600,
18 Aug 2023,2.4400,2.4400,2.3200,2.3400,2.0856,112837500,
11 Aug 2023,2.4400,2.4800,2.4300,2.4400,2.1747,49413300,
4 Aug 2023,2.6600,2.6800,2.4100,2.4400,2.1747,149990600,
2 Aug 2023,,,,,,,0.0780 Dividend
28 Jul 2023,2.6000,2.6700,2.6000,2.6600,2.3007,106518100,
21 Jul 2023,2.5700,2.6000,2.5400,2.6000,2.2488,64383100,
14 Jul 2023,2.4800,2.5800,2.4700,2.5800,2.2315,79038900,
7 Jul 2023,2.5000,2.5600,2.4700,2.4800,2.1450,80682300,
30 Jun 2023,2.5000,2.5600,2.4800,2.5000,2.1623,73333200,
23 Jun 2023,2.5300,2.5400,2.4700,2.5000,2.1623,85760792,
16 Jun 2023,2.4300,2.5700,2.4300,2.5400,2.1969,120084600,
9 Jun 2023,2.5200,2.5200,2.4200,2.4300,2.1018,92973300,
2 Jun 2023,2.4700,2.5200,2.4500,2.5000,2.1623,102741700,
26 May 2023,2.5500,2.5700,2.4300,2.4700,2.1364,90442400,
19 May 2023,2.5800,2.5900,2.5300,2.5600,2.2142,59445900,
12 May 2023,2.6000,2.6100,2.5500,2.5700,2.2229,69032500,
5 May 2023,2.5500,2.6000,2.5400,2.5900,2.2402,77445200,
28 Apr 2023,2.5600,2.5600,2.4400,2.5500,2.2056,123233400,
21 Apr 2023,2.5000,2.5600,2.5000,2.5600,2.2142,112046700,
14 Apr 2023,2.5100,2.5200,2.4700,2.5000,2.1623,61297973,
7 Apr 2023,2.4900,2.5300,2.4800,2.5000,2.1623,88505000,
31 Mar 2023,2.3900,2.4800,2.3800,2.4600,2.1277,109784000,
24 Mar 2023,2.4200,2.4400,2.3700,2.3800,2.0585,110737800,
17 Mar 2023,2.3600,2.4300,2.3100,2.4200,2.0931,127289000,
10 Mar 2023,2.3800,2.4300,2.3500,2.3600,2.0412,89018696,
3 Mar 2023,2.4000,2.4300,2.3600,2.3700,2.0499,135178856,
24 Feb 2023,2.4400,2.4500,2.3900,2.4100,2.0845,89193500,
17 Feb 2023,2.5100,2.5200,2.4300,2.4500,2.1191,104675900,
10 Feb 2023,2.5500,2.5600,2.5000,2.5200,2.1796,64930400,
3 Feb 2023,2.5500,2.5700,2.5000,2.5400,2.1969,117401300,
27 Jan 2023,2.4500,2.5700,2.4500,2.5500,2.2056,80189600,
20 Jan 2023,2.5200,2.5300,2.4300,2.4500,2.1191,126998300,
13 Jan 2023,2.5500,2.5800,2.4400,2.5000,2.1623,168391600,
6 Jan 2023,2.5700,2.5700,2.5100,2.5300,2.1883,86112200,
30 Dec 2022,2.5700,2.6000,2.5500,2.5700,2.2229,41100000,
23 Dec 2022,2.5500,2.6200,2.5500,2.5700,2.2229,84036421,
16 Dec 2022,2.6200,2.6500,2.5300,2.5400,2.1969,159205968,
9 Dec 2022,2.7000,2.7100,2.6100,2.6400,2.2834,161284100,
2 Dec 2022,2.7000,2.7400,2.6800,2.6900,2.3267,164949180,
25 Nov 2022,2.6700,2.7400,2.6700,2.7000,2.3353,101320000,
18 Nov 2022,,,,,,,0.0710 Dividend
18 Nov 2022,2.7000,2.8200,2.6700,2.6800,2.3180,267463700,
11 Nov 2022,2.5400,2.7000,2.5200,2.6900,2.2675,169712800,
4 Nov 2022,2.4700,2.5400,2.4600,2.5200,2.1242,132068800,
28 Oct 2022,2.3800,2.4600,2.3800,2.4500,2.0652,116976300,
21 Oct 2022,2.4800,2.5100,2.3800,2.3800,2.0062,125215600,
14 Oct 2022,2.5100,2.5200,2.4800,2.4800,2.0904,160933200,
7 Oct 2022,2.6400,2.6500,2.4900,2.5300,2.1326,170975600,
30 Sep 2022,2.6400,2.7100,2.6000,2.6600,2.2422,216714500,
23 Sep 2022,2.7100,2.7100,2.6500,2.6500,2.2337,124857700,
16 Sep 2022,2.7300,2.7500,2.6600,2.7000,2.2759,111280500,
9 Sep 2022,2.6200,2.7400,2.6100,2.7200,2.2928,140413890,
2 Sep 2022,2.6300,2.6800,2.6000,2.6000,2.1916,116524800,
26 Aug 2022,2.6600,2.6900,2.6000,2.6500,2.2337,104139900,
19 Aug 2022,2.6200,2.7200,2.6100,2.6600,2.2422,127095600,
12 Aug 2022,2.6300,2.6600,2.6100,2.6200,2.2085,75857800,
5 Aug 2022,2.6200,2.6600,2.5400,2.6300,2.2169,90388900,
3 Aug 2022,,,,,,,0.0480 Dividend
29 Jul 2022,2.6500,2.6600,2.6000,2.6100,2.1599,109329726,
22 Jul 2022,2.6500,2.6800,2.6300,2.6500,2.1930,73585600,
15 Jul 2022,2.6600,2.6600,2.5900,2.6500,2.1930,68589200,
8 Jul 2022,2.5600,2.6800,2.5400,2.6600,2.2013,123851900,
1 Jul 2022,2.5800,2.6200,2.5300,2.5500,2.1102,131335200,
24 Jun 2022,2.4700,2.5900,2.4600,2.5800,2.1350,122709800,
