Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0870,0.0950,0.0860,0.0950,0.0950,171200,
31 Jul 2026,0.0890,0.0960,0.0870,0.0870,0.0870,195300,
24 Jul 2026,0.0960,0.0960,0.0860,0.0890,0.0890,596100,
17 Jul 2026,0.0950,0.0970,0.0850,0.0960,0.0960,321100,
10 Jul 2026,0.1000,0.1000,0.0960,0.0970,0.0970,64000,
3 Jul 2026,0.1050,0.1070,0.0930,0.1050,0.1050,48200,
26 Jun 2026,0.1040,0.1040,0.0950,0.1010,0.1010,178400,
19 Jun 2026,0.1040,0.1040,0.0970,0.1040,0.1040,86900,
12 Jun 2026,0.1040,0.1060,0.0990,0.1040,0.1040,246400,
5 Jun 2026,0.1090,0.1090,0.1010,0.1060,0.1060,32900,
29 May 2026,0.1130,0.1200,0.1020,0.1090,0.1090,389400,
22 May 2026,0.1170,0.1200,0.1130,0.1170,0.1170,334300,
15 May 2026,0.0970,0.1260,0.0970,0.1170,0.1170,1542300,
8 May 2026,0.1070,0.1090,0.0950,0.1050,0.1050,406800,
1 May 2026,0.1090,0.1130,0.1000,0.1070,0.1070,1175300,
24 Apr 2026,0.1100,0.1130,0.0980,0.1090,0.1090,425800,
17 Apr 2026,0.1080,0.1120,0.0940,0.1100,0.1100,360800,
10 Apr 2026,0.0980,0.1080,0.0960,0.0960,0.0960,125500,
3 Apr 2026,0.1020,0.1020,0.0960,0.0960,0.0960,58500,
27 Mar 2026,0.0980,0.1020,0.0910,0.0920,0.0920,752500,
20 Mar 2026,0.0910,0.1010,0.0800,0.0950,0.0950,441700,
13 Mar 2026,0.0950,0.0950,0.0910,0.0910,0.0910,48600,
6 Mar 2026,0.1040,0.1050,0.0950,0.0950,0.0950,105100,
27 Feb 2026,0.1000,0.1000,0.0940,0.0980,0.0980,75000,
20 Feb 2026,0.1030,0.1030,0.0960,0.1000,0.1000,96400,
13 Feb 2026,0.1000,0.1030,0.0940,0.1030,0.1030,100000,
6 Feb 2026,0.1020,0.1020,0.0990,0.1010,0.1010,102100,
30 Jan 2026,0.1020,0.1030,0.1010,0.1020,0.1020,185500,
23 Jan 2026,0.1050,0.1060,0.1020,0.1040,0.1040,60000,
16 Jan 2026,0.1110,0.1110,0.0990,0.1020,0.1020,1722800,
9 Jan 2026,0.1190,0.1190,0.1100,0.1140,0.1140,1104500,
2 Jan 2026,0.1120,0.1210,0.1110,0.1200,0.1200,102300,
26 Dec 2025,0.1060,0.1230,0.1060,0.1120,0.1120,128300,
19 Dec 2025,0.1100,0.1110,0.1060,0.1070,0.1070,115600,
12 Dec 2025,0.1140,0.1140,0.1090,0.1100,0.1100,7600,
5 Dec 2025,0.1180,0.1200,0.1140,0.1140,0.1140,60300,
28 Nov 2025,0.1160,0.1180,0.1140,0.1180,0.1180,35200,
21 Nov 2025,0.1230,0.1240,0.1170,0.1220,0.1220,21100,
14 Nov 2025,0.1230,0.1230,0.1230,0.1230,0.1230,0,
7 Nov 2025,0.1340,0.1340,0.1010,0.1230,0.1230,286000,
31 Oct 2025,0.1370,0.1370,0.1320,0.1350,0.1350,30000,
24 Oct 2025,0.1320,0.1370,0.1320,0.1370,0.1370,50200,
17 Oct 2025,0.1380,0.1380,0.1320,0.1320,0.1320,73800,
10 Oct 2025,0.1370,0.1420,0.1300,0.1380,0.1380,316800,
3 Oct 2025,0.1360,0.1420,0.1360,0.1390,0.1390,355800,
26 Sep 2025,0.1430,0.1430,0.1350,0.1360,0.1360,152700,
19 Sep 2025,0.1430,0.1440,0.1430,0.1430,0.1430,16500,
12 Sep 2025,0.1480,0.1480,0.1420,0.1430,0.1430,40600,
5 Sep 2025,0.1540,0.1550,0.1470,0.1480,0.1480,240600,
29 Aug 2025,0.1510,0.1550,0.1470,0.1500,0.1500,311900,
22 Aug 2025,0.1340,0.1550,0.1340,0.1550,0.1550,823300,
15 Aug 2025,0.1470,0.1470,0.1340,0.1340,0.1340,316500,
8 Aug 2025,0.1400,0.1480,0.1400,0.1470,0.1470,121200,
1 Aug 2025,0.1490,0.1490,0.1400,0.1410,0.1410,156900,
