Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.0440,0.0450,0.0440,0.0450,0.0450,4000,
31 Jul 2026,0.0420,0.0440,0.0360,0.0440,0.0440,219900,
24 Jul 2026,0.0380,0.0450,0.0260,0.0420,0.0420,12900,
17 Jul 2026,0.0380,0.0410,0.0160,0.0380,0.0380,711900,
10 Jul 2026,0.0420,0.0450,0.0350,0.0440,0.0440,191300,
3 Jul 2026,0.0460,0.0500,0.0400,0.0420,0.0420,253300,
26 Jun 2026,0.0480,0.0480,0.0460,0.0460,0.0460,184400,
19 Jun 2026,0.0490,0.0540,0.0480,0.0540,0.0540,13500,
12 Jun 2026,0.0590,0.0590,0.0450,0.0490,0.0490,877100,
5 Jun 2026,0.0590,0.0630,0.0520,0.0540,0.0540,128600,
29 May 2026,0.0530,0.0630,0.0530,0.0590,0.0590,20000,
22 May 2026,0.0580,0.0630,0.0530,0.0550,0.0550,1016500,
15 May 2026,0.0580,0.0900,0.0530,0.0570,0.0570,488900,
12 May 2026,,,,,,,0.0003 Dividend
8 May 2026,0.0670,0.0680,0.0520,0.0590,0.0587,31100,
1 May 2026,0.0600,0.0690,0.0600,0.0680,0.0677,84200,
24 Apr 2026,0.0620,0.0620,0.0600,0.0600,0.0597,12200,
17 Apr 2026,0.0640,0.0670,0.0600,0.0620,0.0617,1215100,
10 Apr 2026,0.0640,0.0730,0.0610,0.0660,0.0657,26596500,
3 Apr 2026,0.0650,0.0700,0.0630,0.0640,0.0637,58300,
27 Mar 2026,0.0700,0.0790,0.0620,0.0650,0.0647,168000,
20 Mar 2026,0.0790,0.0790,0.0650,0.0730,0.0727,41800,
13 Mar 2026,0.0670,0.0810,0.0610,0.0710,0.0707,1835700,
6 Mar 2026,0.0810,0.0810,0.0660,0.0670,0.0667,533100,
27 Feb 2026,0.0710,0.0830,0.0670,0.0810,0.0806,194900,
20 Feb 2026,0.0710,0.0790,0.0680,0.0710,0.0707,146900,
13 Feb 2026,0.0710,0.0800,0.0690,0.0750,0.0746,64900,
6 Feb 2026,0.0710,0.0830,0.0700,0.0700,0.0697,23600,
30 Jan 2026,0.0710,0.0790,0.0710,0.0710,0.0707,2300,
23 Jan 2026,0.0710,0.0880,0.0710,0.0730,0.0727,284800,
16 Jan 2026,0.0740,0.0830,0.0700,0.0770,0.0766,392400,
9 Jan 2026,0.0850,0.0850,0.0680,0.0710,0.0707,330000,
2 Jan 2026,0.0850,0.0850,0.0850,0.0850,0.0846,0,
26 Dec 2025,0.0790,0.0850,0.0750,0.0850,0.0846,216700,
19 Dec 2025,0.0840,0.0860,0.0710,0.0710,0.0707,3400,
12 Dec 2025,0.0830,0.0860,0.0820,0.0840,0.0836,3100,
5 Dec 2025,0.0710,0.0850,0.0710,0.0830,0.0826,223800,
28 Nov 2025,0.0700,0.0830,0.0700,0.0820,0.0816,242900,
21 Nov 2025,0.0710,0.0850,0.0700,0.0850,0.0846,260600,
14 Nov 2025,0.0790,0.0790,0.0680,0.0750,0.0746,257100,
7 Nov 2025,0.0890,0.0940,0.0710,0.0790,0.0786,598900,
31 Oct 2025,0.0840,0.0950,0.0800,0.0800,0.0796,282600,
24 Oct 2025,0.0950,0.0950,0.0950,0.0950,0.0946,0,
17 Oct 2025,0.0950,0.0950,0.0780,0.0950,0.0946,98100,
10 Oct 2025,0.0730,0.0950,0.0730,0.0950,0.0946,632300,
3 Oct 2025,0.0750,0.0950,0.0690,0.0950,0.0946,296400,
26 Sep 2025,0.0710,0.0750,0.0710,0.0750,0.0746,72700,
19 Sep 2025,0.0730,0.0730,0.0630,0.0720,0.0717,521000,
12 Sep 2025,0.0730,0.0730,0.0700,0.0720,0.0717,110900,
5 Sep 2025,0.0710,0.0730,0.0710,0.0710,0.0707,153800,
29 Aug 2025,0.0730,0.0730,0.0710,0.0730,0.0727,11200,
22 Aug 2025,0.0710,0.0730,0.0660,0.0730,0.0727,36100,
15 Aug 2025,0.0690,0.0720,0.0660,0.0710,0.0707,85300,
8 Aug 2025,0.0660,0.0700,0.0660,0.0700,0.0697,90000,
1 Aug 2025,0.0680,0.0680,0.0660,0.0660,0.0657,100700,
25 Jul 2025,0.0690,0.0700,0.0650,0.0680,0.0677,516000,
18 Jul 2025,0.0680,0.0690,0.0670,0.0690,0.0687,112200,
11 Jul 2025,0.0630,0.0670,0.0630,0.0650,0.0647,219800,
4 Jul 2025,0.0620,0.0680,0.0620,0.0660,0.0657,64200,
27 Jun 2025,0.0670,0.0670,0.0670,0.0670,0.0667,0,
20 Jun 2025,0.0660,0.0680,0.0630,0.0670,0.0667,163100,
