Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.5550,0.5600,0.5500,0.5550,0.5550,2710600,
31 Jul 2026,0.5500,0.5600,0.5450,0.5550,0.5550,14393000,
24 Jul 2026,0.5450,0.5500,0.5400,0.5500,0.5500,6142800,
17 Jul 2026,0.5450,0.5500,0.5400,0.5450,0.5450,3428200,
10 Jul 2026,0.5450,0.5500,0.5400,0.5450,0.5450,4973900,
3 Jul 2026,0.5450,0.5500,0.5400,0.5450,0.5450,8621100,
26 Jun 2026,0.5400,0.5450,0.5350,0.5450,0.5450,5554300,
19 Jun 2026,0.5400,0.5500,0.5350,0.5400,0.5400,14877900,
12 Jun 2026,0.5350,0.5450,0.5300,0.5400,0.5400,5587000,
5 Jun 2026,0.5400,0.5450,0.5350,0.5350,0.5350,5369500,
29 May 2026,0.5450,0.5500,0.5350,0.5400,0.5400,6736500,
22 May 2026,0.5450,0.5500,0.5400,0.5450,0.5450,8510400,
15 May 2026,0.5550,0.5550,0.5450,0.5450,0.5450,4580400,
8 May 2026,0.5550,0.5600,0.5500,0.5550,0.5550,5497800,
1 May 2026,0.5550,0.5600,0.5500,0.5500,0.5500,5914000,
24 Apr 2026,0.5600,0.5600,0.5500,0.5550,0.5550,5261300,
17 Apr 2026,0.5600,0.5600,0.5500,0.5600,0.5600,8484900,
10 Apr 2026,0.5450,0.5600,0.5400,0.5600,0.5600,6221300,
3 Apr 2026,0.5350,0.5450,0.5300,0.5450,0.5450,7298000,
27 Mar 2026,0.5400,0.5450,0.5300,0.5350,0.5350,16251900,
20 Mar 2026,0.5350,0.5550,0.5350,0.5450,0.5450,8378100,
13 Mar 2026,0.5500,0.5500,0.5300,0.5350,0.5350,7591300,
6 Mar 2026,0.5650,0.5650,0.5300,0.5550,0.5550,20149400,
27 Feb 2026,0.5700,0.5750,0.5600,0.5650,0.5650,8797700,
20 Feb 2026,0.5750,0.5750,0.5700,0.5750,0.5750,1531300,
13 Feb 2026,0.5650,0.5800,0.5600,0.5750,0.5750,10843300,
6 Feb 2026,0.5900,0.5950,0.5600,0.5650,0.5650,14149500,
5 Feb 2026,,,,,,,0.0180 Dividend
30 Jan 2026,0.5950,0.6000,0.5900,0.5900,0.5722,8582100,
23 Jan 2026,0.5950,0.6000,0.5900,0.5950,0.5770,4464000,
16 Jan 2026,0.5950,0.6000,0.5900,0.6000,0.5818,5554500,
9 Jan 2026,0.5950,0.6000,0.5900,0.5950,0.5770,4245500,
2 Jan 2026,0.5900,0.5950,0.5800,0.5900,0.5722,3487600,
26 Dec 2025,0.5750,0.5850,0.5750,0.5850,0.5673,3669600,
19 Dec 2025,0.5750,0.5800,0.5700,0.5750,0.5576,10405300,
12 Dec 2025,0.5750,0.5800,0.5700,0.5750,0.5576,6124600,
5 Dec 2025,0.5750,0.5800,0.5750,0.5750,0.5576,3720800,
28 Nov 2025,0.5700,0.5800,0.5700,0.5750,0.5576,7079900,
21 Nov 2025,0.5750,0.5850,0.5700,0.5750,0.5576,7334200,
14 Nov 2025,0.5800,0.5850,0.5750,0.5800,0.5625,7986900,
7 Nov 2025,0.5800,0.5850,0.5750,0.5800,0.5625,5058400,
31 Oct 2025,0.5850,0.5900,0.5800,0.5800,0.5625,7413600,
24 Oct 2025,0.5750,0.5850,0.5700,0.5800,0.5625,4855600,
17 Oct 2025,0.5650,0.5850,0.5600,0.5750,0.5576,10555300,
10 Oct 2025,0.5750,0.5800,0.5650,0.5650,0.5479,5957000,
3 Oct 2025,0.5600,0.5750,0.5600,0.5750,0.5576,7285200,
26 Sep 2025,0.5600,0.5700,0.5550,0.5650,0.5479,8084439,
19 Sep 2025,0.5750,0.5800,0.5550,0.5550,0.5382,11265700,
12 Sep 2025,0.5650,0.5750,0.5650,0.5750,0.5576,6473200,
5 Sep 2025,0.5450,0.5650,0.5450,0.5650,0.5479,9496600,
29 Aug 2025,0.5450,0.5500,0.5400,0.5450,0.5285,8791300,
22 Aug 2025,0.5400,0.5400,0.5350,0.5400,0.5237,2706600,
15 Aug 2025,0.5350,0.5450,0.5300,0.5400,0.5237,6983100,
8 Aug 2025,0.5450,0.5500,0.5300,0.5350,0.5188,12650800,
5 Aug 2025,,,,,,,0.0185 Dividend
1 Aug 2025,0.5450,0.5500,0.5400,0.5450,0.5107,10507500,
25 Jul 2025,0.5250,0.5450,0.5250,0.5400,0.5060,7079800,
18 Jul 2025,0.5200,0.5350,0.5150,0.5250,0.4920,8245900,
11 Jul 2025,0.5150,0.5250,0.5100,0.5200,0.4873,6922500,
4 Jul 2025,0.5100,0.5200,0.5100,0.5150,0.4826,7726699,
27 Jun 2025,0.5000,0.5200,0.4950,0.5100,0.4779,6617600,
20 Jun 2025,0.5050,0.5100,0.4950,0.5050,0.4733,10788500,
13 Jun 2025,0.5050,0.5100,0.5050,0.5050,0.4733,5905300,
6 Jun 2025,0.5050,0.5100,0.5000,0.5050,0.4733,5453300,
30 May 2025,0.5000,0.5100,0.4950,0.5050,0.4733,8896700,
23 May 2025,0.5100,0.5100,0.4950,0.5050,0.4733,5340900,
16 May 2025,0.5000,0.5100,0.4950,0.5050,0.4733,7123800,
9 May 2025,0.4950,0.5000,0.4900,0.4950,0.4639,6960600,
2 May 2025,0.4850,0.5050,0.4850,0.5000,0.4686,6092900,
25 Apr 2025,0.4850,0.4950,0.4850,0.4850,0.4545,5793000,
18 Apr 2025,0.4800,0.4950,0.4750,0.4900,0.4592,5884000,
11 Apr 2025,0.4900,0.4900,0.4550,0.4750,0.4451,22271300,
4 Apr 2025,0.5000,0.5100,0.4950,0.5000,0.4686,7491700,
28 Mar 2025,0.5050,0.5100,0.4950,0.5000,0.4686,7123200,
21 Mar 2025,0.5000,0.5100,0.4950,0.5050,0.4733,8153100,
14 Mar 2025,0.4850,0.5000,0.4800,0.5000,0.4686,6876200,
7 Mar 2025,0.4850,0.4900,0.4800,0.4850,0.4545,5362700,
28 Feb 2025,0.4850,0.4950,0.4800,0.4850,0.4545,7204100,
21 Feb 2025,0.4900,0.4950,0.4800,0.4850,0.4545,7448700,
14 Feb 2025,0.4850,0.4950,0.4800,0.4900,0.4592,8148700,
7 Feb 2025,0.4950,0.4950,0.4850,0.4850,0.4545,5278700,
3 Feb 2025,,,,,,,0.0180 Dividend
31 Jan 2025,0.5100,0.5150,0.5050,0.5100,0.4611,4487300,
24 Jan 2025,0.5000,0.5100,0.5000,0.5050,0.4565,5733700,
17 Jan 2025,0.4950,0.5050,0.4900,0.5000,0.4520,4426800,
10 Jan 2025,0.5100,0.5100,0.4950,0.4950,0.4475,3533500,
3 Jan 2025,0.5000,0.5100,0.4950,0.5100,0.4611,2668500,
27 Dec 2024,0.4900,0.5000,0.4850,0.5000,0.4520,4160900,
20 Dec 2024,0.4950,0.4950,0.4850,0.4850,0.4385,9886600,
13 Dec 2024,0.5000,0.5000,0.4900,0.4950,0.4475,8331900,
6 Dec 2024,0.5000,0.5050,0.4950,0.4950,0.4475,5146300,
29 Nov 2024,0.4950,0.5050,0.4900,0.5000,0.4520,7541729,
22 Nov 2024,0.4950,0.5050,0.4950,0.4950,0.4475,4330500,
