Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,2.3500,2.3700,2.3400,2.3700,2.3700,32000,
31 Jul 2026,2.3500,2.3500,2.2900,2.3500,2.3500,162200,
24 Jul 2026,2.3400,2.3700,2.3300,2.3300,2.3300,79300,
17 Jul 2026,2.3300,2.3700,2.2800,2.3600,2.3600,409900,
10 Jul 2026,2.3200,2.3500,2.3200,2.3300,2.3300,96700,
3 Jul 2026,2.2800,2.3200,2.2600,2.3200,2.3200,89900,
26 Jun 2026,2.2700,2.3300,2.2700,2.2700,2.2700,400900,
19 Jun 2026,2.3000,2.3300,2.2600,2.2600,2.2600,373000,
12 Jun 2026,2.3300,2.3300,2.2900,2.3000,2.3000,124600,
5 Jun 2026,2.3300,2.3400,2.2900,2.3300,2.3300,179300,
29 May 2026,2.2800,2.3600,2.2800,2.3300,2.3300,159100,
22 May 2026,2.3000,2.3300,2.2500,2.2700,2.2700,284600,
15 May 2026,2.3400,2.3500,2.3100,2.3100,2.3100,212000,
8 May 2026,2.3100,2.3700,2.3100,2.3300,2.3300,211200,
1 May 2026,2.3100,2.3500,2.3000,2.3100,2.3100,134600,
24 Apr 2026,2.2600,2.3200,2.2600,2.3100,2.3100,243900,
17 Apr 2026,2.2500,2.2700,2.2400,2.2500,2.2500,379500,
10 Apr 2026,2.2500,2.3400,2.2300,2.2500,2.2500,632800,
3 Apr 2026,2.2400,2.2700,2.1900,2.2400,2.2400,311000,
27 Mar 2026,2.3000,2.3000,2.2200,2.2400,2.2400,828100,
20 Mar 2026,2.3100,2.3300,2.2900,2.2900,2.2900,405700,
13 Mar 2026,2.3500,2.3700,2.3000,2.3000,2.3000,366400,
6 Mar 2026,2.5000,2.5000,2.3200,2.3600,2.3600,438700,
4 Mar 2026,,,,,,,0.1020 Dividend
27 Feb 2026,2.4700,2.5200,2.4500,2.5200,2.4163,180500,
20 Feb 2026,2.4100,2.4800,2.4100,2.4700,2.3684,111800,
13 Feb 2026,2.4100,2.4300,2.4000,2.4000,2.3013,106100,
6 Feb 2026,2.4200,2.4800,2.3900,2.4000,2.3013,375700,
30 Jan 2026,2.5600,2.5600,2.4100,2.4400,2.3396,405500,
23 Jan 2026,2.5600,2.6000,2.5400,2.5500,2.4451,93800,
16 Jan 2026,2.5800,2.5900,2.5500,2.5500,2.4451,71600,
9 Jan 2026,2.4400,2.5900,2.4000,2.5900,2.4835,254000,
2 Jan 2026,2.4800,2.4800,2.4400,2.4400,2.3396,159300,
26 Dec 2025,2.4500,2.4900,2.4400,2.4800,2.3780,115300,
19 Dec 2025,2.3900,2.4300,2.3900,2.4300,2.3300,198000,
12 Dec 2025,2.3700,2.4000,2.3400,2.4000,2.3013,228800,
5 Dec 2025,2.3100,2.3500,2.3100,2.3500,2.2533,91000,
28 Nov 2025,2.3300,2.3300,2.3000,2.3100,2.2150,106800,
21 Nov 2025,2.3100,2.3300,2.2900,2.3100,2.2150,119300,
14 Nov 2025,2.3700,2.3700,2.3000,2.3100,2.2150,137500,
7 Nov 2025,2.3000,2.3700,2.2800,2.3500,2.2533,148500,
31 Oct 2025,2.3400,2.3500,2.3000,2.3000,2.2054,196400,
