Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.6000,1.6200,1.5900,1.6100,1.6100,199100,
31 Jul 2026,1.5900,1.6000,1.5500,1.5900,1.5900,635300,
24 Jul 2026,1.6100,1.6100,1.5700,1.5700,1.5700,741100,
17 Jul 2026,1.5700,1.6200,1.5300,1.6100,1.6100,1795400,
10 Jul 2026,1.5800,1.5900,1.5700,1.5700,1.5700,614600,
3 Jul 2026,1.5400,1.5800,1.5300,1.5800,1.5800,929800,
26 Jun 2026,1.5400,1.5800,1.5300,1.5400,1.5400,1187600,
19 Jun 2026,1.5500,1.5800,1.5300,1.5600,1.5600,1581300,
12 Jun 2026,1.5600,1.5800,1.5400,1.5400,1.5400,897400,
5 Jun 2026,1.5700,1.5700,1.5400,1.5700,1.5700,654800,
29 May 2026,1.5300,1.6000,1.5300,1.5700,1.5700,1547400,
22 May 2026,1.5300,1.5700,1.5100,1.5200,1.5200,988100,
15 May 2026,1.5600,1.5800,1.5300,1.5300,1.5300,619100,
8 May 2026,1.5500,1.5900,1.5400,1.5700,1.5700,786300,
1 May 2026,1.5500,1.6000,1.5300,1.5500,1.5500,1044500,
24 Apr 2026,1.5000,1.5700,1.5000,1.5400,1.5400,947700,
17 Apr 2026,1.4900,1.5100,1.4900,1.4900,1.4900,2045800,
10 Apr 2026,1.5100,1.5200,1.4800,1.5000,1.5000,2545100,
3 Apr 2026,1.4900,1.5300,1.4500,1.4900,1.4900,1209300,
27 Mar 2026,1.5200,1.5500,1.4800,1.5100,1.5100,2570800,
20 Mar 2026,1.5600,1.5800,1.5300,1.5300,1.5300,1565700,
13 Mar 2026,1.5800,1.5900,1.5600,1.5600,1.5600,962100,
6 Mar 2026,1.7000,1.7000,1.5500,1.6000,1.6000,2500600,
4 Mar 2026,,,,,,,0.0683 Dividend
27 Feb 2026,1.6500,1.7300,1.6400,1.7000,1.5966,1294500,
20 Feb 2026,1.6100,1.6700,1.6000,1.6700,1.5685,622600,
13 Feb 2026,1.5900,1.6100,1.5900,1.6000,1.5027,853000,
6 Feb 2026,1.6000,1.6500,1.5800,1.5900,1.4933,1570900,
30 Jan 2026,1.6900,1.7000,1.5900,1.5900,1.4933,2353900,
23 Jan 2026,1.7100,1.7300,1.6800,1.6800,1.5779,1252100,
16 Jan 2026,1.7300,1.7400,1.6900,1.7100,1.6060,490700,
9 Jan 2026,1.6100,1.7400,1.6000,1.7100,1.6060,1374300,
2 Jan 2026,1.6300,1.6400,1.6000,1.6000,1.5027,751300,
26 Dec 2025,1.6300,1.6400,1.6100,1.6300,1.5309,303500,
19 Dec 2025,1.5900,1.6300,1.5900,1.6300,1.5309,1350800,
12 Dec 2025,1.5600,1.6000,1.5300,1.6000,1.5027,1561400,
5 Dec 2025,1.5300,1.5600,1.5200,1.5600,1.4652,931700,
