Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.1960,0.1980,0.1930,0.1940,0.1940,377100,
31 Jul 2026,0.1970,0.1990,0.1900,0.1950,0.1950,482100,
24 Jul 2026,0.1920,0.2000,0.1810,0.1980,0.1980,446000,
17 Jul 2026,0.1930,0.1930,0.1830,0.1920,0.1920,12200,
10 Jul 2026,0.1830,0.1950,0.1830,0.1930,0.1930,125100,
3 Jul 2026,0.1970,0.1980,0.1810,0.1830,0.1830,6600,
26 Jun 2026,0.1970,0.1990,0.1810,0.1970,0.1970,15400,
19 Jun 2026,0.1990,0.2000,0.1940,0.1990,0.1990,75700,
12 Jun 2026,0.2000,0.2000,0.1900,0.1990,0.1990,752400,
5 Jun 2026,0.2000,0.2050,0.1960,0.2000,0.2000,978900,
29 May 2026,0.2000,0.2050,0.1970,0.2000,0.2000,117000,
22 May 2026,0.2050,0.2050,0.1800,0.2000,0.2000,1100700,
15 May 2026,0.2050,0.2050,0.1990,0.2050,0.2050,1686800,
8 May 2026,0.2050,0.2050,0.1990,0.2050,0.2050,631000,
1 May 2026,0.2050,0.2050,0.2000,0.2050,0.2050,2267000,
24 Apr 2026,0.1970,0.2100,0.1950,0.2050,0.2050,6804500,
17 Apr 2026,0.1920,0.2050,0.1900,0.1950,0.1950,3277600,
10 Apr 2026,0.1950,0.1970,0.1900,0.1940,0.1940,637800,
3 Apr 2026,0.1920,0.1970,0.1900,0.1960,0.1960,377000,
27 Mar 2026,0.2000,0.2000,0.1910,0.1940,0.1940,1141800,
20 Mar 2026,0.1990,0.2050,0.1950,0.2050,0.2050,526600,
13 Mar 2026,0.2000,0.2050,0.1910,0.1990,0.1990,1944300,
6 Mar 2026,0.2200,0.2250,0.1930,0.1990,0.1990,5000000,
27 Feb 2026,0.2150,0.2250,0.2100,0.2200,0.2200,8471600,
20 Feb 2026,0.2100,0.2250,0.2000,0.2150,0.2150,8920200,
13 Feb 2026,0.2050,0.2300,0.2000,0.2100,0.2100,20634300,
6 Feb 2026,0.1800,0.2000,0.1690,0.1970,0.1970,14615400,
30 Jan 2026,0.1600,0.2050,0.1600,0.1840,0.1840,40885300,
23 Jan 2026,0.1330,0.1540,0.1330,0.1510,0.1510,2201800,
16 Jan 2026,0.1300,0.1370,0.1300,0.1360,0.1360,451200,
9 Jan 2026,0.1360,0.1360,0.1300,0.1300,0.1300,55100,
2 Jan 2026,0.1270,0.1360,0.1260,0.1360,0.1360,42000,
26 Dec 2025,0.1330,0.1350,0.1250,0.1250,0.1250,148300,
19 Dec 2025,0.1290,0.1290,0.1290,0.1290,0.1290,0,
12 Dec 2025,0.1290,0.1290,0.1290,0.1290,0.1290,0,
5 Dec 2025,0.1280,0.1310,0.1250,0.1290,0.1290,230300,
28 Nov 2025,0.1270,0.1280,0.1200,0.1280,0.1280,417200,
