Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.3000,0.3050,0.3000,0.3050,0.3050,235500,
31 Jul 2026,0.3000,0.3100,0.3000,0.3050,0.3050,1067100,
24 Jul 2026,0.3000,0.3050,0.3000,0.3000,0.3000,1944800,
17 Jul 2026,0.3150,0.3150,0.3000,0.3050,0.3050,1735600,
10 Jul 2026,0.3100,0.3150,0.3050,0.3150,0.3150,1522500,
3 Jul 2026,0.3150,0.3150,0.3050,0.3100,0.3100,4090900,
26 Jun 2026,0.3150,0.3200,0.3050,0.3200,0.3200,69038800,
19 Jun 2026,0.3150,0.3250,0.3100,0.3200,0.3200,926500,
12 Jun 2026,0.3100,0.3150,0.3050,0.3150,0.3150,2438000,
5 Jun 2026,0.3200,0.3250,0.3150,0.3150,0.3150,1249900,
29 May 2026,0.3300,0.3300,0.3200,0.3200,0.3200,1291700,
22 May 2026,0.3300,0.3300,0.3200,0.3300,0.3300,1444800,
15 May 2026,0.3350,0.3400,0.3300,0.3350,0.3350,1275000,
8 May 2026,0.3300,0.3500,0.3300,0.3400,0.3400,6840700,
8 May 2026,,,,,,,0.0070 Dividend
1 May 2026,0.3350,0.3400,0.3250,0.3300,0.3233,1452300,
24 Apr 2026,0.3250,0.3450,0.3200,0.3300,0.3233,5585200,
17 Apr 2026,0.3150,0.3250,0.3100,0.3250,0.3184,1457000,
10 Apr 2026,0.3050,0.3200,0.3000,0.3150,0.3086,1774900,
3 Apr 2026,0.2950,0.3150,0.2900,0.3050,0.2988,1732800,
27 Mar 2026,0.3200,0.3200,0.2950,0.3000,0.2939,4379700,
20 Mar 2026,0.3100,0.3250,0.3100,0.3200,0.3135,2874300,
13 Mar 2026,0.3150,0.3200,0.3050,0.3100,0.3037,3875000,
6 Mar 2026,0.3550,0.3550,0.3150,0.3250,0.3184,11978900,
27 Feb 2026,0.3700,0.3750,0.3550,0.3650,0.3576,11744100,
20 Feb 2026,0.3400,0.3500,0.3400,0.3450,0.3380,1865000,
13 Feb 2026,0.3400,0.3550,0.3400,0.3400,0.3331,4223000,
6 Feb 2026,0.3450,0.3550,0.3350,0.3450,0.3380,4762200,
30 Jan 2026,0.3400,0.3600,0.3400,0.3450,0.3380,8782500,
23 Jan 2026,0.3400,0.3450,0.3300,0.3400,0.3331,4568500,
16 Jan 2026,0.3200,0.3550,0.3200,0.3400,0.3331,12317500,
9 Jan 2026,0.3300,0.3350,0.3200,0.3300,0.3233,2630800,
2 Jan 2026,0.3300,0.3350,0.3250,0.3300,0.3233,2104500,
26 Dec 2025,0.3200,0.3350,0.3200,0.3300,0.3233,2254600,
19 Dec 2025,0.3200,0.3250,0.3100,0.3250,0.3184,1785200,
12 Dec 2025,0.3250,0.3300,0.3150,0.3250,0.3184,1300900,
5 Dec 2025,0.3150,0.3300,0.3150,0.3250,0.3184,2912700,
28 Nov 2025,0.3150,0.3200,0.3100,0.3200,0.3135,1881200,
21 Nov 2025,0.3150,0.3250,0.3050,0.3150,0.3086,1699300,
14 Nov 2025,0.3300,0.3300,0.3100,0.3150,0.3086,3533200,
7 Nov 2025,0.3400,0.3500,0.3250,0.3250,0.3184,5877600,
31 Oct 2025,0.3450,0.3600,0.3400,0.3450,0.3380,11242100,
24 Oct 2025,0.3050,0.3500,0.3050,0.3450,0.3380,16355600,
17 Oct 2025,0.3100,0.3250,0.3000,0.3050,0.2988,8086300,
10 Oct 2025,0.3050,0.3250,0.3000,0.3200,0.3135,7893500,
3 Oct 2025,0.2950,0.3050,0.2900,0.3050,0.2988,4872700,
