Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.4800,0.4800,0.4800,0.4800,0.4800,0,
31 Jul 2026,0.4750,0.5250,0.4750,0.4800,0.4800,22000,
24 Jul 2026,0.4750,0.4750,0.4750,0.4750,0.4750,10000,
17 Jul 2026,0.4850,0.4850,0.4850,0.4850,0.4850,4000,
10 Jul 2026,0.4900,0.4900,0.4900,0.4900,0.4900,4000,
3 Jul 2026,0.4900,0.4900,0.4900,0.4900,0.4900,36600,
26 Jun 2026,0.4900,0.4900,0.4900,0.4900,0.4900,22600,
19 Jun 2026,0.4950,0.5000,0.4950,0.4950,0.4950,34700,
12 Jun 2026,0.5000,0.5000,0.4950,0.4950,0.4950,5000,
5 Jun 2026,0.5000,0.5000,0.5000,0.5000,0.5000,8000,
29 May 2026,0.5000,0.5000,0.4950,0.5000,0.5000,50000,
22 May 2026,0.5050,0.5050,0.5000,0.5000,0.5000,46400,
15 May 2026,0.5100,0.5100,0.5050,0.5050,0.5050,94100,
8 May 2026,0.5050,0.5150,0.5050,0.5150,0.5150,28400,
1 May 2026,0.4950,0.5100,0.4950,0.5050,0.5050,35100,
24 Apr 2026,0.5200,0.5200,0.4850,0.4950,0.4950,107400,
17 Apr 2026,0.4850,0.6000,0.4850,0.5250,0.5250,11000,
10 Apr 2026,0.5000,0.5000,0.4800,0.4800,0.4800,106000,
3 Apr 2026,0.5050,0.5050,0.5050,0.5050,0.5050,28600,
27 Mar 2026,0.5050,0.5100,0.5050,0.5050,0.5050,6200,
20 Mar 2026,0.5300,0.5300,0.5050,0.5050,0.5050,64200,
13 Mar 2026,0.5400,0.5500,0.4950,0.5250,0.5250,135700,
6 Mar 2026,0.5650,0.5650,0.5450,0.5450,0.5450,44800,
27 Feb 2026,0.5600,0.5700,0.5600,0.5700,0.5700,16300,
20 Feb 2026,0.5850,0.5900,0.5600,0.5600,0.5600,35300,
13 Feb 2026,0.6050,0.6050,0.5600,0.5600,0.5600,57800,
6 Feb 2026,0.5750,0.5950,0.5550,0.5850,0.5850,112000,
30 Jan 2026,0.5850,0.5850,0.5700,0.5750,0.5750,36700,
23 Jan 2026,0.5900,0.5900,0.5850,0.5850,0.5850,300,
16 Jan 2026,0.5950,0.6150,0.5800,0.5900,0.5900,32200,
9 Jan 2026,0.6000,0.6000,0.5900,0.5950,0.5950,15700,
2 Jan 2026,0.5850,0.6050,0.5850,0.6000,0.6000,77800,
26 Dec 2025,0.6150,0.6150,0.5500,0.5800,0.5800,59200,
19 Dec 2025,0.5800,0.5900,0.5350,0.5900,0.5900,69700,
12 Dec 2025,0.5900,0.5900,0.5800,0.5800,0.5800,17600,
5 Dec 2025,0.6000,0.6000,0.6000,0.6000,0.6000,11800,
28 Nov 2025,0.6200,0.6200,0.6200,0.6200,0.6200,500,
21 Nov 2025,0.6200,0.6200,0.6200,0.6200,0.6200,0,
19 Nov 2025,,,,,,,0.0085 Dividend
14 Nov 2025,0.6050,0.6200,0.6000,0.6200,0.6115,22900,
7 Nov 2025,0.6300,0.6300,0.5900,0.6000,0.5918,39400,
31 Oct 2025,0.6150,0.6300,0.6150,0.6300,0.6214,1900,
24 Oct 2025,0.6100,0.6450,0.6000,0.6100,0.6016,24600,
17 Oct 2025,0.6200,0.6200,0.6000,0.6000,0.5918,34400,
10 Oct 2025,0.6450,0.6550,0.6100,0.6200,0.6115,106900,
3 Oct 2025,0.6150,0.6200,0.6000,0.6200,0.6115,90600,
26 Sep 2025,0.6000,0.6200,0.5900,0.6150,0.6066,74000,
19 Sep 2025,0.5850,0.6250,0.5850,0.6000,0.5918,30500,
12 Sep 2025,0.5900,0.6150,0.5800,0.6150,0.6066,17000,
5 Sep 2025,0.6000,0.6200,0.5800,0.6200,0.6115,21400,
29 Aug 2025,0.6100,0.6200,0.6000,0.6000,0.5918,69700,
22 Aug 2025,0.6500,0.6500,0.6000,0.6150,0.6066,8400,
15 Aug 2025,0.6500,0.6500,0.6500,0.6500,0.6411,0,
8 Aug 2025,0.6500,0.6500,0.6500,0.6500,0.6411,100,
1 Aug 2025,0.6400,0.6550,0.6200,0.6200,0.6115,48500,
25 Jul 2025,0.6100,0.6650,0.6000,0.6400,0.6312,97500,
18 Jul 2025,0.6100,0.6800,0.6100,0.6700,0.6608,97000,
11 Jul 2025,0.6050,0.6150,0.5900,0.6150,0.6066,46900,
4 Jul 2025,0.5850,0.6100,0.5600,0.6050,0.5967,77900,
27 Jun 2025,0.6450,0.6450,0.6050,0.6200,0.6115,32900,
