Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.5200,0.5400,0.5200,0.5400,0.5400,831800,
31 Jul 2026,0.5200,0.5250,0.5150,0.5250,0.5250,2002700,
24 Jul 2026,0.5100,0.5200,0.5100,0.5200,0.5200,1924700,
17 Jul 2026,0.5150,0.5200,0.5100,0.5150,0.5150,3535500,
10 Jul 2026,0.5200,0.5200,0.5150,0.5200,0.5200,1487000,
3 Jul 2026,0.5150,0.5200,0.5100,0.5200,0.5200,1106800,
26 Jun 2026,0.5150,0.5200,0.5100,0.5150,0.5150,1109300,
19 Jun 2026,0.5200,0.5250,0.5150,0.5150,0.5150,3674900,
12 Jun 2026,0.5150,0.5200,0.5100,0.5150,0.5150,556800,
5 Jun 2026,0.5150,0.5200,0.5100,0.5150,0.5150,841500,
29 May 2026,0.5200,0.5200,0.5150,0.5200,0.5200,179500,
22 May 2026,0.5150,0.5200,0.5100,0.5150,0.5150,703700,
15 May 2026,0.5250,0.5250,0.5050,0.5150,0.5150,4804500,
8 May 2026,0.5300,0.5350,0.5200,0.5250,0.5250,770100,
1 May 2026,0.5250,0.5300,0.5200,0.5300,0.5300,397700,
24 Apr 2026,0.5200,0.5300,0.5150,0.5250,0.5250,1334300,
17 Apr 2026,0.5150,0.5250,0.5050,0.5250,0.5250,1324000,
10 Apr 2026,0.5100,0.5250,0.5050,0.5200,0.5200,985000,
3 Apr 2026,0.5000,0.5200,0.4950,0.5100,0.5100,1518400,
27 Mar 2026,0.5150,0.5150,0.5000,0.5050,0.5050,2738500,
20 Mar 2026,0.5150,0.5300,0.5100,0.5150,0.5150,992600,
13 Mar 2026,0.5150,0.5300,0.5050,0.5200,0.5200,893300,
6 Mar 2026,0.5300,0.5400,0.5150,0.5200,0.5200,920900,
27 Feb 2026,0.5600,0.5700,0.5400,0.5400,0.5400,2804000,
27 Feb 2026,,,,,,,0.0230 Dividend
20 Feb 2026,0.5550,0.5600,0.5500,0.5600,0.5370,1083300,
13 Feb 2026,0.5400,0.5500,0.5400,0.5400,0.5178,498100,
6 Feb 2026,0.5450,0.5500,0.5300,0.5450,0.5226,305500,
30 Jan 2026,0.5350,0.5550,0.5300,0.5450,0.5226,2156000,
