Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.0700,1.0800,1.0500,1.0700,1.0700,2048400,
31 Jul 2026,1.1000,1.1100,1.0300,1.0700,1.0700,4908300,
24 Jul 2026,1.0900,1.1300,1.0700,1.1000,1.1000,4038900,
17 Jul 2026,1.0800,1.1100,1.0600,1.0900,1.0900,3735500,
10 Jul 2026,1.0800,1.1100,1.0600,1.0900,1.0900,2482900,
3 Jul 2026,1.0700,1.1200,1.0600,1.0800,1.0800,2652400,
26 Jun 2026,1.1000,1.1300,1.0600,1.0700,1.0700,3538800,
19 Jun 2026,1.1300,1.1700,1.1000,1.1100,1.1100,3713000,
12 Jun 2026,1.0700,1.1300,1.0600,1.1200,1.1200,5384100,
5 Jun 2026,1.1800,1.2100,1.0800,1.1000,1.1000,8945800,
29 May 2026,1.0100,1.2000,0.9950,1.1700,1.1700,18358400,
22 May 2026,1.0100,1.0300,0.9650,1.0200,1.0200,6557600,
15 May 2026,1.1200,1.1900,0.9350,1.0100,1.0100,27054400,
8 May 2026,1.0200,1.1900,1.0100,1.1100,1.1100,15917600,
1 May 2026,1.1200,1.1200,1.0000,1.0200,1.0200,6373100,
24 Apr 2026,1.0200,1.1300,1.0200,1.1200,1.1200,8099300,
17 Apr 2026,0.9700,1.0600,0.9450,1.0200,1.0200,9521200,
10 Apr 2026,0.9050,0.9800,0.9000,0.9700,0.9700,10927000,
3 Apr 2026,0.8650,0.9200,0.8650,0.9100,0.9100,6311900,
27 Mar 2026,0.8350,0.9400,0.8200,0.8750,0.8750,13825900,
20 Mar 2026,0.8300,0.8550,0.8250,0.8400,0.8400,2056300,
13 Mar 2026,0.8400,0.8500,0.8100,0.8300,0.8300,2687600,
6 Mar 2026,0.8900,0.8950,0.8300,0.8500,0.8500,6753300,
27 Feb 2026,0.8750,0.9150,0.8750,0.9100,0.9100,6931600,
20 Feb 2026,0.8800,0.8900,0.8700,0.8750,0.8750,708100,
13 Feb 2026,0.8750,0.8900,0.8700,0.8800,0.8800,1623600,
6 Feb 2026,0.8750,0.8850,0.8600,0.8600,0.8600,3483900,
30 Jan 2026,0.9050,0.9100,0.8750,0.8750,0.8750,3013800,
23 Jan 2026,0.9050,0.9050,0.8700,0.9050,0.9050,3862000,
16 Jan 2026,0.8750,0.9200,0.8650,0.9100,0.9100,8140000,
9 Jan 2026,0.8600,0.8750,0.8500,0.8750,0.8750,2504100,
