Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.6800,0.6850,0.6650,0.6850,0.6850,3246200,
31 Jul 2026,0.6750,0.6950,0.6600,0.6800,0.6800,6307800,
24 Jul 2026,0.6400,0.6800,0.6350,0.6700,0.6700,6860400,
17 Jul 2026,0.6500,0.6600,0.6300,0.6400,0.6400,8508400,
10 Jul 2026,0.6600,0.6650,0.6300,0.6550,0.6550,8142100,
3 Jul 2026,0.6500,0.6650,0.6400,0.6650,0.6650,5543400,
26 Jun 2026,0.6650,0.6650,0.6350,0.6500,0.6500,4428100,
19 Jun 2026,0.6500,0.6850,0.6500,0.6650,0.6650,7131900,
12 Jun 2026,0.6450,0.6600,0.6250,0.6500,0.6500,9507000,
5 Jun 2026,0.6700,0.6700,0.6450,0.6450,0.6450,5399400,
29 May 2026,0.6800,0.6950,0.6600,0.6700,0.6700,5502100,
22 May 2026,0.7000,0.7000,0.6700,0.6800,0.6800,9582800,
15 May 2026,0.7250,0.7450,0.6950,0.7100,0.7100,13388300,
8 May 2026,0.7250,0.7500,0.7200,0.7250,0.7250,12897200,
7 May 2026,,,,,,,0.0100 Dividend
1 May 2026,0.7350,0.7400,0.7200,0.7250,0.7152,8647600,
24 Apr 2026,0.7550,0.7700,0.7300,0.7350,0.7251,14119000,
17 Apr 2026,0.7250,0.7900,0.7150,0.7550,0.7448,30414600,
10 Apr 2026,0.6500,0.7550,0.6350,0.7300,0.7201,34677300,
3 Apr 2026,0.6500,0.6750,0.6400,0.6550,0.6461,11669400,
27 Mar 2026,0.6700,0.6800,0.6400,0.6600,0.6511,19844800,
20 Mar 2026,0.6850,0.7100,0.6700,0.6750,0.6659,30958200,
13 Mar 2026,0.6950,0.7150,0.6650,0.6750,0.6659,25054000,
6 Mar 2026,0.7850,0.7950,0.7000,0.7150,0.7053,25363400,
27 Feb 2026,0.8900,0.9000,0.7750,0.7950,0.7843,19469900,
20 Feb 2026,0.8850,0.9100,0.8800,0.8900,0.8780,3529200,
13 Feb 2026,0.8700,0.9250,0.8650,0.8850,0.8730,13385800,
6 Feb 2026,0.8900,0.9100,0.8500,0.8600,0.8484,11378900,
30 Jan 2026,0.9000,0.9250,0.8800,0.8900,0.8780,10927700,
23 Jan 2026,0.9000,0.9400,0.8500,0.9000,0.8878,19575100,
16 Jan 2026,0.8050,0.9250,0.8000,0.9000,0.8878,52224300,
9 Jan 2026,0.7450,0.8100,0.7450,0.8050,0.7941,38129700,
2 Jan 2026,0.7500,0.7650,0.7400,0.7450,0.7349,7152800,
26 Dec 2025,0.7400,0.7550,0.7400,0.7500,0.7399,6813100,
19 Dec 2025,0.7100,0.7450,0.6950,0.7350,0.7251,16757200,
12 Dec 2025,0.7150,0.7350,0.7050,0.7100,0.7004,9902000,
5 Dec 2025,0.7050,0.7250,0.7050,0.7150,0.7053,15337200,
28 Nov 2025,0.7050,0.7200,0.6800,0.7050,0.6955,16707600,
21 Nov 2025,0.7300,0.7300,0.6900,0.7050,0.6955,14352700,
14 Nov 2025,0.7200,0.7500,0.7150,0.7300,0.7201,9578000,
7 Nov 2025,0.7350,0.7500,0.7050,0.7200,0.7103,14000200,
31 Oct 2025,0.7600,0.7700,0.7200,0.7250,0.7152,16939400,
24 Oct 2025,0.7000,0.7600,0.6900,0.7500,0.7399,19998100,
17 Oct 2025,0.7300,0.7400,0.6700,0.6750,0.6659,27181700,
10 Oct 2025,0.7400,0.7850,0.7300,0.7400,0.7300,31213000,
3 Oct 2025,0.7150,0.7500,0.7000,0.7400,0.7300,22845200,
26 Sep 2025,0.7250,0.7450,0.7100,0.7100,0.7004,24774600,
19 Sep 2025,0.7800,0.7900,0.7200,0.7200,0.7103,38916500,
12 Sep 2025,0.7400,0.7850,0.7300,0.7800,0.7695,44403100,
5 Sep 2025,0.7350,0.7550,0.7150,0.7350,0.7251,37830700,
29 Aug 2025,0.7200,0.7600,0.7200,0.7350,0.7251,43831200,
22 Aug 2025,0.7000,0.7250,0.6800,0.7150,0.7053,37091100,
21 Aug 2025,,,,,,,0.0050 Dividend
15 Aug 2025,0.6850,0.7000,0.6550,0.7000,0.6855,27434700,
8 Aug 2025,0.6400,0.7450,0.6350,0.6900,0.6757,60623600,
1 Aug 2025,0.7150,0.7200,0.6300,0.6450,0.6317,37699400,
25 Jul 2025,0.6000,0.7200,0.5800,0.7100,0.6953,74006100,
18 Jul 2025,0.5350,0.5950,0.5300,0.5850,0.5729,40741300,
11 Jul 2025,0.4750,0.5400,0.4650,0.5300,0.5190,41063000,
4 Jul 2025,0.4700,0.4900,0.4650,0.4750,0.4652,31069000,
27 Jun 2025,0.4400,0.4700,0.4350,0.4650,0.4554,20020100,
20 Jun 2025,0.4500,0.4700,0.4450,0.4500,0.4407,17955000,
13 Jun 2025,0.4400,0.4750,0.4300,0.4500,0.4407,28636900,
6 Jun 2025,0.4200,0.4450,0.4100,0.4400,0.4309,13470600,
30 May 2025,0.4050,0.4250,0.4000,0.4200,0.4113,14475000,
23 May 2025,0.4300,0.4400,0.4100,0.4100,0.4015,13883100,
16 May 2025,0.4450,0.4500,0.4250,0.4300,0.4211,16093300,
9 May 2025,0.5500,0.5600,0.4350,0.4350,0.4260,52139200,
8 May 2025,,,,,,,0.0780 Dividend
2 May 2025,0.5450,0.5500,0.5200,0.5450,0.4529,29213800,
25 Apr 2025,0.5100,0.5500,0.5050,0.5450,0.4529,36270000,
18 Apr 2025,0.4700,0.5200,0.4650,0.5100,0.4238,29057900,
11 Apr 2025,0.4500,0.4700,0.4200,0.4650,0.3864,43252300,
4 Apr 2025,0.5200,0.5300,0.4700,0.4800,0.3989,48084800,
28 Mar 2025,0.5000,0.5200,0.4800,0.5200,0.4321,28875100,
21 Mar 2025,0.4650,0.5150,0.4600,0.5050,0.4197,25490600,
14 Mar 2025,0.4300,0.4650,0.4250,0.4600,0.3823,23230800,
7 Mar 2025,0.4500,0.4550,0.3900,0.4300,0.3573,62344300,
28 Feb 2025,0.5350,0.5350,0.4650,0.4750,0.3947,28256300,
21 Feb 2025,0.5350,0.5550,0.5250,0.5400,0.4487,27356100,
14 Feb 2025,0.5100,0.5550,0.5050,0.5300,0.4404,39996800,
7 Feb 2025,0.4800,0.5100,0.4750,0.5100,0.4238,24176100,
31 Jan 2025,0.4750,0.4900,0.4700,0.4900,0.4072,11469000,
24 Jan 2025,0.4750,0.4950,0.4600,0.4800,0.3989,33928700,
17 Jan 2025,0.4450,0.4700,0.4400,0.4700,0.3906,34535000,
10 Jan 2025,0.4650,0.4800,0.4400,0.4500,0.3740,58961500,
3 Jan 2025,0.4250,0.4600,0.4200,0.4550,0.3781,29409800,
27 Dec 2024,0.4250,0.4350,0.4100,0.4250,0.3532,20224600,
20 Dec 2024,0.4750,0.4900,0.4100,0.4250,0.3532,46881500,
13 Dec 2024,0.5050,0.5100,0.4650,0.4750,0.3947,25981100,
6 Dec 2024,0.4500,0.5050,0.4450,0.4950,0.4114,50266500,
29 Nov 2024,0.4600,0.4650,0.4350,0.4500,0.3740,27760900,
22 Nov 2024,0.4300,0.4850,0.4300,0.4550,0.3781,45399500,
15 Nov 2024,0.4150,0.4650,0.4100,0.4300,0.3573,44917400,
8 Nov 2024,0.4350,0.4350,0.4050,0.4100,0.3407,29348000,
1 Nov 2024,0.4850,0.4850,0.4100,0.4350,0.3615,39637300,
25 Oct 2024,0.4250,0.5450,0.4250,0.4850,0.4030,83132600,
18 Oct 2024,0.3550,0.4450,0.3500,0.4300,0.3573,60187800,
11 Oct 2024,0.3550,0.3700,0.3400,0.3600,0.2992,11797900,
4 Oct 2024,0.3650,0.3700,0.3400,0.3550,0.2950,15281400,
27 Sep 2024,0.3450,0.3750,0.3450,0.3650,0.3033,34417800,
20 Sep 2024,0.3100,0.3450,0.2950,0.3400,0.2825,27741000,
13 Sep 2024,0.2500,0.3250,0.2500,0.3050,0.2535,44781600,
6 Sep 2024,0.2200,0.2550,0.2200,0.2500,0.2078,13374700,
30 Aug 2024,0.2250,0.2300,0.2200,0.2250,0.1870,2494900,
23 Aug 2024,0.2200,0.2250,0.2150,0.2250,0.1870,2169100,
22 Aug 2024,,,,,,,0.0020 Dividend
16 Aug 2024,0.2250,0.2300,0.2150,0.2250,0.1853,3576800,
9 Aug 2024,0.2200,0.2250,0.2050,0.2200,0.1812,2672500,
2 Aug 2024,0.2300,0.2300,0.2200,0.2200,0.1812,981700,
26 Jul 2024,0.2200,0.2350,0.2200,0.2250,0.1853,4556300,
19 Jul 2024,0.2300,0.2350,0.2250,0.2300,0.1894,4729200,
12 Jul 2024,0.2200,0.2300,0.2150,0.2300,0.1894,2956200,
5 Jul 2024,0.2250,0.2300,0.2150,0.2250,0.1853,4107700,
28 Jun 2024,0.2250,0.2350,0.2200,0.2300,0.1894,9985200,
21 Jun 2024,0.2150,0.2300,0.2100,0.2200,0.1812,12172900,
14 Jun 2024,0.2100,0.2150,0.2000,0.2100,0.1730,6081000,
7 Jun 2024,0.2200,0.2200,0.2050,0.2150,0.1771,6432000,
31 May 2024,0.2050,0.2400,0.2050,0.2250,0.1853,32005800,
24 May 2024,0.1860,0.2050,0.1860,0.2050,0.1688,11336400,
17 May 2024,0.1850,0.1900,0.1850,0.1900,0.1565,1121900,
10 May 2024,0.1840,0.1890,0.1800,0.1880,0.1548,566300,
8 May 2024,,,,,,,0.0040 Dividend
3 May 2024,0.1810,0.1840,0.1760,0.1840,0.1483,402200,
26 Apr 2024,0.1760,0.1850,0.1730,0.1800,0.1450,636000,
19 Apr 2024,0.1900,0.1900,0.1700,0.1800,0.1450,894900,
12 Apr 2024,0.1900,0.1900,0.1850,0.1880,0.1515,478700,
5 Apr 2024,0.1850,0.1920,0.1800,0.1900,0.1531,995800,
29 Mar 2024,0.1820,0.1860,0.1730,0.1850,0.1491,1450000,
22 Mar 2024,0.1820,0.1820,0.1800,0.1820,0.1467,228900,
15 Mar 2024,0.1810,0.1830,0.1790,0.1820,0.1467,1072900,
8 Mar 2024,0.1820,0.1870,0.1770,0.1820,0.1467,1211200,
1 Mar 2024,0.1980,0.1980,0.1700,0.1810,0.1459,2999300,
23 Feb 2024,0.1970,0.1980,0.1890,0.1980,0.1596,450100,
16 Feb 2024,0.1930,0.1970,0.1860,0.1970,0.1587,638100,
9 Feb 2024,0.1930,0.1930,0.1780,0.1910,0.1539,712600,
2 Feb 2024,0.1930,0.1980,0.1890,0.1940,0.1563,596600,
26 Jan 2024,0.1950,0.2000,0.1890,0.1940,0.1563,508800,
19 Jan 2024,0.1950,0.1990,0.1890,0.1900,0.1531,1417100,
12 Jan 2024,0.1920,0.1940,0.1880,0.1930,0.1555,249000,
5 Jan 2024,0.1950,0.1990,0.1800,0.1930,0.1555,1474500,
29 Dec 2023,0.1950,0.1950,0.1900,0.1950,0.1571,30100,
22 Dec 2023,0.1950,0.1950,0.1940,0.1950,0.1571,1100,
15 Dec 2023,0.1950,0.1950,0.1800,0.1950,0.1571,246900,
8 Dec 2023,0.1960,0.1960,0.1830,0.1950,0.1571,134700,
1 Dec 2023,0.1890,0.2050,0.1840,0.1960,0.1579,1469200,
24 Nov 2023,0.1700,0.1810,0.1700,0.1810,0.1459,3127800,
17 Nov 2023,0.1800,0.1800,0.1730,0.1800,0.1450,600,
10 Nov 2023,0.1790,0.1800,0.1790,0.1800,0.1450,600100,
3 Nov 2023,0.1770,0.1840,0.1720,0.1830,0.1475,765000,
27 Oct 2023,0.1790,0.1790,0.1700,0.1770,0.1426,31100,
20 Oct 2023,0.1810,0.1810,0.1650,0.1790,0.1442,244400,
13 Oct 2023,0.1830,0.1830,0.1720,0.1830,0.1475,8000,
6 Oct 2023,0.1830,0.1830,0.1830,0.1830,0.1475,0,
29 Sep 2023,0.1820,0.1830,0.1720,0.1830,0.1475,87200,
22 Sep 2023,0.1840,0.1840,0.1700,0.1820,0.1467,144700,
15 Sep 2023,0.1850,0.1850,0.1720,0.1840,0.1483,38200,
8 Sep 2023,0.1850,0.1850,0.1720,0.1850,0.1491,200,
1 Sep 2023,0.1850,0.1850,0.1850,0.1850,0.1491,0,
25 Aug 2023,0.1850,0.1850,0.1850,0.1850,0.1491,0,
24 Aug 2023,,,,,,,0.0020 Dividend
18 Aug 2023,0.1790,0.1850,0.1790,0.1850,0.1475,183400,
11 Aug 2023,0.1800,0.1850,0.1780,0.1840,0.1467,1459500,
4 Aug 2023,0.1900,0.1900,0.1840,0.1880,0.1499,148800,
28 Jul 2023,0.1820,0.1900,0.1820,0.1900,0.1514,1321100,
21 Jul 2023,0.1900,0.1900,0.1820,0.1870,0.1491,498300,
14 Jul 2023,0.1950,0.1990,0.1900,0.1960,0.1562,829000,
7 Jul 2023,0.1880,0.1950,0.1850,0.1950,0.1554,77000,
30 Jun 2023,0.1950,0.1950,0.1870,0.1950,0.1554,82100,
23 Jun 2023,0.1950,0.1980,0.1870,0.1950,0.1554,409200,
16 Jun 2023,0.1880,0.1950,0.1870,0.1920,0.1530,280800,
9 Jun 2023,0.2100,0.2100,0.1880,0.1950,0.1554,266600,
2 Jun 2023,0.2050,0.2100,0.2050,0.2100,0.1674,200,
26 May 2023,0.1880,0.1970,0.1870,0.1970,0.1570,341000,
19 May 2023,0.1950,0.1950,0.1950,0.1950,0.1554,0,
12 May 2023,0.1850,0.1970,0.1850,0.1950,0.1554,60800,
8 May 2023,,,,,,,0.0030 Dividend
5 May 2023,0.1940,0.1980,0.1900,0.1970,0.1546,381800,
28 Apr 2023,0.1890,0.1950,0.1860,0.1940,0.1523,1053600,
21 Apr 2023,0.2000,0.2050,0.1800,0.1890,0.1484,4763500,
14 Apr 2023,0.2000,0.2100,0.1970,0.2050,0.1609,136100,
7 Apr 2023,0.2100,0.2100,0.1970,0.2100,0.1648,23300,
31 Mar 2023,0.2100,0.2100,0.2000,0.2100,0.1648,66300,
24 Mar 2023,0.2100,0.2100,0.2100,0.2100,0.1648,0,
17 Mar 2023,0.2050,0.2100,0.2000,0.2100,0.1648,177000,
10 Mar 2023,0.2100,0.2100,0.2000,0.2050,0.1609,54100,
3 Mar 2023,0.1980,0.2100,0.1970,0.2100,0.1648,320900,
24 Feb 2023,0.2100,0.2100,0.1960,0.2050,0.1609,541900,
17 Feb 2023,0.1970,0.2100,0.1960,0.2100,0.1648,225700,
10 Feb 2023,0.2050,0.2050,0.1960,0.2050,0.1609,52300,
3 Feb 2023,0.2000,0.2050,0.2000,0.2050,0.1609,279200,
27 Jan 2023,0.2050,0.2100,0.2000,0.2100,0.1648,673100,
20 Jan 2023,0.2050,0.2150,0.1970,0.2050,0.1609,461000,
13 Jan 2023,0.2050,0.2100,0.2000,0.2050,0.1609,652300,
6 Jan 2023,0.2050,0.2150,0.1980,0.2150,0.1688,455800,
30 Dec 2022,0.2000,0.2050,0.1980,0.2050,0.1609,103000,
23 Dec 2022,0.2050,0.2050,0.1930,0.2000,0.1570,149900,
16 Dec 2022,0.1920,0.2050,0.1920,0.2050,0.1609,183900,
9 Dec 2022,0.2000,0.2000,0.2000,0.2000,0.1570,0,
2 Dec 2022,0.1970,0.2000,0.1920,0.2000,0.1570,26100,
25 Nov 2022,0.1970,0.1970,0.1970,0.1970,0.1546,0,
