Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
31 Jul 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
24 Jul 2026,1.0800,1.0800,1.0800,1.0800,1.0800,2000,
17 Jul 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
10 Jul 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
3 Jul 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
26 Jun 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
19 Jun 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
12 Jun 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
5 Jun 2026,1.0800,1.1300,1.0800,1.0800,1.0800,15100,
29 May 2026,1.0800,1.0800,1.0800,1.0800,1.0800,0,
22 May 2026,0.9500,1.0800,0.9200,1.0800,1.0800,8800,
15 May 2026,1.0600,1.0600,1.0000,1.0000,1.0000,21100,
8 May 2026,1.1400,1.2000,1.0500,1.0600,1.0600,51600,
1 May 2026,0.8800,1.2100,0.8800,1.1400,1.1400,25500,
24 Apr 2026,0.7800,0.8800,0.7800,0.8800,0.8800,100,
17 Apr 2026,0.7800,0.7800,0.7800,0.7800,0.7800,0,
10 Apr 2026,0.7600,0.7800,0.7600,0.7800,0.7800,3300,
3 Apr 2026,0.8400,0.8400,0.7600,0.7600,0.7600,1900,
27 Mar 2026,0.8400,0.8400,0.8400,0.8400,0.8400,0,
20 Mar 2026,0.8400,0.8400,0.8400,0.8400,0.8400,0,
13 Mar 2026,0.8800,0.8800,0.8400,0.8400,0.8400,1000,
6 Mar 2026,0.9500,0.9500,0.8800,0.8800,0.8800,1300,
27 Feb 2026,0.9500,0.9500,0.9500,0.9500,0.9500,0,
20 Feb 2026,0.9500,0.9500,0.9500,0.9500,0.9500,0,
13 Feb 2026,0.9500,0.9500,0.9500,0.9500,0.9500,0,
6 Feb 2026,0.9500,0.9500,0.9500,0.9500,0.9500,0,
30 Jan 2026,0.9500,0.9500,0.9500,0.9500,0.9500,0,
23 Jan 2026,1.0700,1.0700,0.9300,0.9500,0.9500,19400,
16 Jan 2026,0.9200,1.1000,0.9200,1.0700,1.0700,7300,
9 Jan 2026,0.8300,0.9250,0.8300,0.9100,0.9100,72600,
2 Jan 2026,0.8100,0.8300,0.8100,0.8300,0.8300,12100,
26 Dec 2025,1.0300,1.0300,1.0300,1.0300,1.0300,0,
19 Dec 2025,0.9050,1.0300,0.9050,1.0300,1.0300,100,
12 Dec 2025,0.9050,0.9050,0.9050,0.9050,0.9050,0,
5 Dec 2025,0.9050,0.9050,0.9050,0.9050,0.9050,0,
28 Nov 2025,0.9050,0.9050,0.9050,0.9050,0.9050,0,
21 Nov 2025,0.9050,0.9050,0.9050,0.9050,0.9050,0,
14 Nov 2025,0.9050,0.9050,0.9050,0.9050,0.9050,0,
7 Nov 2025,0.9050,0.9050,0.9050,0.9050,0.9050,0,
31 Oct 2025,0.9050,0.9050,0.9050,0.9050,0.9050,2200,
24 Oct 2025,0.9050,0.9050,0.9050,0.9050,0.9050,0,
17 Oct 2025,1.1100,1.1100,0.9050,0.9050,0.9050,14300,
10 Oct 2025,1.1100,1.1100,1.1100,1.1100,1.1100,0,
3 Oct 2025,1.1100,1.1100,1.1100,1.1100,1.1100,0,
26 Sep 2025,1.1900,1.1900,1.1100,1.1100,1.1100,45000,
19 Sep 2025,1.1200,1.2000,1.1200,1.1900,1.1900,110400,
12 Sep 2025,1.0600,1.1200,1.0600,1.1200,1.1200,82100,
5 Sep 2025,1.0700,1.1300,1.0600,1.0700,1.0700,242700,
29 Aug 2025,1.0300,1.1200,1.0300,1.0700,1.0700,313900,
22 Aug 2025,0.8100,1.1800,0.8100,1.1800,1.1800,713700,
15 Aug 2025,0.9100,0.9100,0.8300,0.8300,0.8300,17300,
8 Aug 2025,0.7950,0.9100,0.7400,0.9100,0.9100,138800,
1 Aug 2025,0.7950,0.7950,0.7950,0.7950,0.7950,0,
25 Jul 2025,0.8100,0.8100,0.6950,0.7950,0.7950,50000,
18 Jul 2025,0.3650,0.8500,0.3650,0.8050,0.8050,307100,
11 Jul 2025,0.3650,0.3650,0.3650,0.3650,0.3650,0,
4 Jul 2025,0.3650,0.3650,0.3650,0.3650,0.3650,0,
27 Jun 2025,0.3650,0.3650,0.3650,0.3650,0.3650,0,
20 Jun 2025,0.3300,0.3650,0.3300,0.3650,0.3650,3300,
13 Jun 2025,0.3300,0.3300,0.3300,0.3300,0.3300,0,
6 Jun 2025,0.3300,0.3300,0.3300,0.3300,0.3300,0,
30 May 2025,0.3300,0.3300,0.3300,0.3300,0.3300,0,
23 May 2025,0.4600,0.5750,0.3300,0.3300,0.3300,200,
16 May 2025,0.4000,0.4800,0.3300,0.4600,0.4600,5100,
9 May 2025,0.4000,0.4000,0.4000,0.4000,0.4000,0,
2 May 2025,0.4000,0.4000,0.4000,0.4000,0.4000,0,
25 Apr 2025,0.4000,0.4000,0.4000,0.4000,0.4000,0,
18 Apr 2025,0.4000,0.4000,0.4000,0.4000,0.4000,0,
11 Apr 2025,0.4000,0.4000,0.4000,0.4000,0.4000,0,
4 Apr 2025,0.4000,0.4000,0.4000,0.4000,0.4000,0,
28 Mar 2025,0.4200,0.4200,0.4000,0.4000,0.4000,200,
21 Mar 2025,0.4200,0.4200,0.4200,0.4200,0.4200,0,
14 Mar 2025,0.4500,0.4500,0.4200,0.4200,0.4200,1100,
7 Mar 2025,0.4700,0.4700,0.4000,0.4500,0.4500,37600,
28 Feb 2025,0.4700,0.4700,0.4700,0.4700,0.4700,0,
21 Feb 2025,0.4200,0.4700,0.4200,0.4700,0.4700,7400,
14 Feb 2025,0.4200,0.4200,0.4200,0.4200,0.4200,0,
7 Feb 2025,0.4200,0.4200,0.4200,0.4200,0.4200,0,
31 Jan 2025,0.4200,0.4200,0.4200,0.4200,0.4200,0,
24 Jan 2025,0.4450,0.4450,0.4200,0.4200,0.4200,500,
17 Jan 2025,0.4450,0.4450,0.4450,0.4450,0.4450,0,
10 Jan 2025,0.4450,0.4450,0.4450,0.4450,0.4450,0,
3 Jan 2025,0.4450,0.4450,0.4450,0.4450,0.4450,0,
27 Dec 2024,0.4450,0.4450,0.4450,0.4450,0.4450,0,
20 Dec 2024,0.4450,0.4450,0.4450,0.4450,0.4450,0,
13 Dec 2024,0.4450,0.4450,0.4450,0.4450,0.4450,0,
6 Dec 2024,0.4450,0.4450,0.4450,0.4450,0.4450,0,
29 Nov 2024,0.5950,0.5950,0.4400,0.4450,0.4450,5000,
22 Nov 2024,0.5950,0.5950,0.5950,0.5950,0.5950,0,
15 Nov 2024,0.5950,0.5950,0.5950,0.5950,0.5950,0,
8 Nov 2024,0.5950,0.5950,0.5950,0.5950,0.5950,0,
1 Nov 2024,0.5950,0.5950,0.5950,0.5950,0.5950,0,
25 Oct 2024,0.5950,0.5950,0.5950,0.5950,0.5950,0,
18 Oct 2024,0.5950,0.5950,0.5950,0.5950,0.5950,0,
11 Oct 2024,0.5950,0.5950,0.5950,0.5950,0.5950,0,
4 Oct 2024,0.5950,0.5950,0.5950,0.5950,0.5950,0,
27 Sep 2024,0.5750,0.5950,0.5750,0.5950,0.5950,100,
20 Sep 2024,0.5750,0.5750,0.5650,0.5750,0.5750,42700,
13 Sep 2024,0.5800,0.5800,0.5650,0.5650,0.5650,35500,
6 Sep 2024,0.5650,0.5900,0.5650,0.5800,0.5800,10000,
30 Aug 2024,0.5550,0.5700,0.5500,0.5650,0.5650,544700,
23 Aug 2024,0.5550,0.5550,0.5500,0.5550,0.5550,12700,
16 Aug 2024,0.5550,0.5550,0.5500,0.5550,0.5550,153400,
9 Aug 2024,0.5550,0.5550,0.5500,0.5550,0.5550,791400,
2 Aug 2024,0.5500,0.5600,0.5450,0.5550,0.5550,758200,
26 Jul 2024,0.5500,0.5500,0.5450,0.5500,0.5500,1037800,
19 Jul 2024,0.5550,0.5550,0.5500,0.5550,0.5550,1164700,
12 Jul 2024,0.4800,0.5550,0.4800,0.5500,0.5500,1185300,
5 Jul 2024,0.5100,0.5100,0.5000,0.5050,0.5050,44400,
28 Jun 2024,0.5200,0.5200,0.5100,0.5100,0.5100,2400,
21 Jun 2024,0.5000,0.5200,0.4900,0.5200,0.5200,163700,
14 Jun 2024,0.5150,0.5200,0.5050,0.5050,0.5050,210400,
7 Jun 2024,0.5250,0.5250,0.5150,0.5200,0.5200,114000,
31 May 2024,0.5200,0.5250,0.5150,0.5250,0.5250,25100,
24 May 2024,0.5300,0.5300,0.5200,0.5200,0.5200,112000,
17 May 2024,0.5250,0.5300,0.5200,0.5300,0.5300,149200,
10 May 2024,0.5250,0.5350,0.5250,0.5250,0.5250,186000,
3 May 2024,0.5250,0.5350,0.5250,0.5350,0.5350,209000,
26 Apr 2024,0.5200,0.5250,0.5200,0.5250,0.5250,95000,
19 Apr 2024,0.5250,0.5300,0.5200,0.5200,0.5200,86900,
12 Apr 2024,0.5200,0.5200,0.5200,0.5200,0.5200,23000,
5 Apr 2024,0.5100,0.5300,0.5100,0.5200,0.5200,33200,
29 Mar 2024,0.5050,0.5100,0.5050,0.5100,0.5100,72700,
22 Mar 2024,0.5100,0.5150,0.5000,0.5050,0.5050,139700,
15 Mar 2024,0.5050,0.5150,0.5000,0.5100,0.5100,242400,
8 Mar 2024,0.5000,0.5150,0.5000,0.5050,0.5050,571500,
1 Mar 2024,0.5100,0.5200,0.4950,0.5000,0.5000,974600,
23 Feb 2024,0.5250,0.5250,0.5100,0.5100,0.5100,197700,
16 Feb 2024,0.5200,0.5300,0.5100,0.5250,0.5250,158800,
9 Feb 2024,0.5000,0.5300,0.4950,0.5200,0.5200,524800,
2 Feb 2024,0.3250,0.5150,0.3250,0.5050,0.5050,324600,
26 Jan 2024,0.2700,0.3250,0.2700,0.3250,0.3250,166100,
19 Jan 2024,0.2950,0.2950,0.2700,0.2700,0.2700,5900,
12 Jan 2024,0.2950,0.2950,0.2950,0.2950,0.2950,700,
5 Jan 2024,0.3000,0.3000,0.3000,0.3000,0.3000,100,
29 Dec 2023,0.3000,0.3200,0.2850,0.3000,0.3000,12400,
22 Dec 2023,0.3000,0.3000,0.3000,0.3000,0.3000,0,
15 Dec 2023,0.2950,0.3000,0.2950,0.3000,0.3000,5100,
8 Dec 2023,0.3000,0.3000,0.2950,0.2950,0.2950,6600,
1 Dec 2023,0.3000,0.3000,0.2950,0.3000,0.3000,16300,
24 Nov 2023,0.3200,0.3200,0.2950,0.2950,0.2950,20000,
17 Nov 2023,0.3750,0.3750,0.2900,0.2900,0.2900,39700,
10 Nov 2023,0.3700,0.3750,0.3700,0.3750,0.3750,5100,
3 Nov 2023,0.3350,0.4100,0.2900,0.3350,0.3350,45400,
27 Oct 2023,0.3500,0.3500,0.3000,0.3350,0.3350,40000,
20 Oct 2023,0.3600,0.3650,0.3500,0.3500,0.3500,1900,
13 Oct 2023,0.3600,0.3600,0.3600,0.3600,0.3600,0,
6 Oct 2023,0.3600,0.3600,0.3600,0.3600,0.3600,200,
29 Sep 2023,0.3650,0.3650,0.3600,0.3600,0.3600,13400,
22 Sep 2023,0.4650,0.4650,0.3600,0.3600,0.3600,49000,
15 Sep 2023,0.4650,0.4650,0.4650,0.4650,0.4650,0,
8 Sep 2023,0.4650,0.4650,0.4650,0.4650,0.4650,0,
1 Sep 2023,0.4300,0.4750,0.4000,0.4650,0.4650,11700,
25 Aug 2023,0.4300,0.4300,0.4300,0.4300,0.4300,3000,
18 Aug 2023,0.3750,0.4300,0.3750,0.4300,0.4300,8800,
11 Aug 2023,0.4750,0.4750,0.3750,0.3750,0.3750,21600,
4 Aug 2023,0.5000,0.5300,0.5000,0.5300,0.5300,1100,
28 Jul 2023,0.4800,0.5300,0.4750,0.5000,0.5000,21200,
21 Jul 2023,0.5100,0.5100,0.5000,0.5000,0.5000,9000,
14 Jul 2023,0.5400,0.5400,0.5100,0.5100,0.5100,26000,
7 Jul 2023,0.5200,0.5200,0.5200,0.5200,0.5200,70000,
30 Jun 2023,0.5700,0.5700,0.5200,0.5200,0.5200,5000,
23 Jun 2023,0.5700,0.5700,0.5700,0.5700,0.5700,0,
16 Jun 2023,0.5700,0.5700,0.5700,0.5700,0.5700,0,
9 Jun 2023,0.5750,0.5750,0.5700,0.5700,0.5700,10000,
2 Jun 2023,0.5200,0.5750,0.5200,0.5750,0.5750,4000,
26 May 2023,0.5800,0.5800,0.5200,0.5200,0.5200,10300,
19 May 2023,0.5800,0.5800,0.5800,0.5800,0.5800,0,
12 May 2023,0.5800,0.5800,0.5800,0.5800,0.5800,0,
5 May 2023,0.5800,0.5800,0.5750,0.5800,0.5800,15000,
28 Apr 2023,0.5900,0.6000,0.5800,0.5800,0.5800,50200,
21 Apr 2023,0.5750,0.5750,0.5100,0.5100,0.5100,4400,
14 Apr 2023,0.5800,0.5900,0.5750,0.5750,0.5750,10100,
7 Apr 2023,0.5700,0.5900,0.5700,0.5800,0.5800,249000,
31 Mar 2023,0.5300,0.5650,0.4750,0.5650,0.5650,70100,
24 Mar 2023,0.5300,0.5300,0.5300,0.5300,0.5300,0,
17 Mar 2023,0.5300,0.5300,0.5300,0.5300,0.5300,0,
10 Mar 2023,0.5300,0.5300,0.5300,0.5300,0.5300,0,
3 Mar 2023,0.5200,0.5300,0.4800,0.5300,0.5300,27100,
24 Feb 2023,0.5200,0.5200,0.5200,0.5200,0.5200,70400,
17 Feb 2023,0.5250,0.5250,0.5200,0.5200,0.5200,11800,
10 Feb 2023,0.5500,0.5500,0.5500,0.5500,0.5500,0,
3 Feb 2023,0.5450,0.5500,0.5450,0.5500,0.5500,37100,
27 Jan 2023,0.5400,0.5450,0.5200,0.5450,0.5450,10300,
20 Jan 2023,0.5350,0.5400,0.5350,0.5400,0.5400,38100,
13 Jan 2023,0.5500,0.5500,0.4800,0.5350,0.5350,21100,
6 Jan 2023,0.4800,0.5700,0.4800,0.5700,0.5700,21100,
30 Dec 2022,0.5000,0.5000,0.4800,0.4800,0.4800,8800,
23 Dec 2022,0.5000,0.5000,0.5000,0.5000,0.5000,900,
16 Dec 2022,0.5000,0.5000,0.5000,0.5000,0.5000,0,
9 Dec 2022,0.5000,0.5000,0.5000,0.5000,0.5000,0,
2 Dec 2022,0.4800,0.5000,0.4800,0.5000,0.5000,10000,
25 Nov 2022,0.5050,0.5050,0.4800,0.4800,0.4800,11200,
18 Nov 2022,0.5000,0.5500,0.4950,0.5050,0.5050,92000,
11 Nov 2022,0.5500,0.5500,0.5000,0.5000,0.5000,11800,
4 Nov 2022,0.5500,0.5500,0.5500,0.5500,0.5500,3000,
28 Oct 2022,0.5500,0.5500,0.5500,0.5500,0.5500,0,
21 Oct 2022,0.5050,0.5500,0.5050,0.5500,0.5500,44700,
14 Oct 2022,0.5650,0.5700,0.5000,0.5350,0.5350,58200,
7 Oct 2022,0.5650,0.5700,0.5600,0.5700,0.5700,65000,
30 Sep 2022,0.5750,0.5750,0.5650,0.5650,0.5650,97700,
23 Sep 2022,0.6200,0.6200,0.5400,0.5800,0.5800,36600,
16 Sep 2022,0.6150,0.6200,0.6100,0.6200,0.6200,32500,
9 Sep 2022,0.6500,0.6500,0.6150,0.6200,0.6200,46500,
5 Sep 2022,,,,,,,0.1277 Dividend
2 Sep 2022,0.7600,0.7700,0.7550,0.7600,0.6323,164100,
26 Aug 2022,0.7600,0.7750,0.7550,0.7650,0.6364,225900,
19 Aug 2022,0.7650,0.7650,0.7550,0.7600,0.6323,399400,
12 Aug 2022,0.7650,0.7700,0.7600,0.7600,0.6323,59800,
5 Aug 2022,0.7600,0.7700,0.7550,0.7650,0.6364,183200,
29 Jul 2022,0.7700,0.7750,0.7550,0.7700,0.6406,310800,
22 Jul 2022,0.7700,0.7700,0.7500,0.7600,0.6323,360300,
15 Jul 2022,0.7700,0.7700,0.7600,0.7600,0.6323,54700,
8 Jul 2022,0.7800,0.7800,0.7650,0.7700,0.6406,186600,
1 Jul 2022,0.7450,0.7950,0.7450,0.7800,0.6489,394300,
24 Jun 2022,0.7550,0.7550,0.7350,0.7450,0.6198,154200,
17 Jun 2022,0.7800,0.7850,0.7650,0.7650,0.6364,138500,
10 Jun 2022,0.7900,0.7950,0.7750,0.7750,0.6447,125000,
3 Jun 2022,0.8050,0.8050,0.7800,0.7900,0.6572,400000,
27 May 2022,0.7100,0.7300,0.7100,0.7200,0.5990,86300,
20 May 2022,0.7300,0.7500,0.7100,0.7500,0.6239,7600,
13 May 2022,0.7300,0.7300,0.7300,0.7300,0.6073,0,
6 May 2022,0.7500,0.7500,0.7250,0.7300,0.6073,42200,
29 Apr 2022,0.7050,0.7500,0.7050,0.7500,0.6239,6600,
22 Apr 2022,0.7000,0.7100,0.7000,0.7100,0.5907,56800,
15 Apr 2022,0.7100,0.7100,0.6800,0.7000,0.5824,104300,
8 Apr 2022,0.7000,0.7000,0.6900,0.6900,0.5740,119800,
1 Apr 2022,0.6750,0.6900,0.6650,0.6900,0.5740,143300,
25 Mar 2022,0.6600,0.6800,0.6600,0.6750,0.5616,75600,
18 Mar 2022,0.6400,0.6600,0.6400,0.6600,0.5491,7400,
11 Mar 2022,0.6900,0.6900,0.6900,0.6900,0.5740,0,
4 Mar 2022,0.6850,0.6950,0.6200,0.6900,0.5740,36300,
25 Feb 2022,0.6900,0.7050,0.6400,0.7000,0.5824,99300,
18 Feb 2022,0.7100,0.7100,0.6900,0.6900,0.5740,79500,
11 Feb 2022,0.6700,0.7100,0.6700,0.7100,0.5907,122800,
