Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,1.5700,1.5800,1.5600,1.5700,1.5700,281900,
31 Jul 2026,1.5800,1.6000,1.5700,1.5700,1.5700,407600,
24 Jul 2026,1.5800,1.6000,1.5700,1.5800,1.5800,632700,
17 Jul 2026,1.5800,1.5800,1.5600,1.5800,1.5800,352300,
10 Jul 2026,1.5500,1.5900,1.5400,1.5900,1.5900,695200,
3 Jul 2026,1.5600,1.5700,1.5400,1.5600,1.5600,680200,
26 Jun 2026,1.5900,1.5900,1.5500,1.5500,1.5500,489900,
19 Jun 2026,1.5500,1.6000,1.5400,1.6000,1.6000,761100,
12 Jun 2026,1.5200,1.5600,1.5200,1.5400,1.5400,698600,
5 Jun 2026,1.5500,1.5600,1.5100,1.5300,1.5300,556800,
29 May 2026,1.5600,1.5800,1.5400,1.5700,1.5700,279600,
22 May 2026,1.5400,1.5700,1.5200,1.5600,1.5600,492500,
15 May 2026,1.5900,1.6000,1.5300,1.5500,1.5500,730600,
8 May 2026,1.6100,1.6300,1.5900,1.5900,1.5900,708000,
1 May 2026,1.6100,1.6300,1.5900,1.6100,1.6100,340600,
24 Apr 2026,1.6400,1.6500,1.6000,1.6100,1.6100,1049400,
17 Apr 2026,1.6100,1.6500,1.6100,1.6400,1.6400,703700,
10 Apr 2026,1.6000,1.6500,1.6000,1.6200,1.6200,948500,
3 Apr 2026,1.5900,1.6400,1.5900,1.6000,1.6000,1451100,
27 Mar 2026,1.6000,1.6200,1.5500,1.6000,1.6000,1962800,
20 Mar 2026,1.6300,1.6600,1.5900,1.6200,1.6200,1131100,
13 Mar 2026,1.5900,1.6600,1.5600,1.6400,1.6400,2248400,
6 Mar 2026,1.6600,1.6600,1.5700,1.6200,1.6200,4459500,
27 Feb 2026,1.7000,1.7300,1.6600,1.6800,1.6800,2976000,
20 Feb 2026,1.6900,1.7000,1.6700,1.7000,1.7000,1101500,
13 Feb 2026,1.6400,1.7600,1.6400,1.6900,1.6900,5349800,
6 Feb 2026,1.6500,1.6700,1.6000,1.6300,1.6300,2053600,
30 Jan 2026,1.6200,1.7000,1.6000,1.6500,1.6500,3178100,
23 Jan 2026,1.5600,1.6200,1.5500,1.6200,1.6200,2219700,
16 Jan 2026,1.4900,1.5800,1.4700,1.5800,1.5800,1962400,
9 Jan 2026,1.4300,1.4900,1.4300,1.4900,1.4900,1927100,
2 Jan 2026,1.4300,1.4400,1.4100,1.4200,1.4200,578000,
26 Dec 2025,1.4200,1.4500,1.4100,1.4400,1.4400,590700,
19 Dec 2025,1.4200,1.4300,1.4000,1.4300,1.4300,518700,
12 Dec 2025,1.4200,1.4400,1.4200,1.4300,1.4300,391700,
5 Dec 2025,1.4300,1.4400,1.4100,1.4200,1.4200,397200,
28 Nov 2025,1.4200,1.4400,1.4000,1.4300,1.4300,860600,
21 Nov 2025,1.4200,1.4300,1.4000,1.4100,1.4100,886300,
14 Nov 2025,1.4300,1.4500,1.4100,1.4300,1.4300,864300,
7 Nov 2025,1.4200,1.4300,1.3900,1.4300,1.4300,1376300,
31 Oct 2025,1.4500,1.5000,1.4100,1.4300,1.4300,1828400,
30 Oct 2025,,,,,,,0.0300 Dividend
24 Oct 2025,1.4000,1.4600,1.4000,1.4600,1.4302,691200,
17 Oct 2025,1.4400,1.4700,1.3900,1.4000,1.3714,1220900,
10 Oct 2025,1.4100,1.5000,1.4100,1.4500,1.4204,3039100,
3 Oct 2025,1.4000,1.4200,1.3900,1.4100,1.3812,1648500,
26 Sep 2025,1.4200,1.4300,1.3900,1.3900,1.3616,953100,
19 Sep 2025,1.4000,1.4400,1.4000,1.4300,1.4008,1333600,
12 Sep 2025,1.4000,1.4100,1.3900,1.4000,1.3714,797200,
5 Sep 2025,1.3900,1.4100,1.3700,1.4000,1.3714,656600,
29 Aug 2025,1.4000,1.4400,1.3800,1.3900,1.3616,1293100,
22 Aug 2025,1.3500,1.4100,1.3400,1.4000,1.3714,1541100,
15 Aug 2025,1.4000,1.4300,1.3400,1.3500,1.3224,1843600,
8 Aug 2025,1.3800,1.4100,1.3700,1.4000,1.3714,1433400,
1 Aug 2025,1.4400,1.4700,1.3600,1.3600,1.3322,3093000,
25 Jul 2025,1.3300,1.4400,1.3300,1.4300,1.4008,3404100,
18 Jul 2025,1.3100,1.3400,1.3000,1.3300,1.3029,1194800,
11 Jul 2025,1.3100,1.3300,1.2800,1.3100,1.2833,743100,
4 Jul 2025,1.2800,1.3300,1.2700,1.3100,1.2833,1468800,
27 Jun 2025,1.2200,1.2800,1.2200,1.2800,1.2539,605700,
20 Jun 2025,1.2700,1.2700,1.2300,1.2300,1.2049,1124000,
13 Jun 2025,1.2500,1.2800,1.2400,1.2600,1.2343,835000,
6 Jun 2025,1.2300,1.2700,1.2200,1.2500,1.2245,523400,
30 May 2025,1.2300,1.2400,1.2200,1.2200,1.1951,840300,
23 May 2025,1.2000,1.2600,1.2000,1.2400,1.2147,1819100,
16 May 2025,1.2100,1.2200,1.1900,1.2000,1.1755,690100,
9 May 2025,1.1700,1.2100,1.1700,1.2000,1.1755,494600,
2 May 2025,1.1400,1.1800,1.1400,1.1700,1.1461,406700,
25 Apr 2025,1.1300,1.1600,1.1200,1.1400,1.1167,278300,
18 Apr 2025,1.0800,1.1300,1.0800,1.1300,1.1069,609700,
11 Apr 2025,1.1200,1.1200,1.0000,1.0800,1.0580,1079600,
4 Apr 2025,1.2000,1.2000,1.1500,1.1600,1.1363,954600,
28 Mar 2025,1.1500,1.2100,1.1500,1.2000,1.1755,869000,
21 Mar 2025,1.1900,1.1900,1.1500,1.1500,1.1265,1474400,
14 Mar 2025,1.1800,1.1900,1.1700,1.1900,1.1657,729700,
7 Mar 2025,1.1800,1.2000,1.1700,1.1800,1.1559,623300,
28 Feb 2025,1.2200,1.2400,1.1800,1.1800,1.1559,1255800,
