Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.2150,0.2150,0.2150,0.2150,0.2150,300,
31 Jul 2026,0.2000,0.2000,0.2000,0.2000,0.2000,0,
24 Jul 2026,0.1980,0.2000,0.1980,0.2000,0.2000,4400,
17 Jul 2026,0.2200,0.2200,0.1970,0.1980,0.1980,217000,
10 Jul 2026,0.2100,0.2200,0.1830,0.2200,0.2200,165100,
3 Jul 2026,0.2050,0.2100,0.2050,0.2100,0.2100,11000,
26 Jun 2026,0.2300,0.2300,0.2050,0.2050,0.2050,50000,
19 Jun 2026,0.2050,0.2300,0.2000,0.2300,0.2300,53500,
12 Jun 2026,0.2100,0.2100,0.2050,0.2050,0.2050,500,
5 Jun 2026,0.2300,0.2300,0.2100,0.2100,0.2100,102000,
29 May 2026,0.2300,0.2300,0.2100,0.2300,0.2300,46600,
22 May 2026,0.2250,0.2300,0.2250,0.2300,0.2300,45400,
15 May 2026,0.2350,0.2350,0.2250,0.2250,0.2250,32000,
8 May 2026,0.2300,0.2650,0.2100,0.2350,0.2350,319500,
8 May 2026,,,,,,,0.0120 Dividend
1 May 2026,0.2100,0.2250,0.2100,0.2250,0.2135,68000,
24 Apr 2026,0.1950,0.2100,0.1900,0.2100,0.1993,123700,
17 Apr 2026,0.1900,0.1950,0.1850,0.1950,0.1850,126900,
10 Apr 2026,0.1850,0.1850,0.1850,0.1850,0.1756,70000,
3 Apr 2026,0.1890,0.1930,0.1840,0.1850,0.1756,160300,
27 Mar 2026,0.1840,0.1930,0.1840,0.1930,0.1831,22600,
20 Mar 2026,0.1830,0.1900,0.1830,0.1900,0.1803,75000,
13 Mar 2026,0.1900,0.1900,0.1900,0.1900,0.1803,0,
6 Mar 2026,0.1800,0.1900,0.1800,0.1900,0.1803,1694700,
27 Feb 2026,0.1790,0.1800,0.1750,0.1790,0.1699,789900,
20 Feb 2026,0.1790,0.1800,0.1790,0.1790,0.1699,639400,
13 Feb 2026,0.1800,0.1800,0.1790,0.1790,0.1699,196100,
6 Feb 2026,0.1810,0.1810,0.1790,0.1800,0.1708,161100,
30 Jan 2026,0.1790,0.1810,0.1790,0.1810,0.1718,3000,
23 Jan 2026,0.1790,0.1800,0.1790,0.1790,0.1699,55000,
16 Jan 2026,0.1980,0.1980,0.1790,0.1790,0.1699,100000,
9 Jan 2026,0.2050,0.2050,0.1980,0.1980,0.1879,3600,
2 Jan 2026,0.1800,0.2000,0.1800,0.1800,0.1708,10300,
26 Dec 2025,0.1800,0.1800,0.1800,0.1800,0.1708,84400,
19 Dec 2025,0.1790,0.1790,0.1790,0.1790,0.1699,0,
12 Dec 2025,0.1790,0.1790,0.1790,0.1790,0.1699,0,
5 Dec 2025,0.1810,0.1810,0.1790,0.1790,0.1699,145900,
28 Nov 2025,0.1810,0.1810,0.1810,0.1810,0.1718,800,
21 Nov 2025,0.1900,0.1900,0.1820,0.1820,0.1727,100000,
14 Nov 2025,0.1930,0.1930,0.1900,0.1900,0.1803,20000,
7 Nov 2025,0.1800,0.1930,0.1800,0.1930,0.1831,26400,
31 Oct 2025,0.1800,0.1800,0.1800,0.1800,0.1708,303300,
24 Oct 2025,0.1810,0.1810,0.1800,0.1800,0.1708,44400,
17 Oct 2025,0.1800,0.1810,0.1790,0.1810,0.1718,583900,
10 Oct 2025,0.1820,0.1860,0.1800,0.1800,0.1708,535000,
3 Oct 2025,0.1800,0.1840,0.1800,0.1840,0.1746,406900,
26 Sep 2025,0.1800,0.1870,0.1800,0.1860,0.1765,596600,
19 Sep 2025,0.1800,0.1850,0.1790,0.1800,0.1708,678900,
12 Sep 2025,0.1810,0.1810,0.1800,0.1800,0.1708,177000,
5 Sep 2025,0.1730,0.1870,0.1710,0.1810,0.1718,113400,
29 Aug 2025,0.1710,0.2450,0.1710,0.1800,0.1708,81400,
22 Aug 2025,0.1690,0.2400,0.1690,0.1710,0.1623,3100,
15 Aug 2025,0.1880,0.1880,0.1880,0.1880,0.1784,0,
8 Aug 2025,0.1670,0.1880,0.1600,0.1880,0.1784,90100,
1 Aug 2025,0.1700,0.1850,0.1670,0.1670,0.1585,160500,
25 Jul 2025,0.1680,0.1820,0.1680,0.1700,0.1613,1400,
18 Jul 2025,0.1740,0.1770,0.1680,0.1680,0.1594,263300,
11 Jul 2025,0.1660,0.1740,0.1660,0.1740,0.1651,4100,
4 Jul 2025,0.1660,0.1660,0.1660,0.1660,0.1575,4300,
27 Jun 2025,0.1730,0.1780,0.1680,0.1680,0.1594,4100,
20 Jun 2025,0.1630,0.1930,0.1630,0.1730,0.1642,56700,
13 Jun 2025,0.1910,0.1940,0.1630,0.1630,0.1547,175900,
6 Jun 2025,0.1970,0.1970,0.1550,0.1620,0.1537,90500,
30 May 2025,0.3200,0.3200,0.1630,0.1970,0.1869,47300,
23 May 2025,0.1700,0.3200,0.1450,0.1450,0.1376,400,
16 May 2025,0.1410,0.1740,0.1410,0.1700,0.1613,5300,
9 May 2025,0.1590,0.1900,0.1410,0.1410,0.1338,15300,
7 May 2025,,,,,,,0.0100 Dividend
2 May 2025,0.1500,0.1580,0.1480,0.1580,0.1408,25000,
25 Apr 2025,0.1500,0.1500,0.1500,0.1500,0.1337,2100,
18 Apr 2025,0.1550,0.1550,0.1500,0.1500,0.1337,20000,
11 Apr 2025,0.1550,0.1550,0.1550,0.1550,0.1382,0,
4 Apr 2025,0.1580,0.1580,0.1550,0.1550,0.1382,23300,
28 Mar 2025,0.1560,0.1600,0.1560,0.1580,0.1408,164700,
21 Mar 2025,0.1400,0.1580,0.1400,0.1520,0.1355,50600,
14 Mar 2025,0.1400,0.1400,0.1400,0.1400,0.1248,0,
7 Mar 2025,0.1320,0.1450,0.1320,0.1400,0.1248,10600,
28 Feb 2025,0.1320,0.1320,0.1320,0.1320,0.1177,0,
21 Feb 2025,0.1300,0.1320,0.1300,0.1320,0.1177,6000,
14 Feb 2025,0.1300,0.1300,0.1290,0.1300,0.1159,30500,
7 Feb 2025,0.1310,0.1310,0.1310,0.1310,0.1168,0,
31 Jan 2025,0.1310,0.1310,0.1310,0.1310,0.1168,30000,
24 Jan 2025,0.1390,0.1390,0.1390,0.1390,0.1239,0,
17 Jan 2025,0.1390,0.1390,0.1390,0.1390,0.1239,0,
10 Jan 2025,0.1380,0.1390,0.1380,0.1390,0.1239,37000,
3 Jan 2025,0.1450,0.1450,0.1310,0.1310,0.1168,600,
27 Dec 2024,0.1450,0.1450,0.1450,0.1450,0.1293,0,
20 Dec 2024,0.1450,0.1450,0.1450,0.1450,0.1293,0,
13 Dec 2024,0.1450,0.1450,0.1450,0.1450,0.1293,400,
6 Dec 2024,0.1320,0.1320,0.1320,0.1320,0.1177,0,
29 Nov 2024,0.1320,0.1320,0.1320,0.1320,0.1177,11600,
22 Nov 2024,0.1330,0.1450,0.1320,0.1320,0.1177,1700,
15 Nov 2024,0.1330,0.1330,0.1330,0.1330,0.1186,0,
8 Nov 2024,0.1320,0.1330,0.1320,0.1330,0.1186,200,
1 Nov 2024,0.1320,0.1320,0.1320,0.1320,0.1177,0,
25 Oct 2024,0.1320,0.1320,0.1320,0.1320,0.1177,0,
18 Oct 2024,0.1330,0.1340,0.1320,0.1320,0.1177,60000,
11 Oct 2024,0.1300,0.1330,0.1300,0.1330,0.1186,5000,
4 Oct 2024,0.1300,0.1300,0.1300,0.1300,0.1159,125500,
27 Sep 2024,0.1330,0.1330,0.1330,0.1330,0.1186,0,
20 Sep 2024,0.1600,0.1600,0.1330,0.1330,0.1186,4900,
13 Sep 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
6 Sep 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
30 Aug 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
23 Aug 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
16 Aug 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
9 Aug 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
2 Aug 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
26 Jul 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
19 Jul 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
12 Jul 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
5 Jul 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
28 Jun 2024,0.1600,0.1600,0.1600,0.1600,0.1426,0,
21 Jun 2024,0.1400,0.1600,0.1360,0.1600,0.1426,20900,
14 Jun 2024,0.1400,0.1400,0.1400,0.1400,0.1248,0,
7 Jun 2024,0.1400,0.1400,0.1400,0.1400,0.1248,0,
31 May 2024,0.1400,0.1400,0.1400,0.1400,0.1248,0,
24 May 2024,0.1400,0.1400,0.1400,0.1400,0.1248,0,
17 May 2024,0.1400,0.1400,0.1400,0.1400,0.1248,0,
10 May 2024,0.1400,0.1400,0.1400,0.1400,0.1248,0,
8 May 2024,,,,,,,0.0100 Dividend
3 May 2024,0.1360,0.1400,0.1360,0.1400,0.1159,32100,
26 Apr 2024,0.1310,0.1500,0.1310,0.1360,0.1126,2400,
19 Apr 2024,0.1310,0.1310,0.1310,0.1310,0.1084,0,
12 Apr 2024,0.1260,0.1310,0.1260,0.1310,0.1084,69400,
5 Apr 2024,0.1240,0.1250,0.1240,0.1250,0.1035,15700,
29 Mar 2024,0.1240,0.1240,0.1240,0.1240,0.1026,0,
22 Mar 2024,0.1240,0.1240,0.1240,0.1240,0.1026,0,
