Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,2.2500,2.2500,2.2500,2.2500,2.2500,4500,
31 Jul 2026,2.2100,2.3000,2.2000,2.2900,2.2900,19600,
24 Jul 2026,2.2500,2.3000,2.2100,2.2100,2.2100,51400,
17 Jul 2026,2.2800,2.2900,2.2200,2.2500,2.2500,34000,
10 Jul 2026,2.3700,2.4000,2.2500,2.2900,2.2900,31100,
6 Jul 2026,,,,,,,0.0300 Dividend
3 Jul 2026,2.4200,2.5500,2.3500,2.3700,2.3400,157300,
26 Jun 2026,2.2400,2.3400,2.2000,2.3000,2.2709,90000,
19 Jun 2026,2.2700,2.3100,2.2200,2.3000,2.2709,64700,
12 Jun 2026,2.2900,2.3000,2.2500,2.2700,2.2413,28800,
5 Jun 2026,2.3700,2.3900,2.3000,2.3600,2.3301,64900,
29 May 2026,2.3900,2.3900,2.2900,2.3400,2.3104,24200,
22 May 2026,2.2600,2.3800,2.2600,2.3800,2.3499,84600,
15 May 2026,2.3100,2.3700,2.2500,2.2600,2.2314,198000,
8 May 2026,2.2500,2.3900,2.2500,2.3100,2.2808,190900,
1 May 2026,2.1300,2.2500,2.1200,2.2500,2.2215,91600,
24 Apr 2026,2.0300,2.2300,2.0200,2.1500,2.1228,727800,
17 Apr 2026,1.9000,2.0500,1.8800,2.0200,1.9944,223800,
10 Apr 2026,1.9600,1.9900,1.9500,1.9600,1.9352,36300,
3 Apr 2026,1.8500,1.9600,1.8500,1.9600,1.9352,38600,
27 Mar 2026,1.8500,1.9800,1.8400,1.8800,1.8562,124200,
20 Mar 2026,1.8400,2.0000,1.7800,1.8900,1.8661,133300,
13 Mar 2026,1.8500,1.8500,1.6900,1.8200,1.7970,108800,
6 Mar 2026,2.0000,2.0400,1.7000,1.8700,1.8463,218500,
27 Feb 2026,1.8800,2.1200,1.8800,2.0300,2.0043,139700,
20 Feb 2026,1.7500,1.8900,1.7400,1.8500,1.8266,166500,
13 Feb 2026,1.6900,1.7800,1.6900,1.7300,1.7081,41700,
6 Feb 2026,1.7200,1.7800,1.6800,1.7400,1.7180,158200,
30 Jan 2026,1.7000,1.7200,1.6400,1.7200,1.6982,198400,
23 Jan 2026,1.6300,1.6900,1.6100,1.6900,1.6686,29300,
16 Jan 2026,1.5500,1.7100,1.5500,1.6500,1.6291,729700,
9 Jan 2026,1.5300,1.5500,1.5300,1.5500,1.5304,132900,
2 Jan 2026,1.5600,1.5600,1.5000,1.5100,1.4909,40900,
26 Dec 2025,1.5700,1.5700,1.5300,1.5300,1.5106,27900,
19 Dec 2025,1.5300,1.5800,1.5300,1.5700,1.5501,545000,
12 Dec 2025,1.5100,1.5800,1.5100,1.5600,1.5403,20400,
5 Dec 2025,1.4900,1.5300,1.4900,1.5100,1.4909,85500,
28 Nov 2025,1.5000,1.5000,1.4700,1.4900,1.4711,35400,
21 Nov 2025,1.5200,1.5600,1.5000,1.5000,1.4810,90800,
14 Nov 2025,1.6400,1.6500,1.5200,1.5200,1.5008,146200,
7 Nov 2025,1.6100,1.6700,1.5800,1.6100,1.5896,240700,
31 Oct 2025,1.6200,1.6500,1.5800,1.6200,1.5995,233500,
24 Oct 2025,1.5700,1.6500,1.5700,1.6200,1.5995,94200,
17 Oct 2025,1.6400,1.6500,1.5700,1.6100,1.5896,290600,
10 Oct 2025,1.5900,1.6800,1.5700,1.6400,1.6192,279400,
3 Oct 2025,1.6000,1.6200,1.5400,1.5800,1.5600,106700,
26 Sep 2025,1.4800,1.6900,1.4800,1.6100,1.5896,948500,
19 Sep 2025,1.6600,1.8000,1.6400,1.7700,1.7476,761200,
12 Sep 2025,1.7000,1.7000,1.6100,1.6400,1.6192,203800,
8 Sep 2025,,,,,,,0.0800 Dividend
5 Sep 2025,1.5500,1.9000,1.4800,1.7600,1.6587,726400,
29 Aug 2025,1.1800,1.5800,1.1700,1.5500,1.4608,869400,
22 Aug 2025,1.1700,1.1800,1.1500,1.1700,1.1027,147500,
15 Aug 2025,1.0700,1.1700,1.0700,1.1700,1.1027,772500,
8 Aug 2025,1.0400,1.1000,1.0000,1.0500,0.9896,260900,
1 Aug 2025,1.0400,1.0400,0.9850,1.0400,0.9802,25200,
25 Jul 2025,1.0200,1.0500,0.9850,1.0500,0.9896,147300,
18 Jul 2025,1.0200,1.0200,0.9800,0.9950,0.9378,100500,
11 Jul 2025,0.9600,1.0200,0.9550,1.0200,0.9613,115600,
4 Jul 2025,1.0500,1.0600,0.9550,0.9550,0.9001,473800,
27 Jun 2025,0.7750,1.0900,0.7550,1.0500,0.9896,240800,
20 Jun 2025,0.7450,0.7700,0.7400,0.7450,0.7021,166500,
13 Jun 2025,0.7000,0.7550,0.7000,0.7350,0.6927,61000,
6 Jun 2025,0.7500,0.7800,0.7000,0.7000,0.6597,30100,
30 May 2025,0.7500,0.7500,0.7500,0.7500,0.7068,2700,
23 May 2025,0.7300,0.7800,0.7050,0.7500,0.7068,51200,
16 May 2025,0.7200,0.7500,0.7200,0.7300,0.6880,42500,
9 May 2025,0.7200,0.7200,0.7200,0.7200,0.6786,0,
2 May 2025,0.7350,0.7350,0.6850,0.7200,0.6786,14200,
25 Apr 2025,0.7200,0.7500,0.7150,0.7350,0.6927,71600,
18 Apr 2025,0.7100,0.7200,0.7100,0.7200,0.6786,7600,
