Date,Open,High,Low,Close,Adj Close,Volume,Notes
7 Aug 2026,0.2100,0.2200,0.2100,0.2150,0.2150,6973100,
31 Jul 2026,0.2150,0.2150,0.2050,0.2100,0.2100,21821900,
24 Jul 2026,0.2050,0.2200,0.2050,0.2150,0.2150,24227300,
17 Jul 2026,0.2050,0.2250,0.2000,0.2050,0.2050,39697200,
10 Jul 2026,0.2100,0.2150,0.2000,0.2050,0.2050,33916100,
3 Jul 2026,0.2150,0.2200,0.2100,0.2100,0.2100,23417600,
26 Jun 2026,0.2200,0.2300,0.2150,0.2150,0.2150,38909131,
19 Jun 2026,0.2300,0.2400,0.2200,0.2200,0.2200,42467100,
12 Jun 2026,0.2350,0.2350,0.2150,0.2250,0.2250,45031300,
5 Jun 2026,0.2450,0.2450,0.2350,0.2400,0.2400,17496501,
29 May 2026,0.2450,0.2500,0.2400,0.2400,0.2400,25534900,
22 May 2026,0.2450,0.2500,0.2400,0.2450,0.2450,20937300,
15 May 2026,0.2500,0.2600,0.2400,0.2450,0.2450,47688300,
8 May 2026,0.2600,0.2700,0.2450,0.2500,0.2500,70988700,
1 May 2026,0.2700,0.2750,0.2600,0.2600,0.2600,32805600,
24 Apr 2026,0.2850,0.2850,0.2650,0.2700,0.2700,53922100,
17 Apr 2026,0.2650,0.2900,0.2600,0.2800,0.2800,76438400,
10 Apr 2026,0.2500,0.2700,0.2450,0.2650,0.2650,45348200,
3 Apr 2026,0.2500,0.2650,0.2450,0.2500,0.2500,48021300,
27 Mar 2026,0.2450,0.2500,0.2350,0.2500,0.2500,42327200,
20 Mar 2026,0.2600,0.2600,0.2450,0.2450,0.2450,86358700,
13 Mar 2026,0.2600,0.2700,0.2450,0.2600,0.2600,83328200,
6 Mar 2026,0.2900,0.3000,0.2550,0.2650,0.2650,129797600,
27 Feb 2026,0.3550,0.3600,0.2850,0.3100,0.3100,167990400,
20 Feb 2026,0.3300,0.3600,0.3300,0.3500,0.3500,54976200,
13 Feb 2026,0.3350,0.3500,0.3250,0.3300,0.3300,99124800,
6 Feb 2026,0.3600,0.3600,0.3250,0.3350,0.3350,121695500,
30 Jan 2026,0.3550,0.3800,0.3500,0.3550,0.3550,141584700,
23 Jan 2026,0.3800,0.3800,0.3500,0.3550,0.3550,99518300,
16 Jan 2026,0.3750,0.4000,0.3750,0.3800,0.3800,151250100,
9 Jan 2026,0.3950,0.4050,0.3700,0.3750,0.3750,136977400,
2 Jan 2026,0.4100,0.4150,0.3900,0.3950,0.3950,66948300,
26 Dec 2025,0.4200,0.4200,0.4050,0.4100,0.4100,49455800,
19 Dec 2025,0.4400,0.4400,0.4100,0.4200,0.4200,97573100,
12 Dec 2025,0.4500,0.4550,0.4300,0.4400,0.4400,79450100,
5 Dec 2025,0.4750,0.4800,0.4450,0.4500,0.4500,66270200,
28 Nov 2025,0.4900,0.4900,0.4700,0.4700,0.4700,47870100,
21 Nov 2025,0.5150,0.5250,0.4800,0.4850,0.4850,102006700,
14 Nov 2025,0.4800,0.5400,0.4150,0.5150,0.5150,136124200,
7 Nov 2025,1.0600,1.0900,1.0100,1.0600,1.0600,62265900,
31 Oct 2025,1.0800,1.1100,1.0500,1.0600,1.0600,45623100,
24 Oct 2025,1.0700,1.0900,1.0300,1.0600,1.0600,42182300,
17 Oct 2025,1.1100,1.1500,1.0400,1.0400,1.0400,76536900,
10 Oct 2025,1.2100,1.2100,1.1400,1.1600,1.1600,49895200,
3 Oct 2025,1.1800,1.2100,1.1000,1.2100,1.2100,102264400,
26 Sep 2025,1.2100,1.2300,1.1800,1.1800,1.1800,93475200,
19 Sep 2025,1.1700,1.2400,1.1500,1.2000,1.2000,118039900,
12 Sep 2025,1.0600,1.1700,1.0500,1.1600,1.1600,144352800,
5 Sep 2025,1.0500,1.1000,1.0500,1.0500,1.0500,77366300,
29 Aug 2025,1.0300,1.0600,1.0300,1.0500,1.0500,51905100,
22 Aug 2025,1.0600,1.0600,1.0100,1.0300,1.0300,62902300,
15 Aug 2025,0.9700,1.0600,0.9700,1.0600,1.0600,101583300,
8 Aug 2025,0.9400,1.0100,0.9300,0.9700,0.9700,59118700,
1 Aug 2025,0.9400,0.9700,0.9250,0.9450,0.9450,53355800,
25 Jul 2025,0.9100,0.9600,0.9000,0.9400,0.9400,64831000,
18 Jul 2025,0.8750,0.9250,0.8750,0.9050,0.9050,52874400,
11 Jul 2025,0.9050,0.9150,0.8500,0.8750,0.8750,56530600,
4 Jul 2025,0.7300,0.9000,0.7300,0.8950,0.8950,119152500,
27 Jun 2025,0.6900,0.7300,0.6800,0.7300,0.7300,27384500,
20 Jun 2025,0.7150,0.7150,0.6900,0.7000,0.7000,67221100,
13 Jun 2025,0.7300,0.7350,0.7150,0.7200,0.7200,44948200,
6 Jun 2025,0.7250,0.7300,0.7100,0.7300,0.7300,40194600,
30 May 2025,0.7150,0.7300,0.7000,0.7250,0.7250,22510500,
23 May 2025,0.7600,0.7600,0.7000,0.7100,0.7100,84572200,
16 May 2025,0.7150,0.7600,0.7100,0.7600,0.7600,72735000,
9 May 2025,0.7150,0.7200,0.6950,0.7000,0.7000,40781200,
2 May 2025,0.7250,0.7350,0.6900,0.7150,0.7150,57027100,
25 Apr 2025,0.6800,0.7300,0.6800,0.7000,0.7000,66257100,
24 Apr 2025,,,,,,,0.0345 Dividend
18 Apr 2025,0.6950,0.7200,0.6800,0.6900,0.6572,65066900,
11 Apr 2025,0.7400,0.7400,0.6250,0.6800,0.6476,254233000,
4 Apr 2025,0.7950,0.8000,0.7150,0.7600,0.7238,254918300,
28 Mar 2025,0.7300,0.8100,0.7250,0.7950,0.7572,259794800,
21 Mar 2025,0.6550,0.7250,0.6550,0.7250,0.6905,193745700,
14 Mar 2025,0.6450,0.6750,0.6200,0.6600,0.6286,188030400,
7 Mar 2025,0.5950,0.6550,0.5900,0.6450,0.6143,191431600,
28 Feb 2025,0.5600,0.6000,0.5500,0.5950,0.5667,287766400,
21 Feb 2025,0.5300,0.5700,0.5200,0.5650,0.5381,185577300,
14 Feb 2025,0.4800,0.5300,0.4800,0.5300,0.5048,185593700,
7 Feb 2025,0.4700,0.4800,0.4650,0.4750,0.4524,53163600,
31 Jan 2025,0.4500,0.4800,0.4500,0.4750,0.4524,54538000,
24 Jan 2025,0.4200,0.4550,0.4150,0.4500,0.4286,79833400,
17 Jan 2025,0.4150,0.4200,0.4100,0.4200,0.4000,14121600,
10 Jan 2025,0.4100,0.4200,0.4050,0.4150,0.3953,29073900,
3 Jan 2025,0.4100,0.4200,0.4100,0.4100,0.3905,36052100,
27 Dec 2024,0.4000,0.4100,0.3950,0.4100,0.3905,23913000,
20 Dec 2024,0.4000,0.4050,0.3950,0.3950,0.3762,11078300,
13 Dec 2024,0.3950,0.4050,0.3950,0.4000,0.3810,30928100,
