Symbol,Company Name,Type,Role,Sector,Enabled
1A1,Wong Fong Industries Limited,Stock,Ignore,Industrials,TRUE
1AZ,Audience Analytics Limited,Stock,Ignore,Industrials,TRUE
1B0,mm2 Asia Ltd.,Stock,Ignore,Industrials,TRUE
1B1,HC Surgical Specialists Limited,Stock,Ignore,Health Care,TRUE
1B6,Ocean Sky International Limited,Stock,Ignore,Industrials,TRUE
1D0,Kimly Limited,Stock,Ignore,Consumer Staples,TRUE
1D1,UnUsUaL Limited,Stock,Ignore,Industrials,TRUE
1D3,Autagco Ltd.,Stock,Ignore,Industrials,TRUE
1D4,Aoxin Q & M Dental Group Limited,Stock,Ignore,Health Care,TRUE
1D5,Capital World Limited,Stock,Ignore,Financials,TRUE
1E3,Sanli Environmental Limited,Stock,Ignore,Industrials,TRUE
1F0,shopper360 Limited,Stock,Ignore,Consumer Discretionary,TRUE
1F1,Y Ventures Group Ltd.,Stock,Ignore,Industrials,TRUE
1F2,Union Gas Holdings Limited,Stock,Dividend_Secondary,Energy,TRUE
1F3,Aspen (Group) Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
1H2,Olive Tree Estates Limited,Stock,Ignore,Real Estate,TRUE
1H3,Clearbridge Health Limited,Stock,Ignore,Health Care,TRUE
1H8,LY Corporation Limited,Stock,Ignore,Industrials,TRUE
1J4,JEP Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
1J5,Hyphens Pharma International Limited,Stock,Ignore,Health Care,TRUE
1L2,Hiap Seng Industries Limited,Stock,Ignore,Industrials,TRUE
1MZ,Nam Cheong Limited,Stock,Ignore,Industrials,TRUE
1R6,Avi-Tech Holdings Limited,Stock,Dividend_Secondary,Information Technology,TRUE
1U8,Rich Capital Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
1V3,Mooreast Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
1Y1,9R Limited,Stock,Ignore,Industrials,TRUE
40N,Versalink Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
40T,ISEC Healthcare Ltd.,Stock,Ignore,Health Care,TRUE
40V,Alset International Limited,Stock,Ignore,Industrials,TRUE
40W,ZICO Holdings Inc.,Stock,Dividend_Secondary,Financials,TRUE
41B,Huationg Global Limited,Stock,Ignore,Industrials,TRUE
41F,GSS Energy Limited,Stock,Ignore,Energy,TRUE
41O,LHN Limited,Stock,Ignore,Industrials,TRUE
41T,GCCP Resources Limited,Stock,Ignore,Materials,TRUE
42C,iX Biopharma Ltd.,Stock,Ignore,Health Care,TRUE
42E,Choo Chiang Holdings Ltd.,Stock,Dividend_Secondary,Industrials,TRUE
42F,TOTM Technologies Limited,Stock,Ignore,Information Technology,TRUE
42L,Taka Jewellery Holdings Limited,Stock,Dividend_Secondary,Consumer Discretionary,TRUE
42N,IPS Securex Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
42R,Jumbo Group Limited,Stock,Ignore,Consumer Staples,TRUE
42T,The Trendlines Group Ltd.,Stock,Ignore,Industrials,TRUE
42W,Zixin Group Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
42Z,Eindec Corporation Limited,Stock,Ignore,Industrials,TRUE
43A,GS Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
43B,Secura Group Limited,Stock,Ignore,Industrials,TRUE
43E,VCPlus Limited,Stock,Ignore,Industrials,TRUE
43F,AcroMeta Group Limited,Stock,Ignore,Industrials,TRUE
43Q,Advancer Global Limited,Stock,Ignore,Industrials,TRUE
49B,AMOS Group Limited,Stock,Ignore,Industrials,TRUE
500,Tai Sin Electric Limited,Stock,Ignore,Industrials,TRUE
504,HS Optimus Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
505,AsiaMedic Limited,Stock,Ignore,Health Care,TRUE
508,Fuji Offset Plates Manufacturing Ltd,Stock,Ignore,Industrials,TRUE
532,DISA Limited,Stock,Ignore,Industrials,TRUE
533,ABR Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
53W,Attika Group Ltd.,Stock,Ignore,Industrials,TRUE
540,Tung Lok Restaurants (2000) Ltd,Stock,Ignore,Consumer Staples,TRUE
541,Abundance International Limited,Stock,Ignore,Industrials,TRUE
543,Noel Gifts International Ltd,Stock,Ignore,Industrials,TRUE
544,CSE Global Limited,Stock,Ignore,Industrials,TRUE
546,Medtecs International Corporation Limited,Stock,Ignore,Health Care,TRUE
554,King Wan Corporation Limited,Stock,Ignore,Industrials,TRUE
558,UMS Integration Limited,Stock,Ignore,Information Technology,TRUE
566,SHS Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
569,Vicplas International Ltd,Stock,Ignore,Industrials,TRUE
570,Abundante Limited,Stock,Ignore,Industrials,TRUE
575,ASTI Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
579,Oceanus Group Limited,Stock,Ignore,Consumer Staples,TRUE
580,Santak Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
581,Sunrise Shares Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
583,Progen Holdings Ltd,Stock,Dividend_Secondary,Financials,TRUE
584,AJJ Medtech Holdings Limited,Stock,Dividend_Secondary,Health Care,TRUE
585,Asian Micro Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
594,CapAllianz Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
595,GKE Corporation Limited,Stock,Ignore,Industrials,TRUE
596,Pavillon Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5AB,Trek 2000 International Ltd,Stock,Ignore,Industrials,TRUE
5AE,Pollux Properties Ltd.,Stock,Ignore,Industrials,TRUE
5AI,H2G Green Limited,Stock,Ignore,Industrials,TRUE
5AL,Annica Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5AU,AP Oil International Limited,Stock,Ignore,Energy,TRUE
5BI,Polaris Ltd.,Stock,Ignore,Industrials,TRUE
5CF,OKP Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5CR,Asiatic Group (Holdings) Limited,Stock,Dividend_Secondary,Financials,TRUE
5DD,Micro-Mechanics (Holdings) Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5DM,Ying Li International Real Estate Limited,Stock,Ignore,Real Estate,TRUE
5DO,Sakae Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5DP,Heeton Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5DS,Megachem Limited,Stock,Ignore,Materials,TRUE
